
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2000 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	4,117	13,984	36	94	12	25	5	133													
NEW ENGLAND	176	229	-	-	2	2	-	19													
Maine	-	-	-	-	2	-	-	-													
N.H.	2	1	-	-	-	-	-	-													
Vt.	1	3	-	-	-	1	-	-													
Mass.	119	116	-	-	-	1	-	19													
R.I.	-	22	-	-	-	-	-	-													
Conn.	54	87	-	-	-	-	-	-													
MID. ATLANTIC	48	1,731	-	2	-	7	2	79													
Upstate N.Y.	37	61	-	-	-	-	1	-													
N.Y. City	-	877	-	-	-	2	-	4													
N.J.	11	343	-	-	-	2	-	45													
Pa.	-	450	-	2	-	3	1	30													
E.N. CENTRAL	1,248	2,122	11	50	4	10	-	5													
Ohio	104	576	-	-	4	3	-	3													
Ind.	168	245	-	-	-	-	-	-													
Ill.	326	765	-	1	-	-	-	-													
Mich.	341	270	11	26	-	5	-	-													
Wis.	309	266	-	23	-	2	U	2													
W.N. CENTRAL	112	580	5	11	1	-	-	1													
Minn.	16	131	-	-	-	-	-	-													
Iowa	4	5	-	-	-	-	-	-													
Mo.	87	331	5	11	1	-	-	-													
N. Dak.	-	3	-	-	-	-	-	-													
S. Dak.	4	8	-	-	-	-	-	-													
Nebr.	1	34	-	-	-	-	-	-													
Kans.	-	68	-	-	-	-	-	1													
S. ATLANTIC	1,446	4,493	1	4	3	2	2	22													
Del.	76	58	-	-	-	1	-	1													
Md.	69	796	-	3	2	-	2	18													
D.C.	67	127	-	-	-	-	-	-													
Va.	212	653	-	-	-	-	-	-													
W. Va.	-	38	-	-	N	N	-	-													
N.C.	851	705	1	1	1	1	-	3													
S.C.	110	654	-	-	-	-	-	-													
Ga.	61	596	-	-	-	-	-	-													
Fla.	-	866	-	-	-	-	-	-													
E.S. CENTRAL	200	1,257	8	5	-	1	-	2													
Ky.	62	144	-	-	-	1	-	-													
Tenn.	-	318	-	2	-	-	-	-													
Ala.	138	491	-	1	-	-	-	2													
Miss.	-	304	8	2	-	-	-	-													
W.S. CENTRAL	378	2,085	-	-	-	-	-	-													
Ark.	-	68	-	-	-	-	-	-													
La.	-	697	-	-	-	-	-	-													
Okla.	115	182	-	-	-	-	-	-													
Tex.	263	1,138	-	-	-	-	-	-													
MOUNTAIN	197	398	4	7	-	-	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	5	-	1	-	-	-	-													
Wyo.	1	1	4	2	-	-	-	-													
Colo.	102	54	-	1	-	-	-	-													
N. Mex.	-	62	-	3	-	-	-	-													
Ariz.	75	218	-	-	-	-	-	-													
Utah	19	9	-	-	-	-	-	-													
Nev.	-	49	-	-	-	-	-	-													
PACIFIC	312	1,089	7	15	2	3	1	5													
Wash.	94	76	-	-	-	-	-	-													
Oreg.	-	26	-	-	N	N	-	-													
Calif.	211	955	7	15	2	3	1	5													
Alaska	7	11	-	-	-	-	-	-													
Hawaii	-	21	-	-	-	-	N	N													
Guam	-	3	-	-	-	-	-	-													
P.R.	17	10	-	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


