
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 2004 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type B cummulative for 2004
Hepatitis (Viral, Acute), Type B cummulative for 2003
Hepatitis (Viral, Acute), Type C cummulative for 2004
Hepatitis (Viral, Acute), Type c cummulative for 2003
Legionellosis cummulative for 2004
Legionellosis cummulative for 2003
Listeriosis cummulative for 2004
Listeriosis cummulative for 2003
Lyme Disease cummulative for 2004
Lyme Disease cummulative for 2003

tab delimited data:
test
UNITED STATES	90	192	15	85	32	33	12	12	143	191											
NEW ENGLAND	2	16	-	-	-	3	-	1	1	9											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	1	-	-	-	-	-	-	-	1											
Mass.	2	10	-	-	-	2	-	1	1	8											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	5	U	U	-	1	-	-	-	-											
MID. ATLANTIC	5	23	3	3	7	6	2	5	122	148											
Upstate N.Y.	1	-	1	-	1	1	-	-	58	-											
N.Y. City	-	7	-	-	-	1	-	2	-	-											
N.J.	3	10	-	-	1	-	1	-	9	55											
Pa.	1	6	2	3	5	4	1	3	55	93											
E.N. CENTRAL	3	22	3	6	10	11	1	1	-	4											
Ohio	1	9	-	-	5	7	1	1	-	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	-	-	2	-	-	-	-	-	-											
Mich.	2	7	3	4	5	4	-	-	-	-											
Wis.	-	6	-	-	-	-	-	-	U	4											
W.N. CENTRAL	-	11	-	6	1	1	-	1	2	1											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	-	-											
Mo.	-	10	-	6	-	-	-	-	-	1											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	1	-	-	-	-	-											
Nebr.	-	1	-	-	-	-	-	1	-	-											
Kans.	-	-	-	-	-	1	-	-	2	-											
S. ATLANTIC	62	85	7	3	10	5	5	1	14	21											
Del.	-	-	-	-	-	-	N	N	-	5											
Md.	5	3	1	1	1	3	2	-	11	12											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	1	-	1	3	1	1	1	-	3											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	33	72	2	1	-	1	1	-	-	-											
Fla.	24	9	4	-	6	-	1	-	3	1											
E.S. CENTRAL	-	10	-	5	-	1	1	2	-	3											
Ky.	-	1	-	-	-	-	1	-	-	-											
Tenn.	-	2	-	2	-	1	-	-	-	-											
Ala.	-	2	-	-	-	-	-	2	-	-											
Miss.	-	5	-	3	-	-	-	-	-	3											
W.S. CENTRAL	-	4	-	58	-	6	-	1	-	4											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	2	-	2	-	-	-	-	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	2	-	56	-	6	-	1	-	4											
MOUNTAIN	2	14	-	2	1	-	-	-	-	1											
Mont.	-	1	-	-	-	-	-	-	-	-											
Idaho	1	-	-	-	-	-	-	-	-	-											
Wyo.	1	1	-	-	1	-	-	-	-	-											
Colo.	-	1	-	2	-	-	-	-	-	-											
N. Mex.	-	1	-	-	-	-	-	-	-	-											
Ariz.	-	7	-	-	-	-	-	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	3	-	-	-	-	-	-	-	1											
PACIFIC	16	7	2	2	3	-	3	-	4	-											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	2	6	1	1	N	N	-	-	-	-											
Calif.	14	-	1	-	3	-	3	-	4	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	1	-	1	-	-	-	-	N	N											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	-	-	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


