
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 19, 2000 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	301	296	11	46	49	75	416	492	-	2	1										
NEW ENGLAND	17	18	-	-	3	26	99	69	-	1	1										
Maine	2	2	-	-	-	3	7	-	-	-	-										
N.H.	-	2	-	-	1	8	28	3	-	1	-										
Vt.	1	1	-	-	-	11	37	9	-	-	-										
Mass.	9	13	-	-	2	2	24	57	-	-	1										
R.I.	1	-	-	-	-	2	2	-	-	-	-										
Conn.	4	-	-	-	-	-	1	-	-	-	-										
MID. ATLANTIC	21	41	1	3	7	8	32	27	-	-	-										
Upstate N.Y.	6	7	-	1	2	-	22	13	-	-	-										
N.Y. City	4	15	-	-	2	-	-	7	-	-	-										
N.J.	4	10	-	-	-	-	-	2	-	-	-										
Pa.	7	9	1	2	3	8	10	5	-	-	-										
E.N. CENTRAL	35	48	-	1	2	9	105	76	-	-	-										
Ohio	10	17	-	-	1	8	97	50	-	-	-										
Ind.	7	5	-	-	-	-	3	3	-	-	-										
Ill.	4	17	-	-	1	1	2	7	-	-	-										
Mich.	13	7	-	1	-	-	3	7	-	-	-										
Wis.	1	2	U	-	-	U	-	9	U	-	-										
W.N. CENTRAL	31	32	-	6	1	2	12	12	-	-	-										
Minn.	1	-	-	-	-	2	7	-	-	-	-										
Iowa	3	7	U	1	1	U	3	4	U	-	-										
Mo.	26	15	-	1	-	-	1	1	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	1	4	-	-	-	-	1	1	-	-	-										
Nebr.	-	2	-	4	-	-	-	-	-	-	-										
Kans.	-	4	U	-	-	U	-	6	U	-	-										
S. ATLANTIC	58	31	1	5	6	12	35	42	-	-	-										
Del.	-	1	-	-	-	-	-	-	-	-	-										
Md.	4	6	-	1	2	2	11	18	-	-	-										
D.C.	-	-	U	-	-	U	-	-	U	-	-										
Va.	10	2	-	-	-	-	1	6	-	-	-										
W. Va.	1	1	-	-	-	-	-	-	-	-	-										
N.C.	12	6	1	1	1	10	14	16	-	-	-										
S.C.	6	6	-	3	2	-	9	2	-	-	-										
Ga.	11	8	-	-	-	-	-	-	-	-	-										
Fla.	14	1	U	-	1	U	-	-	U	-	-										
E.S. CENTRAL	17	27	-	1	-	1	8	14	-	-	-										
Ky.	2	4	-	-	-	-	3	3	-	-	-										
Tenn.	7	9	-	-	-	-	1	6	-	-	-										
Ala.	7	11	-	1	-	1	4	5	-	-	-										
Miss.	1	3	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	1	17	-	-	10	2	3	17	-	-	-										
Ark.	1	4	-	-	-	2	3	2	-	-	-										
La.	-	5	U	-	-	U	-	-	U	-	-										
Okla.	-	6	U	-	1	U	-	3	U	-	-										
Tex.	-	2	-	-	9	-	-	12	-	-	-										
MOUNTAIN	15	32	1	2	4	8	103	103	-	1	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	2	4	-	-	-	1	16	50	-	-	-										
Wyo.	-	1	U	-	-	U	-	1	U	-	-										
Colo.	2	10	-	-	2	6	58	18	-	-	-										
N. Mex.	2	5	1	N	N	1	17	7	-	-	-										
Ariz.	6	7	-	-	-	-	8	11	-	-	-										
Utah	3	3	-	-	1	-	3	15	-	1	-										
Nev.	-	2	-	2	1	-	1	1	-	-	-										
PACIFIC	106	50	8	28	16	7	19	132	-	-	-										
Wash.	5	6	-	-	-	3	5	3	-	-	-										
Oreg.	13	11	N	N	N	4	12	3	-	-	-										
Calif.	86	26	8	28	12	-	-	119	-	-	-										
Alaska	-	3	-	-	1	-	2	1	-	-	-										
Hawaii	2	4	-	-	3	-	-	6	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	U	-	-	U	-	-	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


