
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending December 7, 1996 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	468	293	11	613	809	265	5,887	4,306	8	210	117										
NEW ENGLAND	15	11	-	2	12	12	1,356	659	-	27	49										
Maine	-	-	-	-	4	-	20	45	-	-	-										
N.H.	-	-	-	-	1	6	149	52	-	-	1										
Vt.	2	-	-	-	-	6	199	75	-	2	-										
Mass.	12	4	-	2	3	-	921	455	-	21	9										
R.I.	-	5	-	-	1	-	32	4	-	-	-										
Conn.	1	2	-	-	3	-	35	28	-	4	39										
MID. ATLANTIC	28	12	2	86	116	129	691	403	-	13	15										
Upstate N.Y.	-	1	1	26	25	113	459	217	-	5	4										
N.Y. City	12	5	-	17	16	-	48	54	-	5	8										
N.J.	3	6	-	3	21	-	19	19	-	2	3										
Pa.	13	-	1	40	54	16	165	113	-	1	-										
E.N. CENTRAL	13	15	2	97	166	9	589	566	-	3	4										
Ohio	5	2	-	42	51	5	272	157	-	-	-										
Ind.	-	-	-	9	9	2	107	59	-	-	-										
Ill.	3	2	-	20	47	2	156	124	-	1	-										
Mich.	3	5	2	25	59	-	49	99	-	2	4										
Wis.	2	6	-	1	-	-	5	127	-	-	-										
W.N. CENTRAL	23	2	-	19	46	16	401	253	-	-	1										
Minn.	18	-	-	6	8	14	317	125	-	-	-										
Iowa	1	-	-	3	10	2	22	11	-	-	-										
Mo.	3	1	-	7	23	-	44	61	-	-	-										
N. Dak.	-	-	-	2	1	-	1	8	-	-	-										
S. Dak.	-	-	-	-	-	-	4	12	-	-	-										
Nebr.	-	-	-	-	4	-	9	14	-	-	-										
Kans.	1	1	-	1	-	-	4	22	-	-	1										
S. ATLANTIC	14	19	1	105	122	43	676	340	7	100	10										
Del.	1	-	-	-	-	1	26	10	-	-	-										
Md.	2	1	-	28	35	9	250	47	-	-	1										
D.C.	1	-	-	1	-	-	4	6	-	2	-										
Va.	3	-	-	16	25	-	98	31	-	2	-										
W. Va.	-	-	-	-	-	-	6	-	-	-	-										
N.C.	4	-	1	21	16	31	131	110	7	85	1										
S.C.	-	-	-	7	11	1	45	27	-	1	-										
Ga.	2	4	-	3	10	1	18	25	-	-	-										
Fla.	1	14	-	29	25	-	98	84	-	10	8										
E.S. CENTRAL	2	-	1	22	17	1	195	272	-	2	1										
Ky.	-	-	-	-	-	-	140	26	-	-	-										
Tenn.	2	-	-	3	5	-	21	208	-	-	1										
Ala.	-	-	1	4	4	1	25	36	-	2	-										
Miss.	-	-	U	15	8	U	9	2	N	N	N										
W.S. CENTRAL	28	34	4	43	53	10	125	292	-	3	7										
Ark.	-	2	-	1	7	-	10	39	-	-	-										
La.	-	18	1	18	13	2	11	19	-	1	-										
Okla.	-	-	-	1	-	-	19	31	-	-	-										
Tex.	28	14	3	23	33	8	85	203	-	2	7										
MOUNTAIN	159	70	-	22	31	3	407	632	1	7	4										
Mont.	-	-	-	-	1	-	35	9	-	-	-										
Idaho	2	2	-	-	4	2	103	107	-	2	-										
Wyo.	1	-	-	1	-	-	8	1	-	-	-										
Colo.	7	26	-	3	2	-	107	105	1	3	-										
N. Mex.	17	31	N	N	N	-	61	143	-	-	-										
Ariz.	8	10	-	1	2	-	29	155	-	1	3										
Utah	119	-	-	2	11	1	23	28	-	-	1										
Nev.	5	1	-	15	11	-	41	84	-	1	-										
PACIFIC	186	130	1	217	246	42	1,447	889	-	55	26										
Wash.	51	19	-	20	15	29	691	337	-	2	1										
Oreg.	11	1	-	-	-	-	35	64	-	1	-										
Calif.	46	108	1	165	206	12	688	429	-	49	20										
Alaska	63	-	-	3	12	-	4	1	-	-	-										
Hawaii	15	2	-	29	13	1	29	58	-	3	5										
Guam	-	-	U	5	4	U	1	2	U	-	1										
P.R.	8	3	-	1	2	-	1	2	-	-	-										
V.I.	-	-	U	-	3	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	1	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


