
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 20, 1998 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,404	1,896	3	224	323	52	1,940	2,445	2	242	58										
NEW ENGLAND	67	115	-	-	7	4	322	524	-	32	-										
Maine	4	11	-	-	-	-	5	6	-	-	-										
N.H.	4	11	-	-	-	2	27	61	-	-	-										
Vt.	1	2	-	-	-	1	31	164	-	-	-										
Mass.	32	62	-	-	2	1	250	271	-	6	-										
R.I.	3	8	-	-	4	-	3	12	-	-	-										
Conn.	23	21	-	-	1	-	6	10	-	26	-										
MID. ATLANTIC	139	194	-	15	34	3	249	186	1	111	13										
Upstate N.Y.	36	46	-	3	5	3	120	63	1	104	2										
N.Y. City	15	33	-	4	1	-	4	45	-	2	11										
N.J.	37	37	-	1	6	-	5	11	-	4	-										
Pa.	51	78	U	7	22	U	120	67	U	1	-										
E.N. CENTRAL	202	281	-	39	36	6	182	231	-	-	3										
Ohio	83	103	-	19	13	5	71	68	-	-	-										
Ind.	25	33	U	3	4	U	48	27	U	-	-										
Ill.	47	82	-	1	8	-	14	30	-	-	-										
Mich.	26	38	-	16	10	1	32	31	-	-	-										
Wis.	21	25	-	-	1	-	17	75	-	-	3										
W.N. CENTRAL	116	137	-	20	8	9	153	139	-	13	-										
Minn.	19	23	-	10	3	7	86	86	-	-	-										
Iowa	16	27	-	6	4	2	38	8	-	-	-										
Mo.	48	64	-	3	-	-	12	22	-	2	-										
N. Dak.	-	1	-	1	-	-	-	2	-	-	-										
S. Dak.	6	4	-	-	-	-	4	3	-	-	-										
Nebr.	4	4	-	-	1	-	5	3	-	-	-										
Kans.	23	14	-	-	-	-	8	15	-	11	-										
S. ATLANTIC	248	315	1	32	36	4	121	195	1	6	17										
Del.	1	4	-	-	-	-	1	-	-	-	-										
Md.	22	31	-	-	1	-	25	74	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	22	31	-	4	4	-	6	19	-	-	1										
W. Va.	7	13	-	-	-	-	1	4	-	-	-										
N.C.	34	55	-	7	7	-	42	46	-	3	10										
S.C.	37	38	-	4	9	-	13	9	-	-	6										
Ga.	55	60	-	1	5	1	4	6	-	-	-										
Fla.	70	78	1	16	10	3	28	35	1	3	-										
E.S. CENTRAL	103	134	1	1	19	-	48	44	-	-	1										
Ky.	16	35	-	-	3	-	18	11	-	-	-										
Tenn.	40	43	1	1	3	-	17	15	-	-	-										
Ala.	47	39	-	-	6	-	13	12	-	-	1										
Miss.	U	17	U	U	7	U	U	6	U	U	-										
W.S. CENTRAL	155	187	-	31	40	1	124	70	-	62	3										
Ark.	22	25	-	-	-	-	16	4	-	-	-										
La.	35	33	-	2	11	-	1	11	-	-	-										
Okla.	26	23	-	-	-	-	13	8	-	-	-										
Tex.	72	106	-	29	29	1	94	47	-	62	3										
MOUNTAIN	83	114	-	21	44	16	435	660	-	5	4										
Mont.	2	7	-	-	-	-	1	7	-	-	-										
Idaho	4	7	-	3	2	1	177	429	-	-	1										
Wyo.	3	1	-	1	1	-	7	4	-	-	-										
Colo.	19	31	-	4	3	5	85	159	-	-	-										
N. Mex.	15	19	N	N	N	2	64	32	-	1	-										
Ariz.	28	26	-	4	27	7	68	15	-	1	3										
Utah	9	11	-	3	6	1	22	4	-	2	-										
Nev.	3	12	U	6	5	U	11	10	U	1	-										
PACIFIC	291	419	1	65	99	9	306	396	-	13	17										
Wash.	38	51	-	5	12	5	136	177	-	9	3										
Oreg.	55	85	N	N	N	-	17	23	-	-	-										
Calif.	193	280	1	45	71	4	147	185	-	2	7										
Alaska	1	1	-	2	5	-	2	2	-	-	-										
Hawaii	4	2	-	13	11	-	4	9	-	2	7										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	4	9	-	1	4	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	4	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


