
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2005 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2005
Legionellosis cummulative for 2004
Listeriosis cummulative for 2005
Listeriosis cummulative for 2004
Lyme Disease cummulative for 2005
Lyme Disease cummulative for 2004
Malaria cummulative for 2005
Malaria cummulative for 2004

tab delimited data:
test
UNITED STATES	4	30	4	6	53	156	7	24													
NEW ENGLAND	-	-	-	-	-	15	-	2													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	-	-	-	-	-	15	-	2													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	-	-													
MID. ATLANTIC	2	9	1	2	31	128	1	5													
Upstate N.Y.	-	-	-	-	-	28	-	-													
N.Y. City	-	-	-	-	-	-	-	2													
N.J.	1	6	-	2	21	44	1	1													
Pa.	1	3	1	-	10	56	-	2													
E.N. CENTRAL	-	10	1	1	5	1	-	1													
Ohio	-	5	1	1	5	-	-	-													
Ind.	-	-	-	-	-	-	-	-													
Ill.	-	3	-	-	-	-	-	1													
Mich.	-	2	-	-	-	-	-	-													
Wis.	-	-	-	-	U	1	-	-													
W.N. CENTRAL	-	-	-	-	-	2	-	1													
Minn.	-	-	-	-	-	-	-	-													
Iowa	-	-	-	-	-	1	-	-													
Mo.	-	-	-	-	-	1	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	2	6	2	1	6	6	1	10													
Del.	-	-	N	N	-	-	-	-													
Md.	-	2	-	-	3	6	1	2													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	1	3	1	1	-	-	-	-													
S.C.	-	1	-	-	-	-	-	1													
Ga.	1	-	-	-	-	-	-	4													
Fla.	-	-	1	-	3	-	-	3													
E.S. CENTRAL	-	2	-	-	1	-	2	-													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	-	-	-	-	1	-	2	-													
Ala.	-	2	-	-	-	-	-	-													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	-	2	-	-	-	1	-	2													
Ark.	-	-	-	-	-	-	-	-													
La.	-	-	-	-	-	-	-	1													
Okla.	-	-	-	-	-	-	-	-													
Tex.	-	2	-	-	-	1	-	1													
MOUNTAIN	-	1	-	1	10	-	2	1													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	1	-	1	-	-	-	-													
N. Mex.	-	-	-	-	-	-	-	-													
Ariz.	-	-	-	-	10	-	1	-													
Utah	-	-	-	-	-	-	1	-													
Nev.	-	-	-	-	-	-	-	1													
PACIFIC	-	-	-	1	-	3	1	2													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	N	N	-	1	-	-	1	-													
Calif.	-	-	-	-	-	3	-	2													
Alaska	-	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	N	N	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	N	N	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


