
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 17, 2006 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2006
Hepatitis (Viral Acute), Type A cummulative for 2005
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2006
Hepatitis (Viral Acute), Type B cummulative for 2005
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2006
Legionellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	20	74	243	1,497	1,749	51	87	594	1,693	2,386	25	41	127	584	544						
NEW ENGLAND	2	6	22	88	182	-	2	9	32	67	2	2	12	25	28						
Conn.	2	1	3	16	25	-	0	3	-	27	2	0	8	11	7						
Maine	-	0	2	4	1	-	0	2	9	4	-	0	1	3	1						
Mass.	-	4	14	44	116	-	1	5	14	22	-	1	6	9	13						
N.H.	-	1	12	15	33	-	0	3	5	11	-	0	1	1	4						
R.I.	-	0	4	3	5	-	0	2	4	1	-	0	10	-	3						
Vt.	-	0	2	6	2	-	0	1	-	2	-	0	3	1	-						
MID. ATLANTIC	5	9	24	109	291	1	9	55	157	316	4	12	53	146	152						
N.J.	-	2	9	17	53	-	3	10	40	114	-	1	13	6	26						
N.Y. (Upstate)	5	1	14	40	41	-	1	43	27	28	3	4	29	63	39						
N.Y. City	-	2	10	26	149	-	1	5	19	70	-	1	20	11	20						
Pa.	-	1	6	26	48	1	3	9	71	104	1	5	17	66	67						
E.N. CENTRAL	4	7	15	128	160	9	8	24	150	260	9	8	25	122	113						
Ill.	-	1	11	17	49	-	1	7	6	76	-	1	5	11	16						
Ind.	1	0	7	18	9	3	0	17	19	10	1	0	6	5	10						
Mich.	3	2	8	51	53	1	3	7	63	89	1	2	6	27	29						
Ohio	-	1	4	35	26	5	2	8	57	66	7	3	19	61	48						
Wis.	-	0	5	7	23	-	0	6	5	19	-	1	5	18	10						
W.N. CENTRAL	1	2	29	70	46	-	5	19	64	115	-	1	12	17	17						
Iowa	-	0	2	4	12	-	0	2	5	12	-	0	1	1	3						
Kans.	-	0	5	20	7	-	0	2	5	16	-	0	1	1	2						
Minn.	-	0	29	6	3	-	0	13	6	10	-	0	10	-	1						
Mo.	1	1	4	26	21	-	3	7	45	63	-	0	3	10	9						
Nebr.	-	0	3	9	3	-	0	2	3	13	-	0	2	3	1						
N. Dak.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	1						
S. Dak.	-	0	3	5	-	-	0	1	-	1	-	0	6	2	-						
S. ATLANTIC	7	12	34	224	265	20	23	66	531	686	9	9	19	148	126						
Del.	-	0	2	8	4	-	0	4	18	18	-	0	4	2	8						
D.C.	-	0	2	2	2	-	0	2	4	4	-	0	2	5	2						
Fla.	1	4	18	79	91	4	9	19	199	237	6	3	8	70	35						
Ga.	-	1	6	26	52	2	3	9	74	113	-	0	4	6	13						
Md.	-	1	6	29	26	-	2	9	78	78	1	2	9	27	36						
N.C.	5	0	20	45	32	11	0	23	85	68	-	0	3	14	12						
S.C.	-	1	3	10	14	1	2	7	28	71	-	0	2	2	4						
Va.	1	1	11	24	41	2	1	18	18	78	2	1	7	21	12						
W. Va.	-	0	1	1	3	-	0	18	27	19	-	0	3	1	4						
E.S. CENTRAL	1	3	15	49	112	5	6	18	139	180	-	2	9	35	25						
Ala.	-	0	9	3	14	4	1	7	44	45	-	0	1	5	8						
Ky.	-	0	5	22	7	-	1	5	35	39	-	0	4	9	9						
Miss.	-	0	2	2	11	-	0	3	5	25	-	0	1	-	1						
Tenn.	1	1	7	22	80	1	2	12	55	71	-	1	7	21	7						
W.S. CENTRAL	-	8	77	104	189	14	13	315	272	220	-	1	32	11	11						
Ark.	-	0	9	26	7	-	1	4	14	32	-	0	3	-	3						
La.	-	0	4	4	31	-	1	3	10	37	-	0	1	4	-						
Okla.	-	0	2	4	3	7	0	17	12	20	-	0	3	1	1						
Tex.	-	5	73	70	148	7	11	295	236	131	-	0	26	6	7						
MOUNTAIN	-	5	18	110	142	1	7	39	131	253	1	2	8	38	44						
Ariz.	-	2	16	64	69	-	5	27	86	161	-	0	3	14	11						
Colo.	-	1	4	17	18	-	1	5	15	24	-	0	3	2	10						
Idaho	-	0	2	5	18	-	0	2	5	5	-	0	2	5	1						
Mont.	-	0	2	5	7	-	0	7	-	3	1	0	1	3	3						
Nev.	-	0	2	5	7	-	1	4	13	24	-	0	2	3	9						
N. Mex.	-	0	3	5	9	-	0	3	1	12	-	0	1	-	2						
Utah	-	0	2	8	13	1	0	4	11	23	-	0	2	10	5						
Wyo.	-	0	1	1	1	-	0	1	-	1	-	0	1	1	3						
PACIFIC	-	16	163	615	362	1	10	61	217	289	-	2	9	42	28						
Alaska	-	0	1	-	3	-	0	1	1	6	-	0	1	-	-						
Calif.	-	14	162	563	303	-	7	41	163	202	-	2	9	42	27						
Hawaii	-	0	2	7	12	-	0	1	4	2	-	0	1	-	1						
Oreg.	-	1	5	25	23	1	1	6	33	49	N	0	0	N	N						
Wash.	-	1	13	20	21	-	0	18	16	30	-	0	0	-	-						
Amer. Samoa	U	0	1	U	1	U	0	0	U	-	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	2	-	0	2	-	15	-	0	0	-	-						
P.R.	-	0	4	7	39	2	1	8	13	14	-	0	1	1	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


