
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 16, 2006 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shiga toxin-producing E. coli(STEC)† cummulative for 2005
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2006
Shigellosis cummulative for 2005
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcal disease, invasive, group A cummulative for 2005

tab delimited data:
test
UNITED STATES	94	53	297	3,026	3,156	160	254	1,013	13,075	14,847	57	92	282	4,520	4,339						
NEW ENGLAND	-	2	108	282	218	-	3	70	227	314	-	3	15	185	273						
Conn.	-	0	107	107	58	-	0	64	64	55	U	0	1	U	98						
Maine	-	0	8	43	29	-	0	2	3	15	-	0	2	18	14						
Mass.	-	1	9	82	85	-	2	11	128	189	-	2	6	101	124						
N.H.	-	0	3	25	18	-	0	2	11	18	-	0	9	44	18						
R.I.	-	0	2	8	7	-	0	3	15	20	-	0	3	8	9						
Vt.	-	0	2	2	21	-	0	2	6	17	-	0	2	14	10						
MID. ATLANTIC	63	5	107	403	351	8	16	72	803	1,208	5	18	43	866	840						
N.J.	-	0	3	3	73	-	3	34	242	308	-	2	8	122	176						
N.Y. (Upstate)	-	0	103	10	133	7	4	60	227	263	4	5	32	296	235						
N.Y. City	-	0	4	35	17	-	5	13	248	405	-	2	8	141	165						
Pa.	48	2	25	197	128	1	1	6	86	232	1	6	13	307	264						
E.N. CENTRAL	9	10	56	631	630	10	20	38	1,013	1,151	7	14	44	749	872						
Ill.	-	1	7	81	139	-	7	21	376	392	-	3	11	144	295						
Ind.	4	1	8	86	71	2	2	18	165	173	1	2	11	112	99						
Mich.	-	1	6	90	93	1	3	8	143	235	-	3	12	204	207						
Ohio	5	3	18	196	168	7	3	14	192	132	6	4	19	237	182						
Wis.	-	2	39	178	159	-	3	9	137	219	-	1	4	52	89						
W.N. CENTRAL	10	11	35	627	525	17	36	77	1,700	1,715	10	5	57	343	275						
Iowa	-	2	13	129	99	-	2	10	116	97	N	0	0	N	N						
Kans.	1	0	4	29	53	-	2	11	137	263	-	1	5	53	39						
Minn.	7	3	27	238	173	4	3	24	237	88	7	0	52	156	105						
Mo.	-	0	1	1	97	10	9	69	643	998	1	1	5	80	68						
Nebr.	-	0	8	55	63	2	1	14	121	149	2	1	4	33	24						
N. Dak.	-	0	15	-	8	-	0	18	103	4	-	0	5	11	13						
S. Dak.	-	0	5	49	32	1	6	24	343	116	-	0	2	10	26						
S. ATLANTIC	4	9	39	463	406	52	58	142	3,245	2,380	17	21	44	1,110	901						
Del.	-	0	3	12	9	-	0	2	10	11	-	0	2	10	6						
D.C.	-	0	1	3	1	-	0	2	17	15	-	0	2	18	11						
Fla.	4	2	29	94	90	31	27	76	1,536	1,179	15	5	16	295	245						
Ga.	-	2	6	84	49	21	20	74	1,227	649	2	4	12	235	193						
Md.	-	1	8	98	75	-	2	10	123	101	-	4	12	194	167						
N.C.	3	2	7	111	64	-	1	21	151	195	-	0	26	157	124						
S.C.	1	0	2	10	12	-	1	9	72	102	-	1	6	56	33						
Va.	-	0	8	-	101	-	2	9	104	126	-	2	11	118	96						
W. Va.	-	0	5	12	5	-	0	2	5	2	-	0	6	27	26						
E.S. CENTRAL	-	2	12	97	175	3	13	81	912	1,166	-	3	11	185	171						
Ala.	-	0	5	47	29	3	4	72	435	216	N	0	0	N	N						
Ky.	-	1	12	97	76	-	4	15	230	314	-	0	5	36	33						
Miss.	-	0	0	-	8	-	2	9	91	101	-	0	0	-	-						
Tenn.	-	0	4	24	62	-	2	12	156	535	-	3	9	149	138						
W.S. CENTRAL	-	1	52	76	115	3	36	596	1,741	3,548	1	7	58	348	321						
Ark.	-	0	7	33	13	1	2	9	120	59	1	0	5	27	22						
La.	-	0	0	-	22	-	1	25	141	136	-	0	2	9	-						
Okla.	-	0	17	43	30	2	2	286	131	618	-	2	14	98	115						
Tex.	-	2	44	110	50	-	30	308	1,349	2,735	-	4	43	214	184						
