
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2000 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	81	100	1	2	19	54	123	187	-	-	-										
NEW ENGLAND	4	10	-	-	2	12	25	36	-	-	-										
Maine	1	2	-	-	-	-	-	-	-	-	-										
N.H.	-	1	-	-	-	7	8	-	-	-	-										
Vt.	1	1	-	-	-	5	17	5	-	-	-										
Mass.	1	6	U	-	2	U	-	31	U	-	-										
R.I.	-	-	U	-	-	U	-	-	U	-	-										
Conn.	1	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	4	13	-	-	-	1	2	4	-	-	-										
Upstate N.Y.	1	1	-	-	-	1	2	1	-	-	-										
N.Y. City	2	5	-	-	-	-	-	2	-	-	-										
N.J.	1	5	U	-	-	U	-	1	U	-	-										
Pa.	-	2	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	10	12	-	-	1	18	55	34	-	-	-										
Ohio	4	9	-	-	-	18	54	30	-	-	-										
Ind.	-	2	U	-	-	U	-	-	U	-	-										
Ill.	-	-	-	-	1	-	-	1	-	-	-										
Mich.	6	1	-	-	-	-	1	1	-	-	-										
Wis.	-	-	-	-	-	-	-	2	-	-	-										
W.N. CENTRAL	17	9	-	1	1	1	1	4	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	2	1	-	1	1	-	-	2	-	-	-										
Mo.	15	6	-	-	-	1	1	-	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	1	-	-	-	-	-	-	-	-	-										
Kans.	-	1	U	-	-	U	-	2	U	-	-										
S. ATLANTIC	6	10	-	-	1	1	5	16	-	-	-										
Del.	-	-	U	-	-	U	-	-	U	-	-										
Md.	2	6	U	-	-	U	-	9	U	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	1	1	-	-	-	-										
W. Va.	-	-	U	-	-	U	-	-	U	-	-										
N.C.	4	2	-	-	1	-	4	7	-	-	-										
S.C.	-	2	U	-	-	U	-	-	U	-	-										
Ga.	-	-	-	-	-	-	-	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	1	5	-	-	-	-	2	4	-	-	-										
Ky.	-	-	-	-	-	-	-	-	-	-	-										
Tenn.	-	1	-	-	-	-	-	1	-	-	-										
Ala.	1	1	-	-	-	-	2	3	-	-	-										
Miss.	-	3	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	-	3	-	-	2	-	1	1	-	-	-										
Ark.	-	1	-	-	-	-	1	-	-	-	-										
La.	-	-	U	-	-	U	-	-	U	-	-										
Okla.	-	1	U	-	-	U	-	-	U	-	-										
Tex.	-	1	U	-	2	U	-	1	U	-	-										
MOUNTAIN	3	13	-	-	1	20	28	34	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	1	2	-	-	-	-	-	14	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	4	-	-	-	17	17	8	-	-	-										
N. Mex.	1	1	N	N	N	3	9	3	-	-	-										
Ariz.	-	3	-	-	-	-	-	1	-	-	-										
Utah	1	2	-	-	-	-	2	7	-	-	-										
Nev.	-	1	-	-	1	-	-	1	-	-	-										
PACIFIC	36	25	1	1	11	1	4	54	-	-	-										
Wash.	3	2	-	-	-	1	1	1	-	-	-										
Oreg.	5	6	N	N	N	U	3	1	U	-	-										
Calif.	28	13	1	1	8	-	-	52	-	-	-										
Alaska	-	2	-	-	-	-	-	-	-	-	-										
Hawaii	-	2	U	-	3	U	-	-	U	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


