
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending December 29, 2012 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	2	12	66	885	850	2	13	64	781	2,575	-	2	14	136	148						
NEW ENGLAND	-	0	4	29	4	-	4	19	289	461	-	0	1	1	2						
Conn.	-	0	0	-	-	-	1	10	97	152	-	0	0	-	-						
Maine	-	0	2	5	1	-	1	4	50	26	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	172	-	0	0	-	-						
N.H.	-	0	1	4	1	-	1	5	53	31	-	0	0	-	1						
R.I.	-	0	3	20	2	-	1	11	77	72	-	0	1	1	1						
Vt.	-	0	0	-	-	-	0	2	12	8	-	0	0	-	-						
MID. ATLANTIC	-	0	6	43	108	2	5	44	310	482	-	0	2	12	25						
N.J.	-	0	1	-	60	-	0	3	1	126	-	0	0	-	7						
N.Y. (Upstate)	-	0	3	24	41	2	4	41	275	314	-	0	2	12	11						
N.Y. City	-	0	3	19	4	-	0	4	34	36	-	0	0	-	-						
Pa.	-	0	0	-	3	-	0	0	-	6	-	0	0	-	7						
E.N. CENTRAL	-	0	4	41	42	-	1	5	52	710	-	1	9	85	58						
Ill.	-	0	4	36	25	-	0	1	12	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	68	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	9	-	0	1	1	1						
Wis.	-	0	1	2	7	-	0	5	39	690	-	0	2	10	34						
W.N. CENTRAL	-	2	33	271	178	-	0	4	43	808	-	0	4	17	25						
