
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 5, 2001 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	518	475	2,962	4,360	2,004	2,072	2	22	2	19	41	29									
NEW ENGLAND	17	41	139	109	34	37	-	3	-	1	4	-									
Maine	1	1	3	6	3	2	-	-	-	-	-	-									
N.H.	-	6	5	11	7	8	-	-	-	-	-	-									
Vt.	-	3	2	3	1	3	-	1	-	-	1	-									
Mass.	16	23	45	44	3	1	-	2	-	1	3	-									
R.I.	-	1	6	6	8	7	-	-	-	-	-	-									
Conn.	-	7	78	39	12	16	-	-	-	-	-	-									
MID. ATLANTIC	59	70	258	319	266	349	1	2	-	5	7	10									
Upstate N.Y.	23	28	81	81	43	40	1	1	-	4	5	-									
N.Y. City	21	24	116	164	160	193	-	-	-	-	-	10									
N.J.	14	14	46	-	44	15	U	-	U	1	1	-									
Pa.	1	4	15	74	19	101	-	1	-	-	1	-									
E.N. CENTRAL	62	77	345	603	250	237	-	-	2	9	9	3									
Ohio	28	24	93	117	46	36	-	-	-	2	2	2									
Ind.	17	8	30	17	7	16	-	-	2	4	4	-									
Ill.	10	28	91	243	21	33	-	-	-	3	3	-									
Mich.	3	6	125	188	176	142	-	-	-	-	-	1									
Wis.	4	11	6	38	-	10	-	-	-	-	-	-									
W.N. CENTRAL	21	17	154	312	68	89	-	4	-	-	4	-									
Minn.	9	7	12	44	10	7	-	2	-	-	2	-									
Iowa	1	-	15	33	7	14	-	-	-	-	-	-									
Mo.	8	7	42	168	37	47	-	2	-	-	2	-									
N. Dak.	-	1	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	2	2	20	19	6	16	-	-	-	-	-	-									
Kans.	1	-	64	48	7	5	-	-	-	-	-	-									
S. ATLANTIC	174	114	641	433	438	344	-	3	-	1	4	-									
Del.	-	-	-	6	-	5	-	-	-	-	-	-									
Md.	44	28	98	50	52	50	-	2	-	1	3	-									
D.C.	-	-	16	-	3	-	-	-	-	-	-	-									
Va.	10	24	48	52	45	51	-	-	-	-	-	-									
W. Va.	4	3	2	35	10	2	-	-	-	-	-	-									
N.C.	22	9	43	80	84	96	-	-	-	-	-	-									
S.C.	4	3	22	14	5	2	-	-	-	-	-	-									
Ga.	43	33	227	56	110	48	-	1	-	-	1	-									
Fla.	47	14	185	140	129	90	-	-	-	-	-	-									
E.S. CENTRAL	34	20	103	193	123	156	-	-	-	-	-	-									
Ky.	1	9	12	20	14	29	-	-	-	-	-	-									
Tenn.	14	8	47	68	44	64	-	-	-	-	-	-									
Ala.	18	3	40	25	34	18	-	-	-	-	-	-									
Miss.	1	-	4	80	31	45	-	-	-	-	-	-									
W.S. CENTRAL	18	28	377	850	236	225	-	1	-	-	1	-									
Ark.	-	-	18	69	36	36	-	-	-	-	-	-									
La.	2	10	32	33	16	59	-	-	-	-	-	-									
Okla.	16	17	63	121	34	30	-	-	-	-	-	-									
Tex.	-	1	264	627	150	100	-	1	-	-	1	-									
MOUNTAIN	86	52	289	308	212	168	-	-	-	1	1	10									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	2	27	12	6	4	-	-	-	1	1	-									
Wyo.	4	-	15	3	16	-	U	-	U	-	-	-									
Colo.	19	11	28	61	42	33	-	-	-	-	-	3									
N. Mex.	12	11	8	35	54	52	-	-	-	-	-	-									
Ariz.	40	22	148	153	68	56	-	-	-	-	-	-									
Utah	3	4	26	18	10	4	-	-	-	-	-	3									
Nev.	7	2	33	25	15	16	U	-	U	-	-	4									
PACIFIC	47	56	656	1,233	377	467	1	9	-	2	11	6									
Wash.	1	3	24	93	31	17	-	-	-	-	-	3									
Oreg.	3	16	20	91	10	37	-	1	-	-	1	-									
Calif.	23	22	600	1,037	324	405	-	7	-	1	8	3									
Alaska	2	1	11	4	4	2	-	-	-	-	-	-									
Hawaii	18	14	1	8	8	6	1	1	-	1	2	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	2	39	119	25	82	-	-	-	-	-	-									
V.I.	-	-	-	-	-	-	U	-	U	-	-	-									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


