
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending May 28, 2005 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	2,029	2,427	1,182	1,219	370	404	2,783	3,030	101	161											
NEW ENGLAND	72	169	12	59	37	58	76	73	-	-											
Maine	2	3	N	N	-	1	1	-	-	-											
N.H.	6	11	-	-	2	N	5	2	-	-											
Vt.	7	5	6	5	3	1	-	-	-	-											
Mass.	51	81	-	11	32	36	59	44	-	-											
R.I.	6	16	6	7	-	3	2	9	-	-											
Conn.	-	53	U	36	U	17	9	18	-	-											
MID. ATLANTIC	465	405	126	90	64	54	355	399	15	21											
Upstate N.Y.	158	123	51	39	38	35	30	36	11	1											
N.Y. City	67	66	U	U	U	U	229	233	3	9											
N.J.	98	86	N	N	12	4	52	74	1	10											
Pa.	142	130	75	51	14	15	44	56	-	1											
E.N. CENTRAL	404	543	305	270	97	95	223	363	17	25											
Ohio	109	135	198	198	44	47	81	101	2	1											
Ind.	42	54	105	72	25	18	30	23	1	1											
Ill.	82	158	2	-	24	-	72	140	3	2											
Mich.	163	155	-	N	-	N	32	83	9	21											
Wis.	8	41	N	N	4	30	8	16	2	-											
W.N. CENTRAL	139	167	29	11	43	32	87	82	1	2											
Minn.	53	72	-	-	24	18	16	14	-	1											
Iowa	N	N	N	N	-	N	1	4	-	-											
Mo.	44	40	27	9	4	8	61	45	1	1											
N. Dak.	2	6	-	-	1	-	-	-	-	-											
S. Dak.	9	8	2	2	-	-	-	-	-	-											
Nebr.	9	12	-	-	4	4	2	5	-	-											
Kans.	22	29	N	N	10	2	7	14	-	-											
S. ATLANTIC	425	459	502	596	43	28	722	754	20	26											
Del.	-	2	1	3	-	N	6	3	-	-											
Md.	115	74	-	-	29	20	132	143	7	3											
D.C.	5	4	13	5	2	4	50	21	-	1											
Va.	27	37	N	N	-	N	35	32	3	1											
W. Va.	8	14	50	65	12	4	2	3	-	-											
N.C.	68	65	N	N	U	U	97	64	5	1											
S.C.	11	43	-	68	-	N	26	56	-	7											
Ga.	83	119	155	149	-	N	84	132	-	1											
Fla.	108	101	283	306	-	N	290	300	5	12											
E.S. CENTRAL	79	121	88	77	3	9	153	158	11	7											
Ky.	19	35	14	19	N	N	15	23	-	-											
Tenn.	60	86	74	56	-	N	66	57	8	1											
Ala.	-	-	-	-	-	N	57	59	3	4											
Miss.	-	-	-	2	3	9	15	19	-	2											
W.S. CENTRAL	85	277	79	38	52	103	487	447	20	32											
Ark.	7	6	8	5	10	7	22	13	-	3											
La.	5	1	71	33	17	20	107	103	2	2											
Okla.	62	32	N	N	16	23	17	12	1	2											
Tex.	11	238	N	N	9	53	341	319	17	25											
MOUNTAIN	320	248	41	17	31	25	140	156	13	13											
Mont.	-	-	-	-	-	-	5	-	-	-											
Idaho	1	4	N	N	-	N	13	10	1	2											
Wyo.	2	5	16	4	-	-	-	1	-	-											
Colo.	123	49	N	N	30	25	15	28	-	-											
N. Mex.	23	53	-	5	-	-	18	42	1	2											
Ariz.	127	116	N	N	-	N	56	66	11	9											
Utah	43	21	24	6	1	-	4	2	-	-											
Nev.	1	-	1	2	-	-	29	7	-	-											
PACIFIC	40	38	-	61	-	-	540	598	4	35											
Wash.	N	N	N	N	N	N	60	33	-	-											
Oreg.	N	N	N	N	-	N	12	14	-	-											
Calif.	-	-	N	N	N	N	462	548	4	35											
Alaska	-	-	-	-	-	N	4	-	-	-											
Hawaii	40	38	-	61	-	-	2	3	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	64	56	6	3											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


