
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 29, 2006 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2006
Giardiasis cummulative for 2005
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2006
Gonorrhea cummulative for 2005
Haemophilus influenzae, invasive, All ages, all serotypes current week
Haemophilus influenzae, invasive, All ages, all serotypes previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes cummulative for 2005

tab delimited data:
test
UNITED STATES	222	306	1,029	7,983	9,546	3,972	6,431	14,136	177,564	186,015	34	37	142	1,166	1,450						
NEW ENGLAND	19	25	75	622	840	110	105	288	3,180	3,528	1	3	19	91	104						
Conn.	-	0	37	140	185	17	41	241	1,275	1,551	-	0	9	23	31						
Maine	12	2	11	69	106	1	2	6	67	78	-	0	3	11	7						
Mass.	3	10	34	275	366	89	47	75	1,406	1,491	1	1	6	44	50						
N.H.	-	0	3	10	40	2	4	9	124	94	-	0	1	3	5						
R.I.	3	0	25	50	57	-	8	19	269	282	-	0	7	2	7						
Vt.	1	3	9	78	86	1	1	4	39	32	-	0	2	8	4						
MID. ATLANTIC	33	56	254	1,390	1,744	385	636	1,014	16,771	18,697	4	7	30	220	270						
N.J.	-	7	18	96	231	-	106	150	2,633	3,212	-	1	4	26	51						
N.Y. (Upstate)	27	23	227	592	587	138	123	455	3,473	3,692	3	2	27	84	78						
N.Y. City	-	13	32	338	484	82	170	402	4,599	5,579	-	1	4	18	49						
Pa.	6	16	29	364	442	165	212	392	6,066	6,214	1	3	8	92	92						
E.N. CENTRAL	18	51	110	1,171	1,662	487	1,269	7,047	33,092	36,424	5	5	14	161	256						
Ill.	-	10	32	195	412	391	380	567	10,331	11,071	-	1	6	32	84						
Ind.	N	0	0	N	N	49	154	228	3,812	4,580	5	1	7	48	47						
Mich.	-	14	29	329	400	-	233	5,880	7,153	5,810	-	0	3	15	13						
Ohio	18	16	34	392	360	37	379	661	8,117	11,780	-	1	6	48	82						
Wis.	-	11	40	255	490	10	129	172	3,679	3,183	-	0	4	18	30						
W.N. CENTRAL	24	35	260	978	1,078	152	357	461	10,087	10,528	-	2	15	71	71						
Iowa	-	5	14	123	137	14	32	54	935	869	-	0	0	-	-						
Kans.	-	4	9	86	106	-	47	124	1,230	1,423	-	0	3	12	7						
Minn.	12	3	238	415	487	5	62	102	1,534	1,971	-	0	9	35	28						
Mo.	9	10	32	269	221	121	183	240	5,422	5,306	-	0	7	18	25						
Nebr.	3	2	6	48	65	-	21	56	697	693	-	0	2	4	10						
N. Dak.	-	0	7	5	5	-	2	7	55	50	-	0	3	2	1						
S. Dak.	-	1	7	32	57	12	6	13	214	216	-	0	0	-	-						
S. ATLANTIC	27	49	95	1,209	1,437	1,395	1,479	2,334	43,388	43,942	23	9	24	334	352						
Del.	-	1	4	18	32	22	25	44	837	450	-	0	1	1	-						
D.C.	-	1	5	39	22	25	36	66	923	1,145	-	0	1	2	5						
Fla.	13	18	39	531	508	370	421	543	12,882	11,152	8	3	9	112	86						
Ga.	7	11	26	225	394	-	294	1,014	6,793	8,116	10	2	6	57	75						
Md.	3	4	10	95	98	110	129	231	3,844	3,886	3	1	5	40	46						
N.C.	N	0	0	N	N	240	283	766	9,306	9,032	1	0	9	40	59						
S.C.	-	1	7	56	73	573	128	748	4,757	5,013	-	1	3	25	23						
Va.	4	9	50	233	290	55	134	288	3,572	4,762	-	1	8	44	38						
W. Va.	-	0	6	12	20	-	16	42	474	386	1	0	4	13	20						
E.S. CENTRAL	33	8	18	248	208	371	560	726	16,580	15,682	1	2	6	69	81						
Ala.	23	4	14	130	95	39	179	308	5,342	4,967	-	0	4	18	15						
