
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 20, 2005 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	25,103	567,157	580,794	2,767	3,510	1,610	1,980													
NEW ENGLAND	778	842	20,253	19,066	-	-	94	110													
Maine	11	14	1,272	1,248	N	N	12	15													
N.H.	20	29	1,144	1,060	-	-	14	20													
Vt.	4	13	614	726	-	-	20	16													
Mass.	368	283	9,008	8,418	-	-	33	43													
R.I.	68	82	2,063	2,163	-	-	3	4													
Conn.	307	421	6,152	5,451	N	N	12	12													
MID. ATLANTIC	4,352	5,527	69,789	71,800	-	-	219	290													
Upstate N.Y.	800	665	14,137	14,230	N	N	81	63													
N.Y. City	2,327	3,053	22,817	22,273	-	-	42	80													
N.J.	574	977	10,585	11,430	N	N	10	28													
Pa.	651	832	22,250	23,867	N	N	86	119													
E.N. CENTRAL	1,938	2,098	86,835	102,529	5	9	338	615													
Ohio	312	423	21,403	25,316	N	N	113	121													
Ind.	236	247	12,495	11,430	N	N	24	48													
Ill.	983	943	26,018	29,951	-	-	34	110													
Mich.	322	380	15,282	23,965	5	9	49	99													
Wis.	85	105	11,637	11,867	N	N	118	237													
W.N. CENTRAL	463	501	35,193	35,216	6	5	306	243													
Minn.	123	141	6,508	7,417	3	N	64	82													
Iowa	50	36	4,314	4,294	N	N	59	50													
Mo.	198	202	14,081	12,959	2	3	146	42													
N. Dak.	5	15	715	1,156	N	N	-	9													
S. Dak.	10	7	1,769	1,535	-	-	13	23													
Nebr.	18	21	3,494	3,251	1	2	4	18													
Kans.	59	79	4,312	4,604	N	N	20	19													
S. ATLANTIC	6,473	7,869	111,795	108,492	1	-	300	310													
Del.	100	105	2,086	1,813	N	N	-	-													
Md.	812	983	11,795	11,987	1	-	20	12													
D.C.	467	496	2,349	2,252	-	-	5	10													
Va.	307	465	12,928	13,909	-	-	22	31													
W. Va.	36	55	1,655	1,787	N	N	6	4													
N.C.	531	393	21,163	18,206	N	N	35	52													
S.C.	386	493	14,230	11,226	-	-	9	13													
Ga.	1,103	1,015	18,487	20,438	-	-	61	105													
Fla.	2,731	3,864	27,102	26,874	N	N	142	83													
E.S. CENTRAL	1,093	1,183	41,450	37,684	-	4	60	77													
Ky.	135	129	6,017	3,590	N	N	22	26													
Tenn.	434	462	14,957	14,355	N	N	21	22													
Ala.	295	304	7,235	8,623	-	-	15	13													
Miss.	229	288	13,241	11,116	-	4	2	16													
W.S. CENTRAL	2,206	3,137	68,729	73,292	1	2	55	66													
Ark.	72	132	4,672	5,164	-	1	2	13													
La.	436	638	12,572	14,954	1	1	3	2													
Okla.	167	120	6,896	7,200	N	N	30	15													
Tex.	1,531	2,247	44,589	45,974	N	N	20	36													
MOUNTAIN	789	851	33,639	34,945	1,950	2,182	74	101													
Mont.	4	4	1,166	1,569	N	N	12	28													
Idaho	9	11	1,554	1,809	N	N	6	10													
Wyo.	2	6	698	679	2	1	2	2													
Colo.	163	162	8,615	8,531	N	N	23	34													
N. Mex.	72	138	3,272	5,668	6	16	3	9													
Ariz.	329	310	11,604	10,570	1,907	2,114	9	14													
Utah	33	41	2,696	2,369	4	11	11	2													
Nev.	177	179	4,034	3,750	31	40	8	2													
PACIFIC	2,313	3,095	99,474	97,770	804	1,308	164	168													
Wash.	229	214	11,887	11,064	N	N	25	14													
Oreg.	136	155	5,294	5,137	-	-	31	24													
Calif.	1,874	2,648	77,061	75,610	804	1,308	107	128													
Alaska	14	21	2,523	2,406	-	-	-	-													
Hawaii	60	57	2,709	3,553	-	-	1	2													
Guam	1	1	-	736	-	-	-	-													
P.R.	537	395	2,341	2,430	N	N	N	N													
V.I.	10	6	119	243	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


