
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 6, 2012 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	12,870	26,573	30,645	1,013,322	1,079,054	22	391	583	13,580	17,183	63	131	269	5,523	7,646						
NEW ENGLAND	513	973	1,807	36,187	34,328	-	0	1	2	2	1	7	19	313	352						
Conn.	-	256	1,268	9,039	8,181	N	0	0	N	N	-	1	3	30	64						
Maine	-	60	101	2,301	2,381	N	0	0	N	N	-	1	4	57	40						
Mass.	430	453	711	18,021	17,234	-	0	0	-	-	-	3	8	121	145						
N.H.	12	62	85	2,319	2,309	-	0	1	1	1	-	1	3	36	60						
R.I.	34	84	186	3,305	3,087	-	0	1	1	1	-	0	10	11	1						
Vt.	37	28	71	1,202	1,136	N	0	0	N	N	1	1	6	58	42						
MID. ATLANTIC	1,652	3,516	4,469	133,063	137,649	-	0	1	4	4	11	14	39	611	760						
N.J.	170	544	637	21,311	20,464	N	0	0	N	N	-	0	4	23	46						
N.Y. (Upstate)	639	733	2,215	28,136	27,126	N	0	0	N	N	7	4	18	184	181						
N.Y. City	-	1,136	1,458	41,165	50,237	N	0	0	N	N	-	2	8	85	73						
Pa.	843	1,096	1,338	42,451	39,822	-	0	1	4	4	4	7	19	319	460						
E.N. CENTRAL	1,243	4,057	4,785	150,777	169,708	-	1	4	41	40	19	32	99	1,367	2,230						
