
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 14, 2004 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	187	284	2	5	12	12	18	29	532	1,005											
NEW ENGLAND	11	18	-	-	1	1	-	1	97	19											
Maine	1	-	-	-	-	-	-	-	4	1											
N.H.	-	3	-	-	-	-	-	-	-	-											
Vt.	1	4	-	-	-	-	-	-	4	1											
Mass.	2	8	-	-	-	1	-	1	77	12											
R.I.	1	-	-	-	-	-	-	-	-	-											
Conn.	6	3	-	-	1	-	-	-	12	5											
MID. ATLANTIC	38	28	-	-	-	-	5	3	70	112											
Upstate N.Y.	15	3	-	-	-	-	1	1	6	5											
N.Y. City	3	9	-	-	-	-	1	2	23	51											
N.J.	5	5	-	-	-	-	1	-	9	18											
Pa.	15	11	-	-	-	-	2	-	32	38											
E.N. CENTRAL	31	26	-	1	6	1	4	7	39	82											
Ohio	20	5	-	-	2	-	3	2	7	14											
Ind.	1	1	-	-	-	-	1	-	3	2											
Ill.	-	13	-	-	-	-	-	5	7	31											
Mich.	7	4	-	1	4	1	-	-	20	24											
Wis.	3	3	-	-	-	-	-	-	2	11											
W.N. CENTRAL	5	14	-	-	1	-	-	3	14	17											
Minn.	3	4	-	-	1	-	-	-	-	1											
Iowa	-	-	-	-	-	-	-	-	4	5											
Mo.	1	8	-	-	-	-	-	3	5	5											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	1	-	-	-	-	-	-	-	1	2											
Kans.	-	2	-	-	-	-	-	-	4	4											
S. ATLANTIC	57	140	-	1	-	8	4	9	112	525											
Del.	-	-	-	-	-	-	-	-	-	2											
Md.	16	8	-	-	-	1	1	-	22	19											
D.C.	-	-	-	-	-	-	-	-	1	-											
Va.	7	2	-	-	-	-	-	-	13	4											
W. Va.	1	-	-	-	-	-	-	-	-	2											
N.C.	1	2	-	-	-	-	-	-	5	5											
S.C.	-	1	-	-	-	-	-	-	-	6											
Ga.	19	4	-	-	-	-	2	-	35	76											
Fla.	13	123	-	1	-	7	1	9	36	411											
E.S. CENTRAL	10	15	-	-	-	-	1	3	11	19											
Ky.	-	1	-	-	-	-	-	-	-	2											
Tenn.	5	6	-	-	-	-	-	2	8	11											
Ala.	5	7	-	-	-	-	1	1	-	5											
Miss.	-	1	-	-	-	-	-	-	3	1											
W.S. CENTRAL	4	10	-	-	1	1	-	-	9	56											
Ark.	-	1	-	-	-	-	-	-	4	1											
La.	-	4	-	-	-	-	-	-	-	6											
Okla.	4	5	-	-	1	1	-	-	4	1											
Tex.	-	-	-	-	-	-	-	-	1	48											
MOUNTAIN	26	22	-	1	3	1	3	2	62	28											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	2	-											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	3	4	-	-	-	-	1	-	1	1											
N. Mex.	4	2	-	-	1	-	-	-	-	-											
Ariz.	15	11	-	1	1	-	1	1	51	17											
Utah	1	3	-	-	-	-	1	1	6	4											
Nev.	3	2	-	-	1	1	-	-	1	6											
PACIFIC	5	11	2	2	-	-	1	1	118	147											
Wash.	3	-	2	-	-	-	1	-	5	2											
Oreg.	2	5	-	-	-	-	-	1	9	12											
Calif.	-	4	-	2	-	-	-	-	103	130											
Alaska	-	-	-	-	-	-	-	-	-	1											
Hawaii	-	2	-	-	-	-	-	-	1	2											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	3											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


