
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 14, 2001 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	389	413	2,367	3,650	1,609	1,689	2	15	-	15	30	19									
NEW ENGLAND	14	33	98	94	16	29	-	3	-	1	4	-									
Maine	1	1	1	5	2	1	-	-	-	-	-	-									
N.H.	-	6	5	8	6	6	-	-	-	-	-	-									
Vt.	-	3	2	3	1	3	-	1	-	-	1	-									
Mass.	13	19	35	39	1	1	-	2	-	1	3	-									
R.I.	-	-	5	5	6	6	-	-	-	-	-	-									
Conn.	-	4	50	34	-	12	-	-	-	-	-	-									
MID. ATLANTIC	47	64	207	246	212	289	1	2	-	4	6	8									
Upstate N.Y.	17	26	61	70	38	29	-	-	-	4	4	-									
N.Y. City	18	21	85	132	115	161	-	-	-	-	-	8									
N.J.	11	13	46	-	44	14	1	1	-	-	1	-									
Pa.	1	4	15	44	15	85	-	1	-	-	1	-									
E.N. CENTRAL	49	64	264	507	192	166	-	-	-	7	7	3									
Ohio	26	20	80	111	35	32	-	-	-	2	2	2									
Ind.	13	5	22	13	5	11	-	-	-	2	2	-									
Ill.	4	25	59	217	14	2	-	-	-	3	3	-									
Mich.	3	3	103	153	138	120	-	-	-	-	-	1									
Wis.	3	11	-	13	-	1	-	-	-	-	-	-									
W.N. CENTRAL	18	12	135	320	58	87	-	4	-	-	4	-									
Minn.	8	7	8	36	5	6	-	1	-	-	1	-									
Iowa	1	-	12	32	5	12	-	-	-	-	-	-									
Mo.	8	4	41	199	37	56	-	3	-	-	3	-									
N. Dak.	-	1	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	1	-	18	12	5	9	-	-	-	-	-	-									
Kans.	-	-	55	41	5	4	-	-	-	-	-	-									
S. ATLANTIC	145	103	510	375	370	289	-	3	-	1	4	-									
Del.	-	-	-	6	-	4	-	-	-	-	-	-									
Md.	38	28	70	47	44	47	-	2	-	1	3	-									
D.C.	-	-	14	-	3	-	-	-	-	-	-	-									
Va.	9	20	42	46	39	39	-	-	-	-	-	-									
W. Va.	4	3	2	33	6	2	-	-	-	-	-	-									
N.C.	20	8	34	65	80	81	-	-	-	-	-	-									
S.C.	2	5	17	12	1	2	-	-	-	-	-	-									
Ga.	31	26	167	48	94	45	-	1	-	-	1	-									
Fla.	41	13	164	118	103	69	-	-	-	-	-	-									
E.S. CENTRAL	25	18	80	164	99	120	-	-	-	-	-	-									
Ky.	1	9	8	16	11	19	-	-	-	-	-	-									
Tenn.	12	6	38	57	39	54	-	-	-	-	-	-									
Ala.	11	3	30	23	28	9	-	-	-	-	-	-									
Miss.	1	-	4	68	21	38	-	-	-	-	-	-									
W.S. CENTRAL	9	23	326	692	212	192	-	1	-	-	1	-									
Ark.	-	-	17	53	26	25	-	-	-	-	-	-									
La.	2	7	20	28	14	48	-	-	-	-	-	-									
Okla.	7	16	53	106	25	23	-	-	-	-	-	-									
Tex.	-	-	236	505	147	96	-	1	-	-	1	-									
MOUNTAIN	73	48	239	255	160	132	-	-	-	1	1	2									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	2	26	11	4	4	-	-	-	1	1	-									
Wyo.	-	-	1	3	-	-	-	-	-	-	-	-									
Colo.	15	11	28	55	34	28	-	-	-	-	-	-									
N. Mex.	10	11	7	30	43	43	-	-	-	-	-	-									
Ariz.	38	19	118	121	59	40	-	-	-	-	-	-									
Utah	2	3	22	17	6	3	-	-	-	-	-	-									
Nev.	7	2	33	17	13	11	-	-	-	-	-	2									
PACIFIC	9	48	508	997	290	385	1	2	-	1	3	6									
Wash.	1	2	22	62	27	17	-	-	-	-	-	3									
Oreg.	2	16	10	74	5	33	1	1	-	-	1	-									
Calif.	5	16	466	850	254	328	U	1	U	1	2	3									
Alaska	1	1	10	4	4	2	-	-	-	-	-	-									
Hawaii	-	13	-	7	-	5	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	2	28	106	15	74	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


