
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 19, 1998 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,963	2,430	11	352	438	94	3,773	3,809	3	319	135										
NEW ENGLAND	76	150	-	4	8	15	636	687	-	38	1										
Maine	5	17	-	-	-	-	5	7	-	-	-										
N.H.	4	12	-	-	-	2	62	85	-	-	-										
Vt.	1	4	-	-	-	2	65	190	-	-	-										
Mass.	38	74	-	2	2	11	463	376	-	8	1										
R.I.	3	15	-	-	5	-	7	12	-	1	-										
Conn.	25	28	-	2	1	-	34	17	-	29	-										
MID. ATLANTIC	179	250	-	19	47	11	403	296	-	130	31										
Upstate N.Y.	46	68	-	4	10	7	210	119	-	111	4										
N.Y. City	20	42	-	4	3	4	23	58	-	14	27										
N.J.	47	47	U	2	7	U	5	12	U	4	-										
Pa.	66	93	-	9	27	-	165	107	-	1	-										
E.N. CENTRAL	296	360	-	59	53	5	391	398	-	-	6										
Ohio	113	132	-	23	19	2	191	109	-	-	-										
Ind.	51	40	-	5	7	-	83	39	-	-	-										
Ill.	73	105	-	10	8	2	49	55	-	-	2										
Mich.	34	52	-	21	16	1	51	47	-	-	-										
Wis.	25	31	-	-	3	-	17	148	-	-	4										
W.N. CENTRAL	166	173	-	25	14	8	304	286	-	27	-										
Minn.	29	29	-	12	5	7	184	184	-	-	-										
Iowa	31	39	-	9	7	1	56	23	-	-	-										
Mo.	59	73	-	3	-	-	22	51	-	2	-										
N. Dak.	5	2	-	1	-	-	2	1	-	-	-										
S. Dak.	6	4	-	-	-	-	8	4	-	-	-										
Nebr.	9	8	-	-	1	-	10	5	-	-	-										
Kans.	27	18	-	-	1	-	22	18	-	25	-										
S. ATLANTIC	342	413	5	42	53	9	228	327	2	15	62										
Del.	2	5	-	-	-	-	3	1	-	-	-										
Md.	24	38	-	-	1	-	40	101	-	1	-										
D.C.	-	7	-	-	-	-	1	3	-	-	1										
Va.	28	42	-	6	9	-	19	34	-	-	1										
W. Va.	12	14	-	-	-	-	1	6	-	-	-										
N.C.	47	78	-	10	9	1	76	89	2	11	52										
S.C.	48	43	-	6	10	-	22	20	-	-	6										
Ga.	75	78	-	1	8	-	18	11	-	-	-										
Fla.	106	108	5	19	16	8	48	62	-	3	2										
E.S. CENTRAL	178	184	-	13	23	-	83	103	-	2	1										
Ky.	22	38	-	-	3	-	25	42	-	-	-										
Tenn.	56	62	-	1	3	-	31	31	-	1	-										
Ala.	76	61	-	7	7	-	24	20	-	1	1										
Miss.	24	23	-	5	10	-	3	10	-	-	-										
W.S. CENTRAL	232	231	3	53	53	6	254	170	1	88	4										
Ark.	26	26	-	7	1	1	53	19	-	-	-										
La.	52	47	-	9	12	-	5	15	1	1	-										
Okla.	32	29	-	-	-	1	19	25	-	-	-										
Tex.	122	129	3	37	40	4	177	111	-	87	4										
MOUNTAIN	111	141	1	29	51	29	700	886	-	5	7										
Mont.	4	7	-	-	-	-	7	15	-	-	-										
Idaho	9	8	-	4	2	24	225	482	-	-	2										
Wyo.	6	2	-	1	1	-	8	6	-	-	-										
Colo.	22	37	-	7	3	3	147	249	-	-	-										
N. Mex.	19	24	N	N	N	-	78	75	-	1	-										
Ariz.	35	37	U	5	31	U	142	31	U	1	5										
Utah	11	11	1	5	7	2	67	14	-	2	-										
Nev.	5	15	U	7	7	U	26	14	U	1	-										
PACIFIC	383	528	2	108	136	11	774	656	-	14	23										
Wash.	53	66	-	7	14	5	236	267	-	9	5										
Oreg.	65	100	N	N	N	3	68	31	-	-	-										
Calif.	258	354	2	80	96	3	451	326	-	3	10										
Alaska	3	2	-	2	6	-	13	16	-	-	-										
Hawaii	4	6	-	19	20	-	6	16	-	2	8										
Guam	1	1	U	2	1	U	-	-	U	-	-										
P.R.	6	8	U	1	7	U	3	-	U	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


