
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 17, 2002 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	9,322	11,000	2,921	2,594	1,483	1,924	157	298													
NEW ENGLAND	179	180	142	168	9	90	1	31													
Maine	3	6	20	10	-	-	-	-													
N.H.	7	4	27	N	-	-	N	N													
Vt.	-	6	9	9	4	7	1	-													
Mass.	115	127	73	53	N	N	N	N													
R.I.	7	8	13	8	5	-	-	2													
Conn.	47	29	-	88	-	83	-	29													
MID. ATLANTIC	630	995	477	476	80	126	48	77													
Upstate N.Y.	145	349	223	204	72	122	48	77													
N.Y. City	233	271	121	135	U	U	U	U													
N.J.	148	202	91	91	N	N	N	N													
Pa.	104	173	42	46	8	4	-	-													
E.N. CENTRAL	943	2,592	524	609	159	130	64	79													
Ohio	373	1,675	164	153	29	-	-	-													
Ind.	62	146	39	48	125	130	39	39													
Ill.	313	366	105	201	2	-	-	40													
Mich.	102	199	216	156	3	-	N	N													
Wis.	93	206	-	51	N	N	25	-													
W.N. CENTRAL	699	987	180	261	152	104	36	46													
Minn.	147	294	95	112	48	49	36	38													
Iowa	75	301	-	-	N	N	N	N													
Mo.	109	177	37	56	6	9	-	-													
N. Dak.	15	16	-	11	1	5	-	8													
S. Dak.	150	92	10	7	1	3	-	-													
Nebr.	141	54	14	30	25	10	N	N													
Kans.	62	53	24	45	71	28	N	N													
S. ATLANTIC	3,657	1,436	584	442	915	1,031	3	4													
Del.	31	6	2	2	3	2	N	N													
Md.	685	79	95	N	N	N	N	N													
D.C.	37	38	6	15	48	5	1	3													
Va.	587	172	56	62	N	N	N	N													
W. Va.	5	7	14	18	34	37	2	1													
N.C.	216	240	102	117	N	N	U	U													
S.C.	60	175	28	8	138	212	N	N													
Ga.	1,012	186	133	143	256	295	N	N													
Fla.	1,024	533	148	77	436	480	N	N													
E.S. CENTRAL	807	956	72	79	103	190	-	-													
Ky.	86	359	13	29	12	22	N	N													
Tenn.	38	60	59	50	91	167	N	N													
Ala.	438	165	-	-	-	1	N	N													
Miss.	245	372	-	-	-	-	-	-													
W.S. CENTRAL	652	1,806	93	237	36	219	3	61													
Ark.	137	420	5	-	6	14	-	-													
La.	94	167	-	1	30	205	1	61													
Okla.	302	31	35	34	N	N	2	-													
Tex.	119	1,188	53	202	N	N	-	-													
MOUNTAIN	409	577	483	275	29	32	2	-													
Mont.	3	2	-	-	-	-	-	-													
Idaho	5	24	6	7	N	N	N	N													
Wyo.	5	2	7	7	9	5	-	-													
Colo.	79	147	159	114	-	-	-	-													
N. Mex.	76	70	75	59	19	25	-	-													
Ariz.	195	242	209	85	-	-	N	N													
Utah	23	41	27	3	1	-	2	-													
Nev.	23	49	-	-	-	2	-	-													
PACIFIC	1,346	1,471	366	47	-	2	-	-													
Wash.	96	129	36	-	-	-	N	N													
Oreg.	66	76	N	N	N	N	N	N													
Calif.	1,147	1,221	279	-	N	N	N	N													
Alaska	2	4	-	-	-	-	N	N													
Hawaii	35	41	51	47	-	2	-	-													
Guam	-	33	-	1	-	-	-	-													
P.R.	5	14	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


