
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 31, 2004 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	100	95	-	3	1	1	13	11	289	408											
NEW ENGLAND	5	9	-	-	-	-	-	-	56	9											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	1	-	-	-	-	-	-	-	-											
Vt.	1	3	-	-	-	-	-	-	4	1											
Mass.	-	3	-	-	-	-	-	-	47	5											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	4	2	-	-	-	-	-	-	5	3											
MID. ATLANTIC	21	17	-	-	-	-	2	2	30	68											
Upstate N.Y.	5	2	-	-	-	-	-	-	5	3											
N.Y. City	2	5	-	-	-	-	1	2	1	32											
N.J.	-	3	-	-	-	-	-	-	3	11											
Pa.	14	7	-	-	-	-	1	-	21	22											
E.N. CENTRAL	20	15	-	1	-	-	6	3	27	41											
Ohio	13	2	-	-	-	-	3	1	4	6											
Ind.	1	1	-	-	-	-	1	-	3	-											
Ill.	-	8	-	-	-	-	-	2	5	16											
Mich.	4	2	-	1	-	-	2	-	14	15											
Wis.	2	2	-	-	-	-	-	-	1	4											
W.N. CENTRAL	2	6	-	-	-	-	1	2	9	14											
Minn.	-	1	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	4	5											
Mo.	-	5	-	-	-	-	-	2	-	4											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	1	-	-	-	-	-	-	-	-	2											
Kans.	1	-	-	-	-	-	1	-	5	3											
S. ATLANTIC	34	13	-	-	-	-	1	-	69	127											
Del.	-	-	-	-	-	-	-	-	-	1											
Md.	12	6	-	-	-	-	-	-	11	17											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	5	2	-	-	-	-	-	-	5	3											
W. Va.	1	-	-	-	-	-	-	-	-	-											
N.C.	1	-	-	-	-	-	-	-	5	2											
S.C.	-	1	-	-	-	-	-	-	-	2											
Ga.	7	4	-	-	-	-	1	-	26	66											
Fla.	8	-	-	-	-	-	-	-	22	36											
E.S. CENTRAL	8	7	-	-	-	-	1	1	6	9											
Ky.	-	-	-	-	-	-	-	-	-	-											
Tenn.	4	1	-	-	-	-	-	-	6	5											
Ala.	4	6	-	-	-	-	1	1	-	3											
Miss.	-	-	-	-	-	-	-	-	-	1											
W.S. CENTRAL	2	6	-	-	-	1	-	-	8	34											
Ark.	-	1	-	-	-	-	-	-	4	-											
La.	-	2	-	-	-	-	-	-	-	5											
Okla.	2	3	-	-	-	1	-	-	3	-											
Tex.	-	-	-	-	-	-	-	-	1	29											
MOUNTAIN	6	16	-	1	1	-	1	2	4	17											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	1	-											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	1	3	-	-	-	-	-	-	1	1											
N. Mex.	4	2	-	-	1	-	-	-	-	-											
Ariz.	-	7	-	1	-	-	-	1	-	11											
Utah	1	3	-	-	-	-	1	1	1	1											
Nev.	-	1	-	-	-	-	-	-	-	4											
PACIFIC	2	6	-	1	-	-	1	1	80	89											
Wash.	1	-	-	-	-	-	1	-	2	1											
Oreg.	1	3	-	-	-	-	-	1	3	6											
Calif.	-	2	-	1	-	-	-	-	75	80											
Alaska	-	-	-	-	-	-	-	-	-	1											
Hawaii	-	1	-	-	-	-	-	-	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	1											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


