
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 7, 2003 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	729	858	5	15	106	148	17	9	2,526	4,364											
NEW ENGLAND	55	60	-	-	7	7	3	1	107	163											
Maine	2	1	-	-	-	-	1	-	4	6											
N.H.	7	4	-	-	-	-	-	-	6	10											
Vt.	6	3	-	-	-	-	-	-	4	-											
Mass.	26	27	-	-	7	3	1	1	59	76											
R.I.	3	9	-	-	-	-	1	-	11	20											
Conn.	11	16	-	-	-	4	-	-	23	51											
MID. ATLANTIC	142	162	-	1	16	25	5	-	464	552											
Upstate N.Y.	53	60	-	1	8	8	-	-	47	84											
N.Y. City	21	36	-	-	5	7	-	-	138	190											
N.J.	27	38	-	-	3	5	-	-	64	85											
Pa.	41	28	-	-	-	5	5	-	215	193											
E.N. CENTRAL	97	178	1	2	15	31	-	-	244	504											
Ohio	39	46	-	-	7	5	-	-	44	130											
Ind.	22	25	-	1	2	6	-	-	19	25											
Ill.	25	67	-	-	5	12	-	-	78	148											
Mich.	9	7	1	1	1	-	-	-	82	113											
Wis.	2	33	-	-	-	8	-	-	21	88											
W.N. CENTRAL	54	23	-	-	6	2	5	3	73	162											
Minn.	22	15	-	-	6	2	1	1	20	23											
Iowa	-	1	-	-	-	-	-	-	15	35											
Mo.	21	5	-	-	-	-	4	2	20	44											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	1	1	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	4	6											
Kans.	10	1	-	-	-	-	-	-	14	50											
S. ATLANTIC	168	189	-	3	18	24	-	1	627	1,232											
Del.	-	-	-	-	-	-	-	-	4	8											
Md.	35	47	-	1	4	1	-	-	65	134											
D.C.	-	-	-	-	-	-	-	-	20	44											
Va.	16	14	-	-	4	2	-	-	35	40											
W. Va.	7	2	-	-	-	-	-	-	9	10											
N.C.	13	20	-	-	-	3	-	-	32	120											
S.C.	3	6	-	-	-	2	-	-	19	36											
Ga.	40	43	-	-	5	8	-	-	254	257											
Fla.	54	57	-	2	5	8	-	1	189	583											
E.S. CENTRAL	46	29	1	1	6	8	-	-	67	136											
Ky.	2	3	-	-	-	-	-	-	12	27											
Tenn.	26	14	-	-	4	5	-	-	36	54											
Ala.	16	6	1	1	1	2	-	-	11	23											
Miss.	2	6	-	-	1	1	-	-	8	32											
W.S. CENTRAL	31	29	-	2	5	6	-	-	240	420											
Ark.	4	1	-	-	1	-	-	-	2	22											
La.	6	3	-	-	1	1	-	-	20	39											
Okla.	21	23	-	-	3	5	-	-	7	20											
Tex.	-	2	-	2	-	-	-	-	211	339											
MOUNTAIN	99	104	3	3	26	24	3	2	186	277											
Mont.	-	-	-	-	-	-	-	-	2	7											
Idaho	2	1	-	-	1	-	-	-	-	19											
Wyo.	-	2	-	-	-	-	-	-	1	2											
Colo.	17	19	-	-	4	2	-	-	26	41											
N. Mex.	13	17	-	-	4	4	1	-	8	8											
Ariz.	55	47	3	1	12	14	-	1	112	155											
Utah	7	12	-	1	4	3	-	-	16	18											
Nev.	5	6	-	1	1	1	2	1	21	27											
PACIFIC	37	84	-	3	7	21	1	2	518	918											
Wash.	3	2	-	1	2	1	1	-	27	80											
Oreg.	27	32	-	-	3	3	-	-	30	37											
Calif.	2	29	-	2	2	14	-	2	455	780											
Alaska	-	1	-	-	-	1	-	-	5	7											
Hawaii	5	20	-	-	-	2	-	-	1	14											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	9	93											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


