
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 24, 1999 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	23,194	25,867	319,013	315,791	754	1,119	1,032	1,149	595	989											
NEW ENGLAND	1,120	870	10,503	11,325	38	84	120	155	96	139											
Maine	29	18	193	562	12	19	14	20	-	-											
N.H.	26	23	507	537	7	9	18	21	15	25											
Vt.	6	14	264	224	6	13	16	8	7	6											
Mass.	716	372	5,132	4,596	13	39	63	80	39	80											
R.I.	61	81	1,300	1,346	-	4	9	5	6	1											
Conn.	282	362	3,107	4,060	-	-	U	21	29	27											
MID. ATLANTIC	5,913	7,470	38,378	33,301	106	320	66	119	14	46											
Upstate N.Y.	725	966	N	N	65	191	58	78	-	-											
N.Y. City	3,003	4,052	20,416	14,731	22	117	2	7	4	9											
N.J.	1,158	1,387	6,070	6,432	9	12	6	34	10	27											
Pa.	1,027	1,065	11,892	12,138	10	-	N	N	-	10											
E.N. CENTRAL	1,502	2,029	46,401	54,832	73	139	187	213	119	173											
Ohio	241	407	13,057	14,875	21	44	71	49	43	28											
Ind.	191	353	6,367	5,949	14	30	27	55	16	29											
Ill.	682	817	15,475	14,512	14	37	57	60	18	37											
Mich.	308	350	11,502	12,004	24	18	32	49	17	32											
Wis.	80	102	U	7,492	-	10	N	N	25	47											
W.N. CENTRAL	537	477	17,695	18,639	57	149	222	148	96	161											
Minn.	82	64	3,264	3,860	14	46	82	50	53	77											
Iowa	50	49	1,334	2,127	14	34	35	42	12	32											
Mo.	261	243	7,811	6,649	12	12	23	17	24	27											
N. Dak.	4	4	325	545	4	18	3	2	1	10											
S. Dak.	11	11	832	895	3	17	15	8	4	11											
Nebr.	39	38	1,338	1,552	9	18	53	18	-	-											
Kans.	90	68	2,791	3,011	1	4	11	11	2	4											
S. ATLANTIC	6,366	6,417	72,629	56,639	185	110	140	81	65	85											
Del.	80	75	1,522	1,404	-	-	2	-	-	1											
Md.	720	824	6,397	3	9	10	10	14	-	9											
D.C.	242	483	N	N	7	4	-	1	-	-											
Va.	340	501	8,209	6,780	10	1	35	-	20	29											
W. Va.	31	57	1,088	1,318	-	1	5	5	1	3											
N.C.	390	459	12,664	11,752	5	-	26	15	25	29											
S.C.	588	414	8,635	10,272	-	-	12	4	10	3											
Ga.	958	618	17,615	13,043	91	34	11	33	-	-											
Fla.	3,017	2,986	16,499	12,067	63	60	39	9	9	11											
E.S. CENTRAL	1,034	1,055	21,720	22,014	11	15	63	70	33	41											
Ky.	152	155	3,333	3,438	2	5	15	24	-	-											
Tenn.	405	352	7,554	7,221	4	6	28	28	17	25											
Ala.	257	329	6,132	5,640	3	-	16	15	13	15											
Miss.	220	219	4,701	5,715	2	4	4	3	3	1											
W.S. CENTRAL	2,491	3,269	47,028	48,050	33	18	33	49	43	55											
Ark.	90	123	3,331	2,027	-	3	5	6	5	6											
La.	463	532	7,726	7,863	21	8	3	3	6	2											
Okla.	70	184	4,531	5,436	2	3	8	10	5	4											
Tex.	1,868	2,430	31,440	32,724	10	4	17	30	27	43											
MOUNTAIN	860	915	18,161	17,828	47	73	84	156	50	128											
Mont.	4	18	755	696	8	6	4	8	-	2											
Idaho	12	19	665	1,078	3	14	4	15	6	7											
Wyo.	3	1	408	364	-	-	3	47	5	51											
Colo.	172	186	3,892	4,477	4	5	31	31	19	27											
N. Mex.	46	153	2,521	2,083	19	31	6	12	1	11											
Ariz.	427	327	7,241	6,020	9	10	14	17	9	13											
Utah	80	70	1,054	1,276	-	-	17	19	8	10											
Nev.	116	141	1,625	1,834	4	7	5	7	2	7											
PACIFIC	3,371	3,365	46,498	53,163	204	211	117	158	79	161											
Wash.	188	231	6,532	6,167	-	-	34	28	26	47											
Oreg.	88	94	3,264	2,901	79	22	27	37	22	41											
Calif.	3,036	2,933	34,085	41,740	125	186	56	91	26	66											
Alaska	13	12	1,011	1,049	-	-	-	2	-	-											
Hawaii	46	95	1,606	1,306	-	3	-	-	5	7											
Guam	5	-	149	211	-	-	N	N	-	-											
P.R.	734	995	U	U	-	-	5	-	U	U											
V.I.	15	17	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


