
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2013 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	208	247	576	1,982	2,187	10	20	35	80	148	71	289	368	877	1,629						
NEW ENGLAND	4	11	28	90	97	-	1	4	-	7	7	8	18	33	48						
Conn.	-	5	21	54	46	-	0	2	-	2	-	0	4	-	12						
Maine	2	2	8	18	15	-	0	1	-	1	-	0	5	-	-						
Mass.	-	0	3	-	5	-	0	2	-	3	5	6	13	27	29						
N.H.	-	1	5	5	15	-	0	1	-	1	-	1	4	3	4						
R.I.	-	0	6	-	7	-	0	1	-	-	-	0	6	1	3						
Vt.	2	1	6	13	9	-	0	0	-	-	2	0	1	2	-						
MID. ATLANTIC	6	33	70	136	322	-	2	5	5	18	10	39	61	123	241						
N.J.	-	5	24	2	103	-	0	3	-	7	-	4	8	1	22						
N.Y. (Upstate)	-	14	35	-	124	-	1	3	-	7	5	4	16	23	13						
N.Y. City	6	14	35	134	95	-	0	3	5	4	-	18	29	39	109						
Pa.	N	0	0	N	N	N	0	0	N	N	5	15	25	60	97						
E.N. CENTRAL	42	55	123	477	450	2	3	10	10	17	3	28	48	37	175						
Ill.	N	0	0	N	N	-	0	0	-	-	-	10	26	5	74						
Ind.	-	13	34	53	106	-	1	2	-	2	1	4	10	12	24						
Mich.	4	11	27	94	98	1	0	3	3	4	-	4	13	1	29						
Ohio	30	21	63	241	176	1	1	6	5	7	-	7	15	10	42						
Wis.	8	9	29	89	70	-	0	2	2	4	2	2	5	9	6						
W.N. CENTRAL	3	13	24	42	115	-	1	3	4	8	-	7	14	22	41						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	5	4						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	9	22	-	75	-	0	3	-	4	-	2	5	-	11						
Mo.	N	0	0	N	N	-	0	0	-	-	-	3	7	11	23						
Nebr.	2	2	8	23	27	-	0	2	3	1	-	0	2	4	1						
N. Dak.	-	0	4	-	1	-	0	1	-	-	-	0	1	-	1						
S. Dak.	1	2	6	19	12	-	0	2	1	3	-	0	2	2	-						
S. ATLANTIC	62	57	119	528	488	3	4	11	30	40	33	65	104	239	379						
Del.	1	0	3	2	6	-	0	1	-	-	-	0	6	2	7						
D.C.	-	0	4	-	7	-	0	1	-	1	-	3	10	21	25						
Fla.	28	18	59	216	168	2	1	6	12	14	3	25	36	91	152						
Ga.	16	15	44	130	133	1	2	4	8	7	4	12	31	35	66						
Md.	8	6	25	72	63	-	0	5	2	4	6	8	15	41	39						
N.C.	N	0	0	N	N	N	0	0	N	N	-	5	21	-	34						
S.C.	7	6	17	70	74	-	0	3	2	4	6	4	9	25	32						
Va.	N	0	0	N	N	-	0	0	4	4	14	4	40	24	24						
W. Va.	2	5	33	38	37	-	0	2	2	6	-	0	2	-	-						
E.S. CENTRAL	26	22	56	216	211	1	2	5	11	14	-	14	25	20	73						
Ala.	3	2	10	33	17	-	0	3	3	-	-	4	10	-	23						
Ky.	3	4	12	42	31	-	0	1	-	-	-	2	9	6	10						
Miss.	-	3	12	27	23	-	0	2	3	4	-	2	12	7	18						
Tenn.	20	12	37	114	140	1	0	3	5	10	-	5	14	7	22						
W.S. CENTRAL	42	26	291	216	211	2	2	19	7	19	7	43	66	135	247						
Ark.	2	3	21	27	24	-	0	3	-	2	6	3	13	17	41						
La.	-	4	14	27	37	-	0	4	1	3	1	6	20	14	28						
Okla.	N	0	0	N	N	-	0	0	-	-	-	2	5	8	9						
Tex.	40	20	270	162	150	2	2	19	6	14	-	33	47	96	169						
MOUNTAIN	22	29	53	263	270	1	2	7	10	18	9	12	25	41	59						
Ariz.	17	9	31	142	123	1	1	3	8	9	-	4	8	2	23						
Colo.	-	8	22	40	48	-	0	3	-	1	-	4	12	15	20						
Idaho	N	0	0	N	N	-	0	0	-	-	1	0	4	1	2						
Mont.	2	0	4	4	11	-	0	1	-	-	-	0	1	-	-						
Nev.	3	1	8	22	21	-	0	2	-	3	7	2	8	16	7						
N. Mex.	-	5	17	52	39	-	0	4	2	4	1	2	5	5	4						
Utah	-	3	7	-	24	-	0	3	-	1	-	0	3	2	3						
Wyo.	-	0	2	3	4	-	0	1	-	-	-	0	1	-	-						
PACIFIC	1	4	10	14	23	1	0	1	3	7	2	66	99	227	366						
Alaska	1	3	8	13	15	1	0	1	3	7	-	0	2	3	2						
Calif.	N	0	0	N	N	N	0	0	N	N	-	56	82	191	304						
Hawaii	-	1	6	1	8	-	0	1	-	-	-	0	2	-	2						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	3	11	19	16						
Wash.	N	0	0	N	N	N	0	0	N	N	1	4	10	14	42						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	-	6	17	29	25						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


