
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2003 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	8,731	10,819	194,470	210,729	978	1,050	402	580	-	-											
NEW ENGLAND	280	324	7,021	7,161	-	-	24	22	-	-											
Maine	-	1	249	380	N	N	2	-	-	-											
N.H.	5	9	396	437	-	-	-	5	-	-											
Vt.	5	6	294	198	-	-	5	5	-	-											
Mass.	50	177	2,869	2,852	-	-	11	6	-	-											
R.I.	30	35	822	733	-	-	4	3	-	-											
Conn.	190	96	2,391	2,561	N	N	2	3	-	-											
MID. ATLANTIC	2,050	2,206	16,547	23,284	-	-	42	85	-	-											
Upstate N.Y.	116	166	4,553	3,642	N	N	16	14	-	-											
N.Y. City	1,179	1,353	3,447	7,968	-	-	11	37	-	-											
N.J.	237	406	2,776	3,569	-	-	3	5	-	-											
Pa.	518	281	5,771	8,105	N	N	12	29	-	-											
E.N. CENTRAL	768	1,051	31,090	38,094	2	6	76	164	-	-											
Ohio	118	198	7,136	10,429	-	-	16	38	-	-											
Ind.	128	145	4,142	4,579	N	N	6	13	-	-											
Ill.	311	528	8,486	10,359	-	1	7	32	-	-											
Mich.	172	124	7,240	8,221	2	5	19	28	-	-											
Wis.	39	56	4,086	4,506	-	-	28	53	-	-											
W.N. CENTRAL	171	175	12,218	11,674	-	-	41	49	-	-											
Minn.	26	33	2,362	2,791	N	N	23	16	-	-											
Iowa	26	42	1,109	1,103	N	N	7	5	-	-											
Mo.	86	53	4,585	3,844	-	-	2	9	-	-											
N. Dak.	-	1	331	319	N	N	1	2	-	-											
S. Dak.	3	4	650	571	-	-	6	3	-	-											
Nebr.	10	17	1,237	1,023	-	-	2	11	-	-											
Kans.	20	25	1,944	2,023	N	N	-	3	-	-											
S. ATLANTIC	2,326	3,692	40,251	39,024	1	-	78	118	-	-											
Del.	31	62	813	706	N	N	1	1	-	-											
Md.	62	441	4,427	4,128	1	-	7	3	-	-											
D.C.	184	172	741	919	-	-	-	2	-	-											
Va.	228	254	4,408	4,351	-	-	7	1	-	-											
W. Va.	8	25	652	648	N	N	-	1	-	-											
N.C.	222	268	6,434	5,431	N	N	10	13	-	-											
S.C.	166	285	3,626	3,570	-	-	1	2	-	-											
Ga.	228	667	8,881	8,381	-	-	33	62	-	-											
Fla.	1,197	1,518	10,269	10,890	N	N	19	33	-	-											
E.S. CENTRAL	368	440	13,672	14,429	N	N	27	29	-	-											
Ky.	21	55	2,272	2,430	N	N	6	1	-	-											
Tenn.	176	195	4,871	4,481	N	N	7	13	-	-											
Ala.	79	94	3,404	4,533	-	-	12	13	-	-											
Miss.	92	96	3,125	2,985	N	N	2	2	-	-											
W.S. CENTRAL	1,087	1,113	25,930	28,660	-	-	5	10	-	-											
Ark.	38	61	1,707	1,894	-	-	1	2	-	-											
La.	138	267	3,967	4,751	N	N	-	2	-	-											
Okla.	53	51	2,260	2,733	N	N	1	2	-	-											
Tex.	858	734	17,996	19,282	-	-	3	4	-	-											
MOUNTAIN	378	342	10,809	12,692	710	671	22	30	-	-											
Mont.	6	4	410	542	N	N	2	1	-	-											
Idaho	2	6	731	642	N	N	4	9	-	-											
Wyo.	2	4	276	218	-	-	1	4	-	-											
Colo.	79	76	2,290	3,679	N	N	5	6	-	-											
N. Mex.	33	13	818	2,157	-	4	-	3	-	-											
Ariz.	175	137	3,789	3,806	699	656	3	4	-	-											
Utah	45	18	1,045	9	1	2	5	1	-	-											
Nev.	36	84	1,450	1,639	10	9	2	2	-	-											
PACIFIC	1,303	1,476	36,932	35,711	265	373	87	73	-	-											
Wash.	97	162	4,061	3,712	N	N	-	-	-	-											
Oreg.	52	129	1,918	1,798	-	-	8	8	-	-											
Calif.	1,140	1,167	28,932	28,154	265	373	79	64	-	-											
Alaska	9	2	878	935	-	-	-	-	-	-											
Hawaii	5	16	1,143	1,112	-	-	-	1	-	-											
Guam	2	-	-	-	-	-	-	-	-	-											
P.R.	61	279	247	12	N	N	N	N	-	-											
V.I.	2	52	-	51	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


