
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 11, 2012 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	107	245	355	933	926	3	3	15	11	8	3	29	138	38	32						
NEW ENGLAND	1	4	21	10	22	-	0	1	-	-	-	0	1	-	-						
Conn.	-	1	4	2	4	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	-	1	-	0	0	-	-	-	0	1	-	-						
Mass.	1	3	20	8	16	-	0	0	-	-	-	0	1	-	-						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	8	19	49	157	51	2	0	2	3	-	-	1	7	4	2						
N.J.	-	0	24	49	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	6	6	35	46	15	-	0	1	-	-	-	0	2	-	-						
N.Y. City	1	8	28	54	26	-	0	0	-	-	-	0	3	2	2						
Pa.	1	2	13	8	10	2	0	2	3	-	-	0	3	2	-						
E.N. CENTRAL	10	14	40	124	90	-	0	2	1	-	-	2	10	2	3						
Ill.	-	4	16	-	34	-	0	1	-	-	-	1	4	1	2						
Ind.	-	1	6	-	9	-	0	1	1	-	-	1	5	1	-						
Mich.	1	3	11	20	17	-	0	1	-	-	-	0	1	-	-						
Ohio	9	6	27	104	30	-	0	2	-	-	-	0	2	-	1						
Wis.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
W.N. CENTRAL	1	5	18	34	57	-	0	4	-	-	-	4	24	3	4						
Iowa	-	0	3	2	4	-	0	0	-	-	-	0	2	-	-						
Kans.	1	1	6	17	13	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	3	14	13	38	-	0	2	-	-	-	4	22	3	4						
Nebr.	-	0	2	2	1	-	0	3	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	1	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	41	75	134	216	301	1	1	9	6	4	1	6	57	18	13						
Del.	-	0	2	-	-	-	0	1	-	-	-	0	4	1	-						
D.C.	-	0	5	1	5	-	0	1	-	-	-	0	1	-	-						
Fla.	22	50	98	126	181	-	0	1	-	1	-	0	2	4	-						
Ga.	9	13	26	57	52	1	1	8	6	1	-	0	0	-	-						
Md.	10	2	7	17	13	-	0	1	-	1	-	0	3	2	1						
N.C.	-	3	19	7	32	-	0	4	-	1	-	0	49	3	8						
S.C.	-	1	54	2	7	-	0	2	-	-	-	0	2	-	1						
Va.	-	2	7	6	11	-	0	1	-	-	1	3	14	8	3						
W. Va.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	12	19	51	151	49	-	0	2	-	-	2	4	25	6	5						
Ala.	2	6	21	43	22	-	0	1	-	-	1	1	8	2	3						
Ky.	6	4	22	70	4	-	0	1	-	-	-	0	2	-	-						
Miss.	2	4	24	27	6	-	0	0	-	-	-	0	2	-	1						
Tenn.	2	4	11	11	17	-	0	2	-	-	1	4	20	4	1						
W.S. CENTRAL	20	54	129	144	123	-	0	3	-	-	-	2	52	1	1						
Ark.	-	2	7	8	3	-	0	3	-	-	-	1	52	-	-						
La.	-	4	21	12	18	-	0	0	-	-	-	0	2	1	-						
Okla.	6	4	28	32	7	-	0	1	-	-	-	0	25	-	-						
Tex.	14	43	99	92	95	-	0	1	-	-	-	0	4	-	1						
