
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 2, 2002 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	101	125	45	72	544	738	135	196	-	33											
NEW ENGLAND	5	2	6	7	28	119	8	18	-	4											
Maine	-	-	1	-	-	-	1	-	-	-											
N.H.	1	-	2	-	9	2	4	-	-	-											
Vt.	-	1	-	-	1	1	-	-	-	1											
Mass.	2	1	1	5	15	40	-	9	-	3											
R.I.	-	-	-	-	3	-	-	-	-	-											
Conn.	2	-	2	2	-	76	3	9	-	-											
MID. ATLANTIC	14	29	5	8	405	502	20	48	-	1											
Upstate N.Y.	4	4	3	2	300	116	6	5	-	-											
N.Y. City	-	3	1	2	-	5	6	26	-	-											
N.J.	1	4	-	2	23	101	6	10	-	-											
Pa.	9	18	1	2	82	280	2	7	-	1											
E.N. CENTRAL	42	40	8	11	10	28	12	32	-	2											
Ohio	26	15	6	1	10	10	7	4	-	-											
Ind.	2	2	-	-	-	-	-	7	-	-											
Ill.	-	7	-	3	-	3	-	10	-	2											
Mich.	14	10	1	5	-	-	5	11	-	-											
Wis.	-	6	1	2	U	15	-	-	-	-											
W.N. CENTRAL	3	9	1	2	8	5	13	5	-	2											
Minn.	1	1	-	-	2	3	5	1	-	-											
Iowa	-	2	-	-	3	-	2	1	-	-											
Mo.	2	3	1	1	3	2	3	3	-	2											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	2	-	-	-	-	-	-	-	-											
Kans.	-	1	-	1	-	-	3	-	-	-											
S. ATLANTIC	20	15	7	7	68	55	46	42	-	3											
Del.	3	-	-	-	5	4	-	1	-	-											
Md.	5	6	1	1	42	46	17	15	-	3											
D.C.	-	-	-	-	3	1	2	2	-	-											
Va.	1	2	-	1	-	2	-	8	-	-											
W. Va.	N	N	-	1	-	-	-	-	-	-											
N.C.	3	2	1	-	4	2	5	1	-	-											
S.C.	-	-	2	-	1	-	2	-	-	-											
Ga.	3	1	2	2	-	-	11	9	-	-											
Fla.	5	4	1	2	13	-	9	6	-	-											
E.S. CENTRAL	2	8	3	4	1	2	3	7	-	-											
Ky.	1	2	-	1	-	2	-	1	-	-											
Tenn.	-	2	2	2	1	-	1	3	-	-											
Ala.	1	2	1	1	-	-	1	3	-	-											
Miss.	-	2	-	-	-	-	1	-	-	-											
W.S. CENTRAL	-	2	1	9	2	16	2	3	-	-											
Ark.	-	-	-	1	-	-	-	-	-	-											
La.	-	1	-	-	1	1	2	1	-	-											
Okla.	-	-	1	-	-	-	-	1	-	-											
Tex.	-	1	-	8	1	15	-	1	-	-											
MOUNTAIN	7	4	3	5	4	-	6	9	-	1											
Mont.	-	-	-	-	-	-	-	1	-	-											
Idaho	2	-	-	-	-	-	-	1	-	1											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	2	3	1	1	1	-	2	3	-	-											
N. Mex.	1	-	-	1	1	-	-	1	-	-											
Ariz.	-	1	2	1	2	-	1	1	-	-											
Utah	2	-	-	-	-	-	2	1	-	-											
Nev.	-	-	-	2	-	-	1	1	-	-											
PACIFIC	8	16	11	19	18	11	25	32	-	20											
Wash.	-	3	-	-	-	-	1	1	-	14											
Oreg.	N	N	1	2	1	1	-	2	-	2											
Calif.	8	13	10	17	17	10	21	26	-	3											
Alaska	-	-	-	-	-	-	1	1	-	-											
Hawaii	-	-	-	-	N	N	2	2	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


