
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2000 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	10,143	11,376	122,644	164,831	277	359	312	287	201	230											
NEW ENGLAND	666	529	4,820	5,310	12	16	30	41	28	37											
Maine	11	5	286	153	3	1	3	4	2	-											
N.H.	8	19	229	268	-	1	4	2	4	3											
Vt.	1	4	131	117	6	1	1	3	2	-											
Mass.	446	354	1,881	2,330	1	10	8	19	7	18											
R.I.	21	30	588	547	2	-	-	1	-	1											
Conn.	179	117	1,705	1,895	-	3	14	12	13	15											
MID. ATLANTIC	2,471	2,834	6,312	19,622	24	67	30	15	39	3											
Upstate N.Y.	131	359	N	N	17	23	30	10	32	1											
N.Y. City	1,441	1,443	-	9,437	4	34	-	2	-	-											
N.J.	563	593	1,058	3,167	-	3	-	3	2	2											
Pa.	336	439	5,254	7,018	3	7	N	N	5	-											
E.N. CENTRAL	921	842	22,157	26,398	48	64	40	53	10	38											
Ohio	139	148	5,783	8,249	13	8	12	22	5	10											
Ind.	88	124	2,912	2,950	3	5	5	10	1	8											
Ill.	542	402	6,291	6,828	-	7	12	10	-	7											
Mich.	114	125	5,526	5,567	9	10	11	11	2	7											
Wis.	38	43	1,645	2,804	23	34	N	N	2	6											
W.N. CENTRAL	203	246	5,801	9,291	19	24	71	69	48	57											
Minn.	44	39	1,446	1,928	4	11	18	12	22	14											
Iowa	15	30	867	693	3	1	12	7	4	2											
Mo.	90	99	902	3,461	7	5	32	5	12	3											
N. Dak.	-	3	61	230	1	-	2	2	2	2											
S. Dak.	2	5	427	495	2	2	1	1	1	1											
Nebr.	13	17	743	943	2	3	2	28	4	35											
Kans.	39	53	1,355	1,541	-	2	4	14	3	-											
S. ATLANTIC	2,848	3,163	24,314	33,675	48	54	29	26	16	15											
Del.	45	40	758	724	-	-	-	1	-	-											
Md.	271	344	1,585	3,290	5	4	5	1	1	-											
D.C.	186	118	790	N	-	3	-	-	U	U											
Va.	221	177	3,574	3,664	1	1	6	6	5	3											
W. Va.	15	19	450	550	-	-	2	-	1	1											
N.C.	128	197	5,057	5,484	3	1	7	7	2	6											
S.C.	232	313	669	5,456	-	-	-	1	-	1											
Ga.	300	349	4,670	7,113	30	38	3	1	3	U											
Fla.	1,450	1,606	6,761	7,394	9	7	6	9	4	4											
E.S. CENTRAL	415	490	11,532	12,158	8	4	14	23	13	12											
Ky.	56	70	1,831	2,024	-	1	6	6	3	5											
Tenn.	172	211	3,126	3,588	1	2	5	9	8	3											
Ala.	120	109	4,322	3,542	7	1	1	4	-	3											
Miss.	67	100	2,253	3,004	-	-	2	4	2	1											
W.S. CENTRAL	824	1,174	20,402	21,732	9	22	14	9	18	17											
Ark.	42	45	1,080	1,420	1	-	4	2	1	2											
La.	143	119	4,199	2,776	-	13	-	3	9	3											
Okla.	42	36	1,559	2,055	1	1	4	3	3	2											
Tex.	597	974	13,564	15,481	7	8	6	1	5	10											
MOUNTAIN	342	397	5,328	8,554	20	24	30	15	11	14											
Mont.	5	4	-	309	1	1	8	-	-	-											
Idaho	6	5	64	459	1	2	4	-	-	2											
Wyo.	2	2	185	191	1	-	2	1	2	2											
Colo.	70	74	833	1,945	5	3	10	5	5	2											
N. Mex.	40	13	473	1,189	1	11	-	1	-	-											
Ariz.	115	186	2,480	3,249	3	7	4	3	3	2											
Utah	41	37	573	454	7	N	1	5	1	5											
Nev.	63	76	720	758	1	-	1	-	-	1											
PACIFIC	1,453	1,701	21,978	28,091	89	84	54	36	18	37											
Wash.	148	88	3,189	3,133	N	N	5	5	7	15											
Oreg.	35	45	1,196	1,553	2	4	7	12	8	10											
Calif.	1,230	1,541	16,358	22,094	87	80	39	19	-	12											
Alaska	5	6	602	496	-	-	-	-	-	-											
Hawaii	35	21	633	815	-	-	3	-	3	-											
Guam	13	1	-	120	-	-	N	N	U	U											
P.R.	187	413	142	U	-	-	-	2	U	U											
V.I.	16	10	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


