
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 3, 2004 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	11,724	187,015	208,415	1,213	939	599	557	7	57											
NEW ENGLAND	-	415	7,102	6,812	-	-	34	33	-	-											
Maine	-	8	391	473	N	N	5	2	-	-											
N.H.	-	7	437	388	-	-	9	3	-	-											
Vt.	-	5	288	278	-	-	4	5	-	-											
Mass.	-	185	3,591	2,579	-	-	10	18	-	-											
R.I.	-	21	876	760	-	-	1	3	-	-											
Conn.	-	189	1,519	2,334	N	N	5	2	-	-											
MID. ATLANTIC	-	2,694	26,654	24,261	-	-	107	65	2	-											
Upstate N.Y.	-	141	5,232	4,136	N	N	23	12	-	-											
N.Y. City	-	1,426	7,972	8,300	-	-	22	25	-	-											
N.J.	-	423	3,383	3,623	-	-	7	2	-	-											
Pa.	-	704	10,067	8,202	N	N	55	26	2	-											
E.N. CENTRAL	-	891	30,293	38,595	4	2	117	98	-	-											
Ohio	-	153	5,877	10,901	-	-	40	14	-	-											
Ind.	-	119	4,041	4,260	N	N	18	6	-	-											
Ill.	-	365	7,818	12,371	-	-	8	16	-	-											
Mich.	-	202	9,575	6,828	4	2	29	22	-	-											
Wis.	-	52	2,982	4,235	-	-	22	40	-	-											
W.N. CENTRAL	-	164	10,402	12,189	2	1	66	38	1	-											
Minn.	-	41	2,032	2,722	N	N	25	21	-	-											
Iowa	-	23	-	1,250	N	N	9	5	-	-											
Mo.	-	82	4,377	4,397	1	1	14	2	1	-											
N. Dak.	-	-	287	316	N	N	-	1	-	-											
S. Dak.	-	4	611	586	-	-	5	7	-	-											
Nebr.	-	6	1,237	1,109	1	-	-	2	-	-											
Kans.	-	8	1,858	1,809	N	N	13	-	-	-											
S. ATLANTIC	-	3,491	30,536	37,823	-	1	131	179	3	57											
Del.	-	58	754	748	N	N	-	1	-	-											
Md.	-	193	4,993	3,975	-	1	7	6	-	-											
D.C.	-	380	810	845	-	-	1	-	-	-											
Va.	-	297	1,245	3,905	-	-	14	7	-	-											
W. Va.	-	20	706	608	N	N	2	-	-	-											
N.C.	-	437	7,233	6,028	N	N	25	9	-	-											
S.C.	-	211	4,266	3,570	-	-	3	1	2	-											
Ga.	-	417	1,008	7,908	-	-	45	26	-	-											
Fla.	-	1,478	9,521	10,236	N	N	34	129	1	57											
E.S. CENTRAL	-	428	12,443	13,770	N	N	30	30	-	-											
Ky.	-	40	1,368	2,121	N	N	6	7	-	-											
Tenn.	-	220	5,393	4,760	N	N	12	11	-	-											
Ala.	-	64	3,077	3,573	-	-	8	10	-	-											
Miss.	-	104	2,605	3,316	N	N	4	2	-	-											
W.S. CENTRAL	-	1,283	25,721	25,575	1	1	20	9	1	-											
Ark.	-	35	1,970	1,551	1	-	8	2	-	-											
La.	-	136	6,355	4,842	N	N	-	-	1	-											
Okla.	-	50	2,255	2,238	N	N	8	1	-	-											
Tex.	-	1,062	15,141	16,944	-	1	4	6	-	-											
MOUNTAIN	-	409	11,004	12,986	734	675	31	19	-	-											
Mont.	-	7	263	527	N	N	3	2	-	-											
Idaho	-	5	793	662	N	N	1	4	-	-											
Wyo.	-	3	265	253	-	-	2	-	-	-											
Colo.	-	72	1,984	3,275	N	N	18	4	-	-											
N. Mex.	-	27	1,245	2,010	6	-	1	-	-	-											
Ariz.	-	216	4,605	4,047	707	664	5	2	-	-											
Utah	-	21	653	678	4	1	-	5	-	-											
Nev.	-	58	1,196	1,534	17	10	1	2	-	-											
PACIFIC	-	1,949	32,860	36,404	470	259	63	86	-	-											
Wash.	-	120	4,217	3,860	N	N	4	-	-	-											
Oreg.	-	85	1,449	1,776	-	-	7	7	-	-											
Calif.	-	1,703	26,312	28,592	470	259	51	79	-	-											
Alaska	-	9	871	860	-	-	-	-	-	-											
Hawaii	-	32	11	1,316	-	-	1	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	325	298	562	N	N	N	N	-	-											
V.I.	-	6	20	88	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


