
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 18, 2005 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,077	1,052	2	8	58	57	108	102													
NEW ENGLAND	78	102	-	1	6	6	4	1													
Maine	4	7	-	-	-	-	1	-													
N.H.	3	12	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	33	52	-	1	1	2	1	-													
R.I.	6	3	-	-	2	-	-	-													
Conn.	26	23	-	-	3	2	-	-													
MID. ATLANTIC	214	214	-	1	-	3	26	27													
Upstate N.Y.	60	70	-	1	-	3	5	4													
N.Y. City	36	46	-	-	-	-	8	9													
N.J.	43	38	-	-	-	-	7	2													
Pa.	75	60	-	-	-	-	6	12													
E.N. CENTRAL	144	198	1	-	1	8	9	28													
Ohio	74	64	-	-	-	2	7	10													
Ind.	39	30	-	-	1	4	1	1													
Ill.	13	63	-	-	-	-	1	14													
Mich.	11	12	1	-	-	2	-	3													
Wis.	7	29	-	-	-	-	-	-													
W.N. CENTRAL	58	54	-	2	3	3	8	5													
Minn.	21	24	-	1	3	3	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	28	18	-	-	-	-	6	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	4	2	-	-	-	-	1	-													
Kans.	4	6	-	-	-	-	-	1													
S. ATLANTIC	253	238	-	-	16	15	13	16													
Del.	-	-	-	-	-	-	-	-													
Md.	38	40	-	-	4	3	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	26	21	-	-	-	-	-	1													
W. Va.	14	10	-	-	1	3	2	-													
N.C.	41	30	-	-	5	4	-	-													
S.C.	10	6	-	-	-	-	1	-													
Ga.	53	70	-	-	-	-	6	14													
Fla.	71	59	-	-	6	5	4	-													
E.S. CENTRAL	66	40	-	-	1	-	12	7													
Ky.	6	3	-	-	1	-	1	-													
Tenn.	46	26	-	-	-	-	7	5													
Ala.	14	11	-	-	-	-	4	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	63	39	1	1	4	5	6	1													
Ark.	2	1	-	-	-	-	-	-													
La.	26	9	1	-	2	-	6	1													
Okla.	35	28	-	-	2	5	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	152	119	-	3	15	13	24	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	2	-	-	-	-	-	-	-													
Colo.	28	29	-	-	-	-	5	3													
N. Mex.	13	25	-	-	4	4	1	4													
Ariz.	82	43	-	-	9	6	9	1													
Utah	11	8	-	2	-	1	6	1													
Nev.	13	9	-	1	2	2	2	1													
PACIFIC	49	48	-	-	12	4	6	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	20	25	-	-	-	-	4	2													
Calif.	21	15	-	-	12	4	1	1													
Alaska	3	3	-	-	-	-	1	1													
Hawaii	5	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


