
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 25, 2005 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	16,504	19,333	423,967	438,780	1,978	2,576	872	1,146													
NEW ENGLAND	673	671	14,961	14,598	-	-	49	68													
Maine	8	5	994	927	N	N	7	13													
N.H.	10	26	882	805	-	-	7	14													
Vt.	4	13	479	560	-	-	11	7													
Mass.	331	185	6,783	6,404	-	-	17	23													
R.I.	68	70	1,544	1,661	-	-	1	2													
Conn.	252	372	4,279	4,241	N	N	6	9													
MID. ATLANTIC	3,059	4,379	50,986	54,233	-	-	123	184													
Upstate N.Y.	318	587	10,568	10,654	N	N	32	38													
N.Y. City	1,725	2,326	17,386	16,658	-	-	29	56													
N.J.	472	741	5,526	8,650	N	N	8	14													
Pa.	544	725	17,506	18,271	N	N	54	76													
E.N. CENTRAL	1,387	1,701	66,819	79,016	4	5	185	294													
Ohio	209	229	18,689	20,345	N	N	66	65													
Ind.	198	215	9,493	8,723	N	N	11	31													
Ill.	664	846	19,605	22,395	-	-	12	46													
Mich.	246	322	11,374	18,734	4	5	28	57													
Wis.	70	89	7,658	8,819	N	N	68	95													
W.N. CENTRAL	394	384	25,104	26,698	3	5	133	135													
Minn.	104	92	3,962	5,631	3	N	38	52													
Iowa	48	26	2,951	3,213	N	N	22	19													
Mo.	163	168	10,793	9,698	-	3	50	21													
N. Dak.	5	13	501	918	N	N	-	7													
S. Dak.	9	6	1,328	1,156	-	-	11	16													
Nebr.	18	21	2,393	2,500	-	2	1	8													
Kans.	47	58	3,176	3,582	N	N	11	12													
S. ATLANTIC	5,315	5,729	82,385	82,021	-	-	174	202													
Del.	81	80	1,560	1,396	N	N	-	-													
Md.	637	686	8,684	8,978	-	-	12	10													
D.C.	407	354	1,727	1,736	-	-	2	4													
Va.	273	283	9,713	10,292	-	-	14	23													
W. Va.	30	30	1,263	1,340	N	N	4	3													
N.C.	399	334	16,477	13,686	N	N	25	37													
S.C.	287	375	9,964	8,855	-	-	7	9													
Ga.	896	779	12,485	15,426	-	-	43	61													
Fla.	2,305	2,808	20,512	20,312	N	N	67	55													
E.S. CENTRAL	896	862	29,704	27,478	-	3	23	48													
Ky.	118	68	4,941	2,649	N	N	8	16													
Tenn.	369	386	10,677	10,759	N	N	4	13													
Ala.	244	227	4,691	6,592	-	-	10	11													
Miss.	165	181	9,395	7,478	-	3	1	8													
W.S. CENTRAL	1,896	2,356	53,154	55,887	1	2	25	45													
Ark.	71	88	4,197	3,923	-	1	1	8													
La.	370	444	9,334	12,370	1	1	3	-													
Okla.	113	87	5,224	5,177	N	N	13	11													
Tex.	1,342	1,737	34,399	34,417	N	N	8	26													
MOUNTAIN	643	713	25,173	24,335	1,288	1,584	54	50													
Mont.	4	1	998	1,252	N	N	9	10													
Idaho	7	11	1,054	1,407	N	N	4	5													
Wyo.	1	6	518	512	2	-	2	2													
Colo.	127	134	6,703	6,309	N	N	18	23													
N. Mex.	60	106	1,945	4,170	3	10	2	2													
Ariz.	258	278	9,112	6,572	1,250	1,536	5	6													
Utah	33	31	1,864	1,653	2	7	7	1													
Nev.	153	146	2,979	2,460	31	31	7	1													
PACIFIC	2,241	2,538	75,681	74,514	682	977	106	120													
Wash.	196	213	9,241	8,454	N	N	5	-													
Oreg.	117	131	4,096	3,877	-	-	19	17													
Calif.	1,865	2,134	58,266	57,614	682	977	82	101													
Alaska	10	14	1,853	1,851	-	-	-	-													
Hawaii	53	46	2,225	2,718	-	-	-	2													
Guam	1	1	-	667	-	-	-	-													
P.R.	335	208	2,029	1,803	N	N	N	N													
V.I.	8	6	32	181	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


