
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 11, 2005 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,027	1,015	2	8	56	55	98	99													
NEW ENGLAND	73	101	-	1	6	6	3	1													
Maine	4	7	-	-	-	-	1	-													
N.H.	3	12	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	28	52	-	1	1	2	-	-													
R.I.	6	2	-	-	2	-	-	-													
Conn.	26	23	-	-	3	2	-	-													
MID. ATLANTIC	201	206	-	1	-	3	23	26													
Upstate N.Y.	57	68	-	1	-	3	5	3													
N.Y. City	34	45	-	-	-	-	7	9													
N.J.	40	36	-	-	-	-	6	2													
Pa.	70	57	-	-	-	-	5	12													
E.N. CENTRAL	134	190	1	-	1	8	7	26													
Ohio	71	63	-	-	-	2	6	10													
Ind.	36	30	-	-	1	4	1	1													
Ill.	9	58	-	-	-	-	-	12													
Mich.	11	10	1	-	-	2	-	3													
Wis.	7	29	-	-	-	-	-	-													
W.N. CENTRAL	55	51	-	2	3	3	7	5													
Minn.	19	21	-	1	3	3	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	27	18	-	-	-	-	5	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	4	2	-	-	-	-	1	-													
Kans.	4	6	-	-	-	-	-	1													
S. ATLANTIC	246	232	-	-	15	14	13	16													
Del.	-	-	-	-	-	-	-	-													
Md.	37	39	-	-	4	2	-	-													
D.C.	-	1	-	-	-	-	-	1													
Va.	26	19	-	-	-	-	-	1													
W. Va.	14	10	-	-	1	3	2	-													
N.C.	41	30	-	-	5	4	-	-													
S.C.	10	5	-	-	-	-	1	-													
Ga.	50	69	-	-	-	-	6	14													
Fla.	68	59	-	-	5	5	4	-													
E.S. CENTRAL	64	37	-	-	1	-	11	7													
Ky.	6	1	-	-	1	-	1	-													
Tenn.	45	26	-	-	-	-	7	5													
Ala.	13	10	-	-	-	-	3	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	63	37	1	1	4	4	6	1													
Ark.	2	1	-	-	-	-	-	-													
La.	26	9	1	-	2	-	6	1													
Okla.	35	26	-	-	2	4	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	143	117	-	3	14	13	22	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	2	-	-	-	-	-	-	-													
Colo.	27	27	-	-	-	-	4	3													
N. Mex.	13	25	-	-	4	4	1	4													
Ariz.	74	43	-	-	8	6	8	1													
Utah	11	8	-	2	-	1	6	1													
Nev.	13	9	-	1	2	2	2	1													
PACIFIC	48	44	-	-	12	4	6	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	20	22	-	-	-	-	4	2													
Calif.	21	14	-	-	12	4	1	1													
Alaska	2	3	-	-	-	-	1	1													
Hawaii	5	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


