
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 6, 2004 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	152	206	23	47	18	20	2,187	3,506	42,864	55,011											
NEW ENGLAND	9	9	2	1	2	2	192	190	1,012	1,290											
Maine	-	-	-	-	-	-	20	17	36	19											
N.H.	1	2	-	1	-	-	5	14	19	18											
Vt.	-	-	-	-	-	-	12	16	8	18											
Mass.	1	3	1	-	2	2	91	91	598	469											
R.I.	-	-	-	-	-	-	9	9	160	160											
Conn.	7	4	1	-	-	-	55	43	191	606											
MID. ATLANTIC	12	17	1	1	2	2	435	507	5,959	6,684											
Upstate N.Y.	4	3	1	-	-	-	146	92	1,119	1,012											
N.Y. City	3	3	-	-	-	-	114	212	1,603	2,252											
N.J.	-	3	-	-	1	-	33	68	888	1,550											
Pa.	5	8	-	1	1	2	142	135	2,349	1,870											
E.N. CENTRAL	30	46	4	5	3	2	283	455	7,241	12,295											
Ohio	11	13	-	2	3	2	130	143	1,117	3,865											
Ind.	6	3	-	-	-	-	-	-	1,149	1,193											
Ill.	2	7	-	-	-	-	44	132	1,914	3,902											
Mich.	7	9	-	-	-	-	82	108	2,582	2,262											
Wis.	4	14	4	3	-	-	27	72	479	1,073											
W.N. CENTRAL	19	24	6	3	6	2	209	247	2,300	2,840											
Minn.	9	11	2	3	-	-	74	52	403	487											
Iowa	-	2	-	-	-	-	35	35	-	127											
Mo.	5	3	4	-	1	-	61	94	1,154	1,510											
N. Dak.	1	1	-	-	3	1	2	7	15	5											
S. Dak.	-	2	-	-	-	-	8	7	35	19											
Nebr.	1	4	-	-	-	-	13	28	218	219											
Kans.	3	1	-	-	2	1	16	24	475	473											
S. ATLANTIC	9	52	6	31	1	10	371	1,350	9,531	12,774											
Del.	-	-	N	N	N	N	11	9	183	237											
Md.	2	-	-	-	-	-	16	20	1,351	1,367											
D.C.	-	-	-	-	-	-	7	-	356	432											
Va.	-	2	2	-	-	-	50	29	472	1,209											
W. Va.	-	-	-	-	-	-	1	4	128	143											
N.C.	-	-	3	5	-	-	N	N	2,736	2,429											
S.C.	-	-	-	-	-	-	1	12	1,366	1,275											
Ga.	3	3	-	1	-	-	103	140	447	2,540											
Fla.	4	47	1	25	1	10	182	1,136	2,492	3,142											
E.S. CENTRAL	5	9	1	-	3	-	35	49	3,751	4,825											
Ky.	1	1	1	-	3	-	N	N	447	649											
Tenn.	2	5	-	-	-	-	22	21	1,218	1,412											
Ala.	1	3	-	-	-	-	13	28	1,200	1,605											
Miss.	1	-	-	-	-	-	-	-	886	1,159											
W.S. CENTRAL	9	6	-	2	-	2	47	33	6,572	7,462											
Ark.	-	1	-	-	-	-	23	22	601	627											
La.	-	-	-	-	-	-	7	1	2,115	2,030											
Okla.	3	-	-	-	-	-	17	10	619	510											
Tex.	6	5	-	2	-	2	-	-	3,237	4,295											
MOUNTAIN	33	19	2	3	1	-	254	221	1,891	2,005											
Mont.	1	-	-	-	-	-	5	4	8	26											
Idaho	3	5	-	2	-	-	35	28	12	14											
Wyo.	-	-	-	-	-	-	1	3	9	9											
Colo.	15	4	1	-	1	-	77	62	310	556											
N. Mex.	1	-	-	1	-	-	9	11	152	234											
Ariz.	8	8	N	N	N	N	66	47	937	814											
Utah	2	2	-	-	-	-	44	46	39	38											
Nev.	3	-	-	-	-	-	17	20	424	314											
PACIFIC	26	24	1	1	-	-	361	454	4,607	4,836											
Wash.	4	8	-	-	-	-	31	25	492	455											
Oreg.	4	1	1	1	-	-	60	55	159	154											
Calif.	14	15	-	-	-	-	252	346	3,875	3,958											
Alaska	-	-	-	-	-	-	6	11	80	93											
Hawaii	4	-	-	-	-	-	12	17	1	176											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	10	24	19											
V.I.	-	-	-	-	-	-	-	-	-	11											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


