
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 14, 2008 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	90	99	258	2,968	3,010	18	35	166	877	966											
NEW ENGLAND	12	6	31	199	229	-	2	14	40	79											
Conn.	12	0	28	71	49	-	0	11	-	11											
Maine	-	0	3	15	18	-	0	1	1	1											
Mass.	-	3	7	83	127	-	1	5	30	52											
N.H.	-	0	2	16	19	-	0	1	7	8											
R.I.	-	0	6	5	2	-	0	1	1	5											
Vt.	-	0	2	9	14	-	0	1	1	2											
MID. ATLANTIC	12	16	43	617	611	4	4	19	102	182											
N.J.	-	3	9	94	119	-	1	6	21	36											
N.Y. (Upstate)	7	6	18	214	181	4	2	14	56	59											
N.Y. City	-	3	10	111	150	-	1	12	25	87											
Pa.	5	5	16	198	161	N	0	0	N	N											
E.N. CENTRAL	14	17	59	609	641	1	5	23	180	177											
Ill.	-	5	15	150	199	-	1	6	39	42											
Ind.	-	2	11	78	66	-	0	14	24	11											
Mich.	-	3	10	101	130	-	1	5	43	52											
Ohio	11	4	15	176	156	1	1	5	33	36											
Wis.	3	1	38	104	90	-	1	9	41	36											
W.N. CENTRAL	4	4	39	237	206	2	2	16	71	51											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	6	33	25	-	0	3	12	1											
Minn.	-	0	35	101	97	-	0	13	24	31											
Mo.	1	2	10	58	53	-	1	2	21	13											
Nebr.	2	0	3	24	15	1	0	3	5	5											
N. Dak.	-	0	5	9	10	1	0	2	4	1											
S. Dak.	-	0	2	12	6	-	0	1	5	-											
S. ATLANTIC	23	22	51	583	650	5	6	13	136	161											
Del.	-	0	2	6	4	-	0	0	-	-											
D.C.	1	0	2	12	13	-	0	1	1	2											
Fla.	8	6	16	144	152	1	1	4	36	34											
Ga.	3	4	10	113	141	1	1	5	9	38											
Md.	6	4	9	107	115	1	1	5	37	41											
N.C.	3	2	22	77	55	N	0	0	N	N											
S.C.	2	1	5	35	66	2	1	4	26	18											
Va.	-	3	12	73	88	-	0	6	23	25											
W. Va.	-	0	3	16	16	-	0	1	4	3											
E.S. CENTRAL	5	4	13	98	111	1	2	11	60	53											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	3	17	28	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	15	4											
Tenn.	5	3	13	81	83	1	2	9	45	49											
W.S. CENTRAL	11	7	84	238	174	2	5	66	136	128											
Ark.	-	0	2	4	14	-	0	2	5	8											
La.	-	0	1	3	13	-	0	2	1	24											
Okla.	1	1	19	64	41	1	2	7	45	28											
Tex.	10	5	64	167	106	1	3	58	85	68											
MOUNTAIN	9	11	22	321	314	3	5	12	142	126											
Ariz.	4	4	9	119	115	3	2	8	73	63											
Colo.	4	3	8	91	81	-	1	4	41	29											
Idaho	-	0	2	9	6	-	0	1	2	2											
Mont.	N	0	0	N	N	-	0	1	1	-											
Nev.	-	0	2	6	3	N	0	0	N	N											
N. Mex.	-	2	7	54	54	-	0	3	11	26											
Utah	1	1	5	37	51	-	0	4	13	6											
Wyo.	-	0	2	5	4	-	0	1	1	-											
PACIFIC	-	3	9	66	74	-	0	2	10	9											
Alaska	-	0	3	19	15	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	9	47	59	-	0	2	10	9											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	22	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


