
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 21, 2005 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	3,343	4,618	68	96	9,332	10,689	-	14	-												
NEW ENGLAND	102	140	6	10	355	1,232	-	-	-												
Maine	7	8	-	-	101	43	-	-	-												
N.H.	4	6	-	-	52	-	-	-	-												
Vt.	-	-	-	-	24	315	-	-	-												
Mass.	68	78	5	9	178	15	-	-	-												
R.I.	6	15	-	1	-	-	-	-	-												
Conn.	17	33	1	-	-	859	-	-	-												
MID. ATLANTIC	741	695	18	27	2,157	29	-	1	-												
Upstate N.Y.	85	81	3	2	-	-	-	-	-												
N.Y. City	384	353	3	9	-	-	-	-	-												
N.J.	165	148	5	11	-	-	-	-	-												
Pa.	107	113	7	5	2,157	29	-	1	-												
E.N. CENTRAL	486	394	3	11	3,114	3,342	-	-	-												
Ohio	93	64	-	2	733	862	-	-	-												
Ind.	48	50	-	-	119	N	-	-	-												
Ill.	242	183	1	5	17	1	-	-	-												
Mich.	71	70	1	3	2,024	2,127	-	-	-												
Wis.	32	27	1	1	221	352	-	-	-												
W.N. CENTRAL	172	150	1	2	72	120	-	1	-												
Minn.	69	60	1	1	-	-	-	-	-												
Iowa	17	15	-	-	N	N	-	-	-												
Mo.	43	41	-	1	3	2	-	-	-												
N. Dak.	2	3	-	-	10	68	-	-	-												
S. Dak.	5	4	-	-	59	50	-	1	-												
Nebr.	15	6	-	-	-	-	-	-	-												
Kans.	21	21	-	-	-	-	-	-	N												
S. ATLANTIC	714	911	9	8	878	1,222	-	1	-												
Del.	2	9	-	-	6	4	-	-	-												
Md.	81	81	1	2	-	-	-	-	-												
D.C.	27	4	-	-	15	17	-	-	-												
Va.	94	72	2	2	141	316	-	-	-												
W. Va.	8	10	-	-	539	628	-	-	N												
N.C.	72	85	1	2	-	N	-	-	-												
S.C.	80	72	-	-	177	257	-	-	-												
Ga.	58	265	2	-	-	-	-	-	-												
Fla.	292	313	3	2	-	-	-	1	-												
E.S. CENTRAL	192	170	1	4	-	-	-	-	-												
Ky.	40	29	1	2	N	N	-	-	-												
Tenn.	92	48	-	2	-	-	-	-	-												
Ala.	60	60	-	-	-	-	-	-	-												
Miss.	-	33	-	-	-	-	-	-	-												
W.S. CENTRAL	276	817	3	9	1,348	3,382	-	1	-												
Ark.	36	52	-	-	-	-	-	-	-												
La.	-	-	-	-	96	42	-	-	-												
Okla.	52	55	-	-	-	-	-	-	-												
Tex.	188	710	3	9	1,252	3,340	-	1	-												
MOUNTAIN	81	192	3	3	1,408	1,362	-	10	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	42	17	-	-	-												
Colo.	16	51	-	1	994	1,041	-	1	-												
N. Mex.	4	14	-	-	78	35	-	-	-												
Ariz.	56	80	1	1	-	-	-	9	-												
Utah	5	15	1	1	294	269	-	-	-												
Nev.	-	31	1	-	-	-	-	-	-												
PACIFIC	579	1,149	24	22	-	-	-	-	-												
Wash.	76	78	1	1	N	N	-	-	-												
Oreg.	38	36	2	-	-	-	-	-	-												
Calif.	405	981	17	15	-	-	-	-	-												
Alaska	13	12	-	-	-	-	-	-	-												
Hawaii	47	42	4	6	-	-	-	-	-												
Guam	-	14	-	-	-	95	-	-	-												
P.R.	-	21	-	-	76	134	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


