
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 21, 1999 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	782	739	9,475	14,332	4,002	6,177	-	36	-	17	53	49									
NEW ENGLAND	58	49	127	187	65	129	-	6	-	4	10	3									
Maine	5	2	5	15	1	2	-	-	-	-	-	-									
N.H.	14	8	10	9	10	11	-	-	-	1	1	-									
Vt.	5	5	4	13	2	4	-	-	-	-	-	1									
Mass.	21	31	41	73	29	50	-	5	-	2	7	2									
R.I.	1	2	13	11	23	43	-	-	-	-	-	-									
Conn.	12	1	54	66	-	19	-	1	-	1	2	-									
MID. ATLANTIC	125	113	627	1,106	464	817	-	-	-	2	2	13									
Upstate N.Y.	61	36	166	221	130	152	-	-	-	2	2	2									
N.Y. City	28	35	155	381	132	283	-	-	-	-	-	-									
N.J.	35	35	57	221	40	145	-	-	-	-	-	8									
Pa.	1	7	249	283	162	237	-	-	-	-	-	3									
E.N. CENTRAL	121	125	1,811	2,175	401	926	-	1	-	1	2	15									
Ohio	44	42	446	221	62	52	-	-	-	-	-	1									
Ind.	20	27	74	105	32	74	-	1	-	-	1	3									
Ill.	48	47	319	516	-	159	-	-	-	-	-	-									
Mich.	9	4	946	1,185	306	282	-	-	-	1	1	10									
Wis.	-	5	26	148	1	359	U	-	U	-	-	1									
W.N. CENTRAL	59	63	491	1,054	213	258	-	-	-	-	-	-									
Minn.	24	48	45	89	30	26	-	-	-	-	-	-									
Iowa	6	2	89	367	25	44	U	-	U	-	-	-									
Mo.	21	8	275	476	122	154	-	-	-	-	-	-									
N. Dak.	-	-	1	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	21	1	1	-	-	-	-	-	-									
Nebr.	3	-	40	20	11	11	-	-	-	-	-	-									
Kans.	4	5	33	78	24	18	-	-	-	-	-	-									
S. ATLANTIC	186	138	1,268	1,172	770	646	-	1	-	4	5	8									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	48	43	241	252	112	91	-	-	-	-	-	1									
D.C.	4	-	37	39	14	8	U	-	U	-	-	-									
Va.	13	13	102	150	59	69	-	1	-	2	3	2									
W. Va.	6	5	26	1	16	4	-	-	-	-	-	-									
N.C.	28	21	100	72	147	149	-	-	-	-	-	-									
S.C.	3	3	28	21	53	24	-	-	-	-	-	-									
Ga.	49	30	314	354	105	122	-	-	-	-	-	2									
Fla.	35	23	418	280	264	179	-	-	-	2	2	2									
E.S. CENTRAL	51	42	277	268	305	316	-	-	-	-	-	2									
Ky.	5	7	50	21	27	31	-	-	-	-	-	-									
Tenn.	30	23	139	153	165	175	-	-	-	-	-	1									
Ala.	14	10	39	50	55	47	-	-	-	-	-	1									
Miss.	2	2	49	44	58	63	U	-	U	-	-	-									
W.S. CENTRAL	41	38	1,632	2,533	446	1,363	-	5	-	3	8	-									
Ark.	2	-	35	65	33	62	-	-	-	-	-	-									
La.	7	17	59	45	72	64	U	-	U	-	-	-									
Okla.	28	19	336	379	94	58	-	-	-	-	-	-									
Tex.	4	2	1,202	2,044	247	1,179	-	5	-	3	8	-									
MOUNTAIN	67	85	890	2,174	409	551	-	2	-	-	2	-									
Mont.	1	-	16	69	16	5	-	-	-	-	-	-									
Idaho	1	-	30	179	20	22	-	-	-	-	-	-									
Wyo.	1	1	4	26	9	3	-	-	-	-	-	-									
Colo.	10	17	152	175	59	67	-	-	-	-	-	-									
N. Mex.	17	4	32	103	136	212	-	-	-	-	-	-									
Ariz.	30	42	536	1,337	108	133	-	1	-	-	1	-									
Utah	5	3	34	136	24	51	-	1	-	-	1	-									
Nev.	2	18	86	149	37	58	-	-	-	-	-	-									
PACIFIC	74	86	2,352	3,663	929	1,171	-	21	-	3	24	8									
Wash.	3	6	211	724	42	63	-	-	-	-	-	1									
Oreg.	30	35	169	281	57	122	-	9	-	-	9	-									
Calif.	33	37	1,958	2,608	808	968	-	11	-	3	14	6									
Alaska	5	1	4	15	12	10	-	-	-	-	-	1									
Hawaii	3	7	10	35	10	8	-	1	-	-	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	107	38	99	168	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	3	-	45	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


