
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 28, 2008 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	49	99	258	3,182	3,245	8	35	166	935	1,004											
NEW ENGLAND	-	6	31	207	255	-	2	14	41	82											
Conn.	-	0	28	71	70	-	0	11	-	11											
Maine	-	0	3	16	18	-	0	1	1	1											
Mass.	-	2	7	83	130	-	1	5	30	54											
N.H.	-	0	2	16	20	-	0	1	7	8											
R.I.	-	0	6	12	2	-	0	1	2	6											
Vt.	-	0	2	9	15	-	0	1	1	2											
MID. ATLANTIC	9	16	43	656	641	-	4	19	115	185											
N.J.	-	3	9	101	120	-	1	6	21	37											
N.Y. (Upstate)	5	6	18	228	191	-	2	14	61	61											
N.Y. City	-	3	10	116	159	-	1	12	33	87											
Pa.	4	5	16	211	171	N	0	0	N	N											
E.N. CENTRAL	10	17	59	655	667	-	6	23	188	184											
Ill.	-	5	16	175	203	-	1	6	43	45											
Ind.	-	2	11	87	69	-	0	14	23	11											
Mich.	-	3	10	85	140	-	1	5	42	54											
Ohio	5	4	15	187	163	-	1	5	35	37											
Wis.	5	1	38	121	92	-	1	9	45	37											
W.N. CENTRAL	-	5	39	256	218	1	2	16	79	54											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	33	24	-	0	3	13	-											
Minn.	-	0	35	116	107	-	0	13	28	33											
Mo.	-	2	10	62	56	-	1	2	23	15											
Nebr.	-	0	3	24	15	1	0	3	6	5											
N. Dak.	-	0	5	9	10	-	0	2	4	1											
S. Dak.	-	0	2	12	6	-	0	1	5	-											
S. ATLANTIC	14	21	51	626	742	3	6	13	147	172											
Del.	-	0	2	6	5	-	0	0	-	-											
D.C.	-	0	2	12	15	-	0	1	1	2											
Fla.	3	6	11	148	170	2	1	4	41	36											
Ga.	4	4	10	127	148	1	1	5	10	39											
Md.	1	4	9	113	130	-	1	5	37	42											
N.C.	3	3	22	86	94	N	0	0	N	N											
S.C.	-	1	5	35	71	-	1	4	29	20											
Va.	3	3	12	80	91	-	0	6	24	29											
W. Va.	-	0	3	19	18	-	0	1	5	4											
E.S. CENTRAL	1	4	13	103	118	-	2	11	62	53											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	20	30	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	15	4											
Tenn.	1	3	13	83	88	-	2	9	47	49											
W.S. CENTRAL	8	8	84	257	185	4	5	66	142	135											
Ark.	-	0	2	4	15	-	0	2	5	9											
La.	-	0	1	3	13	-	0	2	2	24											
Okla.	3	1	19	68	43	1	1	7	46	30											
Tex.	5	5	64	182	114	3	3	58	89	72											
MOUNTAIN	6	11	22	349	343	-	5	12	151	130											
Ariz.	4	4	9	126	127	-	2	8	77	64											
Colo.	1	3	8	98	88	-	1	4	41	31											
Idaho	1	0	2	11	6	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	2	-											
Nev.	-	0	2	6	3	N	0	0	N	N											
N. Mex.	-	2	7	66	61	-	0	3	13	27											
Utah	-	1	5	37	53	-	0	4	14	6											
Wyo.	-	0	2	5	5	-	0	1	1	-											
PACIFIC	1	3	10	73	76	-	0	2	10	9											
Alaska	-	0	3	20	15	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	1	2	10	53	61	-	0	2	10	9											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	8	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	5	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


