
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 24, 1999 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	376	385	4,572	6,768	1,781	2,647	1	17	4	10	27	18									
NEW ENGLAND	28	26	60	103	31	43	-	-	-	1	1	1									
Maine	2	2	2	10	-	-	-	-	-	-	-	-									
N.H.	5	1	7	6	4	5	-	-	-	1	1	-									
Vt.	4	2	3	7	1	-	-	-	-	-	-	-									
Mass.	11	19	17	29	17	23	-	-	-	-	-	1									
R.I.	-	2	6	7	9	4	-	-	-	-	-	-									
Conn.	6	-	25	44	-	11	-	-	-	-	-	-									
MID. ATLANTIC	48	55	310	505	241	404	-	-	2	2	2	6									
Upstate N.Y.	26	19	77	115	58	101	-	-	2	2	2	-									
N.Y. City	5	15	47	181	55	115	-	-	-	-	-	-									
N.J.	17	19	42	90	33	71	-	-	-	-	-	5									
Pa.	-	2	144	119	95	117	-	-	-	-	-	1									
E.N. CENTRAL	42	57	1,063	971	145	505	-	-	-	-	-	2									
Ohio	22	25	256	117	30	24	-	-	-	-	-	-									
Ind.	1	9	29	89	4	225	-	-	-	-	-	1									
Ill.	15	22	140	257	-	82	-	-	-	-	-	-									
Mich.	4	-	616	419	111	145	-	-	-	-	-	1									
Wis.	-	1	22	89	-	29	-	-	-	-	-	-									
W.N. CENTRAL	36	28	234	594	104	119	-	-	-	-	-	-									
Minn.	11	17	18	28	13	11	-	-	-	-	-	-									
Iowa	8	1	52	268	18	16	-	-	-	-	-	-									
Mo.	11	6	128	237	63	77	-	-	-	-	-	-									
N. Dak.	-	-	-	2	-	1	U	-	U	-	-	-									
S. Dak.	1	-	8	3	-	1	-	-	-	-	-	-									
Nebr.	3	-	15	15	6	4	-	-	-	-	-	-									
Kans.	2	4	13	41	4	9	-	-	-	-	-	-									
S. ATLANTIC	97	68	546	499	327	264	1	1	2	3	4	6									
Del.	-	-	1	1	-	-	-	-	-	-	-	1									
Md.	25	18	107	124	54	53	-	-	-	-	-	1									
D.C.	2	-	22	21	7	5	-	-	-	-	-	-									
Va.	8	10	41	86	29	30	1	1	2	2	3	2									
W. Va.	1	2	5	-	7	2	-	-	-	-	-	-									
N.C.	16	10	44	32	69	68	-	-	-	-	-	-									
S.C.	2	1	7	11	35	-	-	-	-	-	-	-									
Ga.	20	18	144	110	38	57	-	-	-	-	-	1									
Fla.	23	9	175	114	88	49	-	-	-	1	1	1									
E.S. CENTRAL	29	23	142	142	130	145	-	-	-	-	-	-									
Ky.	2	5	6	8	7	14	U	-	U	-	-	-									
Tenn.	15	12	81	79	67	106	-	-	-	-	-	-									
Ala.	10	5	29	32	32	25	-	-	-	-	-	-									
Miss.	2	1	26	23	24	-	-	-	-	-	-	-									
W.S. CENTRAL	21	23	483	1,015	150	346	-	1	-	2	3	-									
Ark.	1	-	14	15	13	29	-	-	-	-	-	-									
La.	4	11	34	12	45	10	-	-	-	-	-	-									
Okla.	14	10	151	163	37	16	-	-	-	-	-	-									
Tex.	2	2	284	825	55	291	-	1	-	2	3	-									
MOUNTAIN	41	62	461	1,046	166	253	-	1	-	-	1	-									
Mont.	1	-	5	10	7	2	-	-	-	-	-	-									
Idaho	1	-	17	76	9	13	-	-	-	-	-	-									
Wyo.	1	-	2	14	1	2	-	-	-	-	-	-									
Colo.	5	12	89	79	33	35	-	1	-	-	1	-									
N. Mex.	10	2	17	58	54	99	-	-	-	-	-	-									
Ariz.	19	31	267	661	33	57	-	-	-	-	-	-									
Utah	3	3	21	68	9	21	-	-	-	-	-	-									
Nev.	1	14	43	80	20	24	U	-	U	-	-	-									
PACIFIC	34	43	1,273	1,893	487	568	-	14	-	2	16	3									
Wash.	-	1	91	283	17	38	-	-	-	-	-	-									
Oreg.	14	21	83	150	28	62	-	8	-	-	8	-									
Calif.	16	18	1,095	1,433	431	458	-	6	-	2	8	3									
Alaska	3	1	3	3	7	4	-	-	-	-	-	-									
Hawaii	1	2	1	24	4	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	1	U	-	U	-	-	-									
P.R.	-	1	39	14	44	179	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	27	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


