
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 9, 2003 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	26,605	24,521	484,079	497,286	2,156	2,735	1,235	1,449	55	310											
NEW ENGLAND	905	1,003	16,425	16,342	-	-	81	88	-	-											
Maine	49	23	1,200	950	N	N	8	3	-	-											
N.H.	22	20	895	973	-	-	8	16	-	-											
Vt.	11	8	620	508	-	-	18	16	-	-											
Mass.	371	514	6,579	6,467	-	-	32	34	-	-											
R.I.	69	70	1,638	1,684	-	-	10	13	-	-											
Conn.	383	368	5,493	5,760	N	N	5	6	-	-											
MID. ATLANTIC	6,223	5,658	53,873	55,266	-	-	164	193	4	1											
Upstate N.Y.	665	466	11,603	9,999	N	N	50	49	1	-											
N.Y. City	3,189	3,202	20,018	18,823	-	-	47	79	-	1											
N.J.	1,044	922	7,774	7,644	-	-	4	12	-	-											
Pa.	1,325	1,068	14,478	18,800	N	N	63	53	3	-											
E.N. CENTRAL	2,625	2,488	82,104	91,164	6	18	284	458	7	46											
Ohio	466	447	20,432	23,481	-	-	53	79	7	-											
Ind.	345	345	9,607	9,887	N	N	33	26	-	-											
Ill.	1,238	1,170	24,525	28,977	-	2	33	70	-	40											
Mich.	451	401	18,554	18,594	6	16	61	66	-	-											
Wis.	125	125	8,986	10,225	-	-	104	217	-	6											
W.N. CENTRAL	486	419	27,329	27,490	1	1	160	162	18	3											
Minn.	95	91	6,012	6,418	N	N	61	66	2	-											
Iowa	55	50	2,676	2,972	N	N	32	16	-	-											
Mo.	230	187	9,402	9,272	-	-	14	19	-	-											
N. Dak.	2	1	700	760	N	N	11	10	-	-											
S. Dak.	8	3	1,565	1,281	-	-	22	5	9	3											
Nebr.	35	43	2,769	2,522	1	1	6	35	6	-											
Kans.	61	44	4,205	4,265	N	N	14	11	1	-											
S. ATLANTIC	7,717	7,404	95,151	93,971	3	3	191	175	6	5											
Del.	149	130	1,858	1,598	N	N	3	2	-	-											
Md.	882	1,062	10,015	9,431	3	3	10	10	-	-											
D.C.	725	371	1,779	2,002	-	-	8	4	-	-											
Va.	627	535	10,632	10,536	-	-	21	7	-	-											
W. Va.	54	57	1,540	1,475	N	N	3	2	-	-											
N.C.	799	536	15,822	15,018	N	N	19	23	-	-											
S.C.	504	533	8,626	8,760	-	-	3	2	1	-											
Ga.	1,202	1,161	20,383	19,500	-	-	69	69	1	5											
Fla.	2,775	3,019	24,496	25,651	N	N	55	56	4	-											
E.S. CENTRAL	1,144	1,105	32,431	32,084	N	N	59	82	1	93											
Ky.	98	172	5,006	5,234	N	N	14	3	1	-											
Tenn.	517	467	11,716	9,856	N	N	20	43	-	-											
Ala.	271	194	8,245	10,048	-	-	22	32	-	-											
Miss.	258	272	7,464	6,946	N	N	3	4	-	93											
W.S. CENTRAL	2,737	2,677	61,980	66,601	-	6	17	39	18	162											
Ark.	107	164	4,533	4,646	-	-	4	7	-	-											
La.	402	685	11,061	11,630	N	N	2	8	-	115											
Okla.	139	130	6,828	6,998	N	N	7	8	-	-											
Tex.	2,089	1,698	39,558	43,327	-	6	4	16	18	47											
MOUNTAIN	967	777	28,744	30,789	1,486	1,861	68	89	1	-											
Mont.	10	8	1,283	1,321	N	N	13	4	-	-											
Idaho	15	18	1,479	1,510	N	N	15	18	-	-											
Wyo.	6	6	597	549	1	-	2	6	-	-											
Colo.	215	156	6,583	8,511	N	N	15	27	-	-											
N. Mex.	75	53	4,143	4,612	4	6	3	15	1	-											
Ariz.	432	315	8,542	9,070	1,451	1,825	3	11	-	-											
Utah	40	43	2,827	1,566	7	9	11	5	-	-											
Nev.	174	178	3,290	3,650	23	21	6	3	-	-											
PACIFIC	3,801	2,990	86,042	83,579	659	845	211	163	-	-											
Wash.	290	299	9,856	8,945	N	N	25	9	-	-											
Oreg.	165	213	4,378	4,195	-	-	28	25	-	-											
Calif.	3,271	2,394	67,978	65,508	659	845	158	128	-	-											
Alaska	13	17	2,287	2,221	-	-	-	-	-	-											
Hawaii	62	67	1,543	2,710	-	-	-	1	-	-											
Guam	6	1	-	370	-	-	-	-	-	-											
P.R.	724	667	1,158	1,558	N	N	N	N	-	-											
V.I.	22	62	142	119	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


