
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 8, 1999 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	424	433	5,557	7,805	1,989	3,016	-	16	-	10	26	24									
NEW ENGLAND	31	30	67	113	34	52	-	-	-	1	1	1									
Maine	2	2	2	10	-	-	-	-	-	-	-	-									
N.H.	5	1	7	6	4	7	-	-	-	1	1	-									
Vt.	4	2	3	7	1	2	-	-	-	-	-	-									
Mass.	14	23	19	35	18	24	-	-	-	-	-	1									
R.I.	-	2	7	8	11	8	-	-	-	-	-	-									
Conn.	6	-	29	47	-	11	U	-	U	-	-	-									
MID. ATLANTIC	55	66	334	579	254	446	-	-	-	2	2	9									
Upstate N.Y.	33	24	82	123	63	106	-	-	-	2	2	-									
N.Y. City	5	16	50	211	56	130	-	-	-	-	-	-									
N.J.	17	24	42	103	33	81	U	-	U	-	-	8									
Pa.	-	2	160	142	102	129	-	-	-	-	-	1									
E.N. CENTRAL	50	68	1,147	1,076	170	584	-	-	-	-	-	4									
Ohio	24	28	298	122	35	27	-	-	-	-	-	-									
Ind.	1	13	29	97	4	271	-	-	-	-	-	3									
Ill.	20	25	164	281	-	92	-	-	-	-	-	-									
Mich.	5	-	631	482	131	160	-	-	-	-	-	1									
Wis.	-	2	25	94	-	34	-	-	-	-	-	-									
W.N. CENTRAL	38	29	259	645	108	133	-	-	-	-	-	-									
Minn.	12	17	21	28	13	11	-	-	-	-	-	-									
Iowa	9	1	58	306	19	18	-	-	-	-	-	-									
Mo.	11	7	141	248	64	86	-	-	-	-	-	-									
N. Dak.	-	-	-	2	-	2	U	-	U	-	-	-									
S. Dak.	1	-	8	3	-	1	-	-	-	-	-	-									
Nebr.	3	-	17	16	7	6	-	-	-	-	-	-									
Kans.	2	4	14	42	5	9	-	-	-	-	-	-									
S. ATLANTIC	105	77	631	537	381	279	-	1	-	3	4	6									
Del.	-	-	1	2	-	-	-	-	-	-	-	1									
Md.	29	24	119	137	63	56	-	-	-	-	-	1									
D.C.	2	-	24	24	9	6	-	-	-	-	-	-									
Va.	10	10	48	95	37	33	-	1	-	2	3	2									
W. Va.	1	3	5	-	8	2	-	-	-	-	-	-									
N.C.	16	11	50	36	69	76	-	-	-	-	-	-									
S.C.	2	1	8	12	36	-	-	-	-	-	-	-									
Ga.	21	18	160	114	45	57	-	-	-	-	-	1									
Fla.	24	10	216	117	114	49	-	-	-	1	1	1									
E.S. CENTRAL	39	24	179	154	161	155	-	-	-	-	-	-									
Ky.	6	5	31	8	22	17	-	-	-	-	-	-									
Tenn.	20	13	89	88	79	109	-	-	-	-	-	-									
Ala.	11	5	33	33	36	29	-	-	-	-	-	-									
Miss.	2	1	26	25	24	-	-	-	-	-	-	-									
W.S. CENTRAL	25	25	1,090	1,399	158	443	-	1	-	2	3	-									
Ark.	1	-	16	17	15	29	-	-	-	-	-	-									
La.	5	11	38	13	48	11	-	-	-	-	-	-									
Okla.	17	12	171	194	40	24	-	-	-	-	-	-									
Tex.	2	2	865	1,175	55	379	-	1	-	2	3	-									
MOUNTAIN	46	66	533	1,164	215	277	-	-	-	-	-	-									
Mont.	1	-	7	19	8	3	U	-	U	-	-	-									
Idaho	1	-	19	84	10	14	-	-	-	-	-	-									
Wyo.	1	-	3	18	1	2	-	-	-	-	-	-									
Colo.	6	12	98	90	35	36	-	-	-	-	-	-									
N. Mex.	10	3	20	64	87	104	-	-	-	-	-	-									
Ariz.	23	31	316	726	41	65	-	-	-	-	-	-									
Utah	3	3	23	73	10	23	-	-	-	-	-	-									
Nev.	1	17	47	90	23	30	-	-	-	-	-	-									
PACIFIC	35	48	1,317	2,138	508	647	-	14	-	2	16	4									
Wash.	-	2	94	352	18	46	-	-	-	-	-	1									
Oreg.	14	24	91	163	29	67	-	8	-	-	8	-									
Calif.	16	19	1,128	1,589	449	523	-	6	-	2	8	3									
Alaska	4	1	3	9	7	5	-	-	-	-	-	-									
Hawaii	1	2	1	25	5	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	1	U	-	U	-	-	-									
P.R.	1	2	58	16	53	215	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	28	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


