
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 25, 2009 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	49	100	239	3,361	3,651	15	34	122	1,037	1,108											
NEW ENGLAND	5	5	28	178	268	-	1	12	25	55											
Conn.	4	0	21	53	72	-	0	11	-	-											
Maine	1	0	2	13	20	-	0	1	2	1											
Mass.	-	2	10	60	128	-	1	2	15	41											
N.H.	-	1	4	30	16	-	0	2	6	7											
R.I.	-	0	2	9	20	-	0	2	-	6											
Vt.	-	0	3	13	12	-	0	1	2	-											
MID. ATLANTIC	7	19	42	681	760	2	5	33	159	143											
N.J.	-	2	6	60	139	-	1	4	28	41											
N.Y. (Upstate)	6	6	25	238	239	1	2	17	73	65											
N.Y. City	-	4	12	136	140	1	0	31	58	37											
Pa.	1	6	18	247	242	N	0	2	N	N											
E.N. CENTRAL	6	16	42	650	724	2	6	18	152	202											
Ill.	-	5	12	170	195	-	1	5	19	59											
Ind.	-	3	23	111	93	-	0	13	20	20											
Mich.	-	3	11	107	123	-	1	5	44	54											
Ohio	5	4	13	167	201	2	1	6	48	36											
Wis.	1	2	10	95	112	-	1	4	21	33											
W.N. CENTRAL	4	6	37	280	271	9	2	11	90	56											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	31	N	0	1	N	N											
Minn.	-	0	34	118	127	9	0	10	50	13											
Mo.	2	1	8	63	64	-	0	4	26	26											
Nebr.	-	1	3	32	25	-	0	1	5	6											
N. Dak.	-	0	4	11	8	-	0	3	4	5											
S. Dak.	2	0	3	19	16	-	0	2	5	6											
S. ATLANTIC	14	22	47	750	727	-	6	16	203	213											
Del.	-	0	1	9	6	-	0	0	-	-											
D.C.	-	0	2	-	8	N	0	0	N	N											
Fla.	7	5	12	179	162	-	1	6	48	39											
Ga.	3	5	13	172	166	-	2	6	48	57											
Md.	1	3	12	121	134	-	1	4	44	42											
N.C.	-	2	12	76	92	N	0	0	N	N											
S.C.	1	1	5	48	41	-	1	6	33	35											
Va.	2	3	9	116	91	-	0	4	18	35											
W. Va.	-	1	4	29	27	-	0	3	12	5											
E.S. CENTRAL	3	4	10	134	122	1	1	6	42	59											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	23	28	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	8											
Tenn.	3	3	9	111	94	1	1	6	42	51											
W.S. CENTRAL	4	9	79	286	312	1	6	46	177	170											
Ark.	1	0	2	13	7	-	0	4	18	10											
La.	-	0	3	9	13	-	0	3	13	10											
Okla.	-	3	20	98	72	-	1	7	33	47											
Tex.	3	6	59	166	220	1	4	34	113	103											
MOUNTAIN	6	9	22	303	384	-	4	16	157	178											
Ariz.	2	3	7	100	134	-	2	10	82	83											
Colo.	4	3	9	102	97	-	1	4	30	40											
Idaho	-	0	2	4	12	-	0	2	6	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	6	-	0	1	-	2											
N. Mex.	-	2	7	52	95	-	0	4	15	25											
Utah	-	1	6	39	34	-	0	4	24	24											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	-	4	10	99	83	-	1	6	32	32											
Alaska	-	1	4	27	17	-	0	5	27	21											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	72	66	-	0	2	5	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


