
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 14, 1999 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	764	729	9,273	13,939	3,861	6,008	1	36	-	17	53	47									
NEW ENGLAND	56	49	123	180	64	124	-	6	-	4	10	3									
Maine	5	2	5	13	1	2	-	-	-	-	-	-									
N.H.	12	8	9	8	10	11	-	-	-	1	1	-									
Vt.	5	5	3	13	1	4	-	-	-	-	-	1									
Mass.	21	31	39	69	29	48	-	5	-	2	7	2									
R.I.	1	2	13	11	23	40	-	-	-	-	-	-									
Conn.	12	1	54	66	-	19	-	1	-	1	2	-									
MID. ATLANTIC	121	113	621	1,079	460	803	-	-	-	2	2	13									
Upstate N.Y.	60	36	160	215	126	149	-	-	-	2	2	2									
N.Y. City	28	35	155	375	132	278	-	-	-	-	-	-									
N.J.	32	35	57	219	40	141	U	-	U	-	-	8									
Pa.	1	7	249	270	162	235	-	-	-	-	-	3									
E.N. CENTRAL	118	124	1,767	2,076	390	905	-	1	-	1	2	15									
Ohio	41	42	434	213	61	50	-	-	-	-	-	1									
Ind.	20	27	74	99	32	70	-	1	-	-	1	3									
Ill.	48	46	308	494	-	158	-	-	-	-	-	-									
Mich.	9	4	925	1,124	296	277	-	-	-	1	1	10									
Wis.	-	5	26	146	1	350	U	-	U	-	-	1									
W.N. CENTRAL	53	63	484	1,028	202	249	-	-	-	-	-	-									
Minn.	19	48	45	83	30	24	U	-	U	-	-	-									
Iowa	6	2	89	364	25	42	-	-	-	-	-	-									
Mo.	20	8	268	461	111	149	-	-	-	-	-	-									
N. Dak.	-	-	1	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	21	1	1	-	-	-	-	-	-									
Nebr.	3	-	40	20	11	11	-	-	-	-	-	-									
Kans.	4	5	33	76	24	18	-	-	-	-	-	-									
S. ATLANTIC	183	133	1,228	1,133	734	626	-	1	-	4	5	7									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	48	43	231	250	109	90	-	-	-	-	-	1									
D.C.	4	-	37	37	14	8	-	-	-	-	-	-									
Va.	13	13	100	146	59	66	-	1	-	2	3	2									
W. Va.	6	5	26	1	16	4	-	-	-	-	-	-									
N.C.	26	21	94	67	142	139	-	-	-	-	-	-									
S.C.	3	3	26	18	40	23	-	-	-	-	-	-									
Ga.	48	28	312	336	96	118	-	-	-	-	-	2									
Fla.	35	20	400	275	258	178	-	-	-	2	2	1									
E.S. CENTRAL	51	42	271	266	289	308	-	-	-	-	-	2									
Ky.	5	7	50	21	23	30	-	-	-	-	-	-									
Tenn.	30	23	133	153	154	171	U	-	U	-	-	1									
Ala.	14	10	39	48	54	45	-	-	-	-	-	1									
Miss.	2	2	49	44	58	62	-	-	-	-	-	-									
W.S. CENTRAL	40	36	1,573	2,466	398	1,318	1	5	-	3	8	-									
Ark.	2	-	34	63	33	60	-	-	-	-	-	-									
La.	7	16	59	45	72	63	U	-	U	-	-	-									
Okla.	27	18	325	367	91	58	-	-	-	-	-	-									
Tex.	4	2	1,155	1,991	202	1,137	1	5	-	3	8	-									
MOUNTAIN	67	85	870	2,120	399	541	-	2	-	-	2	-									
Mont.	1	-	16	67	16	5	-	-	-	-	-	-									
Idaho	1	-	27	173	16	21	-	-	-	-	-	-									
Wyo.	1	1	4	26	9	3	U	-	U	-	-	-									
Colo.	10	17	152	169	55	66	-	-	-	-	-	-									
N. Mex.	17	4	32	100	138	208	-	-	-	-	-	-									
Ariz.	30	42	523	1,310	108	130	-	1	-	-	1	-									
Utah	5	3	33	131	22	50	-	1	-	-	1	-									
Nev.	2	18	83	144	35	58	U	-	U	-	-	-									
PACIFIC	75	84	2,336	3,591	925	1,134	-	21	-	3	24	7									
Wash.	3	6	202	722	41	63	-	-	-	-	-	1									
Oreg.	30	34	163	276	57	117	-	9	-	-	9	-									
Calif.	33	36	1,958	2,544	808	937	-	11	-	3	14	6									
Alaska	5	1	4	14	12	9	-	-	-	-	-	-									
Hawaii	4	7	9	35	7	8	-	1	-	-	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	107	37	97	165	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	43	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


