
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 28, 2006 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2006
Hepatitis (Viral Acute), Type A cummulative for 2005
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2006
Hepatitis (Viral Acute), Type B cummulative for 2005
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2006
Legionellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	29	77	171	187	273	71	102	139	197	409	10	36	111	55	97						
NEW ENGLAND	1	8	23	7	35	3	5	12	13	16	-	2	11	2	3						
Conn.	-	1	3	1	6	-	0	5	-	4	-	0	8	1	-						
Maine	-	0	1	-	-	-	0	2	-	-	-	0	1	-	-						
Mass.	-	6	14	4	27	2	3	10	11	12	-	1	5	1	3						
N.H.	-	1	12	1	2	1	0	3	2	-	-	0	1	-	-						
R.I.	-	0	4	-	-	-	0	2	-	-	-	0	7	-	-						
Vt.	1	0	1	1	-	-	0	1	-	-	-	0	3	-	-						
MID. ATLANTIC	4	13	24	12	58	7	14	37	11	84	1	11	53	17	29						
N.J.	-	3	11	-	11	-	6	26	-	50	-	1	12	-	5						
N.Y. (Upstate)	2	2	8	4	4	2	2	7	2	2	1	3	25	3	5						
N.Y. City	1	5	12	4	32	-	2	7	1	12	-	1	20	-	-						
Pa.	1	1	6	4	11	5	4	9	8	20	-	5	17	14	19						
E.N. CENTRAL	3	7	18	16	30	1	10	25	13	44	-	6	23	7	27						
Ill.	-	1	9	-	13	-	2	7	-	13	-	0	3	-	7						
Ind.	1	1	10	1	1	-	0	11	-	-	-	0	5	-	2						
Mich.	2	2	11	8	9	-	3	7	3	18	-	2	6	4	7						
Ohio	-	1	7	6	3	1	2	8	10	11	-	3	19	3	9						
Wis.	-	1	5	1	4	-	0	6	-	2	-	0	2	-	2						
W.N. CENTRAL	2	1	31	6	8	-	5	13	6	16	-	1	12	2	5						
Iowa	-	0	2	-	1	-	0	2	-	-	-	0	1	-	-						
Kans.	2	0	2	4	1	-	0	3	1	3	-	0	1	-	-						
Minn.	-	0	31	-	-	-	0	6	-	-	-	0	10	-	-						
Mo.	-	0	5	2	4	-	3	7	5	7	-	0	3	2	5						
Nebr.	-	0	3	-	2	-	0	2	-	6	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	6	-	-						
S. ATLANTIC	4	12	33	28	31	33	24	49	73	120	5	9	19	18	17						
Del.	-	0	1	1	-	-	1	6	-	5	-	0	4	1	-						
D.C.	-	0	2	1	-	-	0	4	-	-	-	0	2	-	-						
Fla.	4	5	18	18	15	8	10	21	38	37	2	2	6	6	7						
Ga.	-	2	6	1	10	1	2	7	3	31	-	1	3	-	1						
Md.	-	1	6	4	4	4	2	8	10	14	3	2	9	8	7						
N.C.	-	0	18	3	1	19	0	13	19	12	-	0	3	3	2						
S.C.	-	1	3	-	-	1	2	9	3	7	-	0	2	-	-						
Va.	-	1	6	-	1	-	2	10	-	14	-	1	4	-	-						
W. Va.	-	0	2	-	-	-	0	11	-	-	-	0	3	-	-						
E.S. CENTRAL	-	4	16	5	8	1	7	21	7	27	1	1	6	2	1						
Ala.	-	0	6	-	1	-	1	7	2	12	-	0	2	-	1						
Ky.	-	0	3	-	1	-	1	6	-	5	-	0	3	-	-						
Miss.	-	0	4	-	-	-	1	4	-	2	-	0	1	-	-						
Tenn.	-	2	13	5	6	1	2	13	5	8	1	0	4	2	-						
W.S. CENTRAL	-	5	13	-	12	16	12	26	45	17	-	0	4	-	-						
Ark.	-	0	3	-	-	1	1	4	1	3	-	0	1	-	-						
La.	-	1	5	-	4	-	1	5	1	4	-	0	1	-	-						
Okla.	-	0	1	-	-	-	0	5	-	2	-	0	3	-	-						
Tex.	-	3	10	-	8	15	8	23	43	8	-	0	3	-	-						
MOUNTAIN	-	6	21	5	29	-	10	38	4	34	-	2	8	-	7						
