
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 24, 2009 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	35	102	239	4,232	4,523	21	36	122	1,357	1,430											
NEW ENGLAND	1	5	28	248	322	-	1	12	50	72											
Conn.	-	0	21	63	91	-	0	11	-	-											
Maine	-	0	2	15	23	-	0	1	5	1											
Mass.	-	2	10	107	150	-	1	4	30	50											
N.H.	-	0	4	34	22	-	0	2	10	11											
R.I.	-	0	2	11	23	-	0	1	1	10											
Vt.	1	0	3	18	13	-	0	1	4	-											
MID. ATLANTIC	4	20	43	854	898	4	4	33	197	180											
N.J.	-	3	7	118	161	-	1	4	37	55											
N.Y. (Upstate)	2	7	25	279	283	4	2	17	94	82											
N.Y. City	-	4	12	162	164	-	0	31	66	43											
Pa.	2	6	18	295	290	N	0	2	N	N											
E.N. CENTRAL	1	17	42	769	849	2	6	18	207	263											
Ill.	-	5	12	213	223	-	0	5	23	77											
Ind.	-	2	23	123	115	-	0	13	31	29											
Mich.	-	3	11	123	155	-	1	5	52	62											
Ohio	1	4	13	191	232	2	1	6	61	50											
Wis.	-	2	11	119	124	-	1	3	40	45											
W.N. CENTRAL	13	6	37	347	332	3	2	11	123	84											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	35	N	0	1	N	N											
Minn.	10	0	34	162	154	2	0	10	72	28											
Mo.	-	1	8	73	80	-	0	4	30	33											
Nebr.	-	1	3	39	34	1	0	1	11	7											
N. Dak.	3	0	4	15	8	-	0	3	4	8											
S. Dak.	-	0	3	21	21	-	0	2	6	8											
S. ATLANTIC	7	22	49	971	944	3	6	18	250	278											
Del.	-	0	1	10	7	-	0	0	-	-											
D.C.	-	0	3	12	13	N	0	0	N	N											
Fla.	4	6	12	236	214	2	1	6	57	54											
Ga.	2	5	13	235	212	-	2	6	63	77											
Md.	1	3	12	163	162	-	1	7	63	48											
N.C.	-	1	12	84	125	N	0	0	N	N											
S.C.	-	1	5	61	61	1	1	6	37	51											
Va.	-	3	9	136	115	-	0	4	18	39											
W. Va.	-	1	4	34	35	-	0	3	12	9											
E.S. CENTRAL	-	3	10	159	160	-	2	7	77	72											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	32	34	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	16	9											
Tenn.	-	3	9	127	126	-	1	6	61	63											
W.S. CENTRAL	4	9	79	373	410	8	5	46	240	224											
Ark.	-	0	2	15	10	-	0	4	22	12											
La.	-	0	3	11	17	-	0	3	13	11											
Okla.	2	3	20	120	91	2	1	7	52	57											
Tex.	2	5	59	227	292	6	3	34	153	144											
MOUNTAIN	5	10	22	373	476	1	4	16	184	214											
Ariz.	1	3	7	127	168	1	2	10	96	95											
Colo.	3	3	7	117	120	-	1	4	36	50											
Idaho	-	0	2	8	14	-	0	2	7	4											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	11	-	0	1	-	3											
N. Mex.	1	2	7	68	111	-	0	4	17	30											
Utah	-	1	6	47	46	-	0	5	28	30											
Wyo.	-	0	1	1	6	-	0	0	-	2											
PACIFIC	-	3	9	138	132	-	0	4	29	43											
Alaska	-	1	4	30	31	-	0	3	22	26											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	108	101	-	0	2	7	17											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


