
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 18, 2007 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2007
Giardiasis cummulative for 2006
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2007
Gonorrhea cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2007
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2006

tab delimited data:
test
UNITED STATES	233	297	1,514	8,905	10,137	4,049	6,730	8,941	205,692	220,759	18	45	184	1,464	1,515						
NEW ENGLAND	4	23	67	665	775	162	111	259	3,522	3,434	-	3	19	116	114						
Conn.	-	5	25	175	159	64	45	204	1,337	1,346	-	0	6	31	33						
Maine	3	3	12	96	82	7	2	8	84	76	-	0	2	7	15						
Mass.	-	9	26	271	377	81	50	96	1,705	1,532	-	2	6	58	50						
N.H.	-	0	3	11	19	3	3	8	98	132	-	0	2	11	7						
R.I.	-	0	17	31	50	6	8	18	262	303	-	0	10	7	2						
Vt.	1	3	12	81	88	1	1	5	36	45	-	0	1	2	7						
MID. ATLANTIC	45	56	127	1,602	2,033	371	717	1,537	23,040	20,575	2	10	27	319	313						
N.J.	-	6	17	142	304	82	114	159	3,600	3,325	-	1	5	44	56						
N.Y. (Upstate)	31	24	108	600	668	108	112	1,035	3,866	3,802	2	3	15	93	97						
N.Y. City	3	16	32	483	596	-	188	376	5,934	6,323	-	2	6	62	59						
Pa.	11	14	34	377	465	181	248	613	9,640	7,125	-	3	10	120	101						
E.N. CENTRAL	2	43	100	1,198	1,628	489	1,231	2,613	41,150	43,422	4	5	15	177	255						
Ill.	-	10	30	256	421	192	360	508	10,945	12,727	-	2	6	44	77						
Ind.	N	0	0	N	N	167	159	306	5,471	5,594	4	1	10	37	50						
Mich.	-	13	38	349	418	-	297	880	9,011	8,361	-	0	5	19	22						
Ohio	-	15	32	423	461	29	250	1,569	11,564	12,413	-	2	5	69	56						
Wis.	2	7	27	170	328	101	129	181	4,159	4,327	-	0	4	8	50						
W.N. CENTRAL	20	20	553	543	1,141	172	385	512	11,965	12,047	1	3	24	84	85						
Iowa	3	5	16	136	167	16	39	62	1,199	1,127	-	0	1	1	1						
Kans.	3	3	11	87	121	37	45	86	1,469	1,420	-	0	2	8	14						
Minn.	-	0	514	12	414	-	60	87	1,728	2,016	-	1	17	35	39						
Mo.	10	7	28	200	302	114	201	266	6,471	6,353	-	1	5	26	22						
Nebr.	4	2	9	61	67	-	29	57	885	819	-	0	2	12	5						
N. Dak.	-	0	16	11	12	-	2	7	54	72	1	0	2	2	4						
S. Dak.	-	1	6	36	58	5	6	15	159	240	-	0	0	-	-						
S. ATLANTIC	42	57	106	1,608	1,527	1,136	1,634	3,209	48,189	54,445	5	11	34	375	382						
Del.	-	1	3	24	24	13	28	44	880	915	-	0	3	5	1						
