
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2002 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	44	63	19	30	278	324	46	101	-	17											
NEW ENGLAND	1	1	1	3	9	47	5	12	-	1											
Maine	-	-	1	-	-	-	-	-	-	-											
N.H.	-	-	-	-	6	1	3	-	-	-											
Vt.	-	1	-	-	-	-	-	-	-	-											
Mass.	-	-	-	3	3	22	-	7	-	1											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	1	-	-	-	-	24	2	5	-	-											
MID. ATLANTIC	9	10	5	4	213	197	3	22	-	-											
Upstate N.Y.	1	1	3	1	145	50	1	1	-	-											
N.Y. City	-	-	1	1	-	4	2	15	-	-											
N.J.	-	2	-	2	12	57	-	4	-	-											
Pa.	8	7	1	-	56	86	-	2	-	-											
E.N. CENTRAL	22	30	3	4	2	21	5	20	-	-											
Ohio	15	12	2	-	2	8	3	2	-	-											
Ind.	-	2	-	-	-	-	-	1	-	-											
Ill.	-	5	-	1	-	2	-	6	-	-											
Mich.	7	5	1	2	-	-	2	11	-	-											
Wis.	-	6	-	1	U	11	-	-	-	-											
W.N. CENTRAL	1	5	-	1	4	3	3	2	-	-											
Minn.	-	-	-	-	1	3	-	-	-	-											
Iowa	-	1	-	-	1	-	1	-	-	-											
Mo.	1	2	-	-	2	-	2	2	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	-	-	-	-	-	-	-											
Kans.	-	1	-	1	-	-	-	-	-	-											
S. ATLANTIC	7	4	3	3	42	39	17	20	-	3											
Del.	1	-	-	-	5	4	-	-	-	-											
Md.	3	3	1	1	30	32	8	9	-	3											
D.C.	-	-	-	-	2	1	2	1	-	-											
Va.	-	1	-	1	-	1	-	4	-	-											
W. Va.	N	N	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	1	2	1	-	-											
S.C.	-	-	1	-	-	-	1	-	-	-											
Ga.	-	-	-	1	-	-	-	4	-	-											
Fla.	3	-	1	-	5	-	4	1	-	-											
E.S. CENTRAL	-	2	-	3	-	1	2	1	-	-											
Ky.	-	1	-	1	-	1	-	-	-	-											
Tenn.	-	-	-	1	-	-	1	1	-	-											
Ala.	-	1	-	1	-	-	1	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	1	-	1	1	11	-	2	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	1	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	1	1	11	-	1	-	-											
MOUNTAIN	3	2	2	1	2	-	1	3	-	1											
Mont.	-	-	-	-	-	-	-	1	-	-											
Idaho	-	-	-	-	-	-	-	1	-	1											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	1	2	1	1	1	-	1	1	-	-											
N. Mex.	1	-	-	-	1	-	-	-	-	-											
Ariz.	-	-	1	-	-	-	-	-	-	-											
Utah	1	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	1	8	5	10	5	5	10	19	-	12											
Wash.	-	1	-	-	-	-	-	-	-	9											
Oreg.	N	N	1	1	-	-	-	2	-	2											
Calif.	1	7	4	9	5	5	8	16	-	-											
Alaska	-	-	-	-	-	-	-	1	-	-											
Hawaii	-	-	-	-	N	N	2	-	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


