
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 25, 2009 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	108	225	1,879	3,091	2,218	31	88	162	777	1,238	8	41	148	212	91						
NEW ENGLAND	-	18	34	136	304	5	8	21	86	99	1	0	2	2	1						
Conn.	-	1	4	5	19	1	3	17	36	50	-	0	0	-	-						
Maine	-	1	7	26	12	1	1	5	15	15	1	0	1	2	-						
Mass.	-	12	30	81	241	-	0	0	-	-	-	0	1	-	1						
N.H.	-	1	4	15	10	-	1	8	7	10	-	0	1	-	-						
R.I.	-	1	6	3	17	-	0	3	7	8	-	0	2	-	-						
Vt.	-	0	2	6	5	3	1	6	21	16	-	0	0	-	-						
MID. ATLANTIC	15	23	64	248	268	7	29	67	115	353	-	2	30	5	20						
N.J.	-	4	12	20	40	-	0	0	-	-	-	1	6	-	10						
N.Y. (Upstate)	4	7	41	57	72	7	9	20	95	99	-	0	29	1	-						
N.Y. City	-	1	20	23	31	-	0	2	-	7	-	0	2	4	7						
Pa.	11	9	34	148	125	-	21	52	20	247	-	0	2	-	3						
E.N. CENTRAL	23	36	174	693	537	3	3	29	12	5	1	2	15	6	3						
Ill.	-	13	45	155	46	-	1	21	2	1	-	1	11	2	3						
Ind.	-	2	96	63	15	-	0	2	-	-	-	0	3	-	-						
Mich.	1	8	21	156	57	3	1	9	10	3	-	0	1	1	-						
Ohio	22	10	57	304	399	-	1	7	-	1	1	0	4	3	-						
Wis.	-	2	7	15	20	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	10	30	839	690	183	1	5	17	63	49	-	4	33	12	6						
Iowa	-	4	21	36	27	-	0	5	6	3	-	0	2	-	-						
Kans.	5	2	12	50	24	-	1	6	34	27	-	0	0	-	-						
Minn.	-	2	781	150	29	-	0	10	7	9	-	0	0	-	-						
Mo.	5	12	51	391	85	1	1	8	8	1	-	4	32	12	6						
Nebr.	-	3	32	55	14	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	18	2	-	-	0	9	3	3	-	0	0	-	-						
S. Dak.	-	0	10	6	4	-	0	2	5	6	-	0	1	-	-						
S. ATLANTIC	19	23	71	407	208	5	23	78	370	602	5	16	71	158	37						
Del.	-	0	3	4	2	-	0	0	-	-	-	0	5	1	2						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	2	-	2						
Fla.	7	7	20	129	44	-	0	18	45	138	-	0	3	1	1						
Ga.	-	2	9	27	11	-	0	47	88	119	-	1	8	6	5						
Md.	3	3	9	31	29	-	7	17	85	139	-	1	7	11	8						
N.C.	7	0	65	132	59	N	2	4	N	N	5	9	55	124	11						
S.C.	-	2	11	44	24	-	0	0	-	-	-	1	9	4	2						
