
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 6, 1999 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	3,137	3,128	38,608	51,577	92	30	24,355	32,256	137	259											
NEW ENGLAND	158	64	1,190	1,995	15	10	343	640	35	8											
Maine	3	2	35	28	1	-	6	5	-	-											
N.H.	3	-	84	86	-	-	3	14	-	-											
Vt.	-	5	22	27	-	-	5	-	-	1											
Mass.	124	6	832	875	8	6	265	227	35	7											
R.I.	9	13	211	241	-	-	62	36	-	-											
Conn.	19	38	6	738	6	4	2	358	-	-											
MID. ATLANTIC	489	893	6,040	7,542	5	-	3,111	4,648	3	15											
Upstate N.Y.	17	114	N	N	4	-	89	579	3	13											
N.Y. City	237	488	3,715	3,292	-	-	1,814	1,643	-	-											
N.J.	162	131	303	1,099	1	-	146	743	-	-											
Pa.	73	160	2,022	3,151	N	-	1,062	1,683	-	2											
E.N. CENTRAL	179	202	6,466	8,330	21	3	4,887	6,377	11	55											
Ohio	38	33	2,117	3,077	15	2	1,354	1,832	-	2											
Ind.	25	38	-	-	5	-	561	564	-	1											
Ill.	77	101	2,395	2,019	1	-	1,484	1,898	-	9											
Mich.	22	15	1,844	1,940	-	-	1,418	1,561	11	43											
Wis.	17	15	110	1,294	N	1	70	522	-	-											
W.N. CENTRAL	110	57	1,182	3,237	17	7	448	1,184	-	39											
Minn.	20	15	312	658	8	6	130	258	-	-											
Iowa	3	6	42	244	4	1	16	57	-	1											
Mo.	72	19	-	1,167	1	-	-	439	-	37											
N. Dak.	-	-	-	87	-	-	-	10	-	-											
S. Dak.	-	4	125	149	-	-	17	22	-	-											
Nebr.	6	9	242	303	-	-	114	117	-	-											
Kans.	9	4	461	629	4	-	171	281	-	1											
S. ATLANTIC	883	773	10,124	9,055	11	3	8,284	8,125	18	7											
Del.	13	13	266	182	-	-	160	155	-	-											
Md.	81	52	780	648	1	-	902	764	14	2											
D.C.	8	84	N	N	-	-	299	366	-	-											
Va.	54	38	1,461	992	N	-	1,273	759	1	1											
W. Va.	10	5	163	294	-	1	54	84	-	-											
N.C.	69	45	2,076	1,675	2	1	1,958	1,451	-	3											
S.C.	60	59	2,732	1,689	1	1	1,535	1,292	1	-											
Ga.	111	113	-	1,940	-	-	-	1,845	-	-											
Fla.	477	364	2,646	1,635	3	-	2,103	1,409	2	1											
E.S. CENTRAL	157	156	3,583	3,589	4	-	3,410	3,855	10	11											
Ky.	15	19	-	497	-	-	-	389	-	2											
Tenn.	64	52	1,281	1,235	3	-	1,103	1,221	9	8											
Ala.	31	56	1,213	910	1	-	1,277	1,302	1	1											
Miss.	47	29	1,089	947	-	-	1,030	943	-	-											
W.S. CENTRAL	532	379	3,188	7,052	1	-	2,388	4,633	3	3											
Ark.	19	17	425	256	-	-	252	431	-	-											
La.	27	66	1,836	1,270	-	-	1,617	1,063	3	-											
Okla.	6	14	927	674	-	-	519	403	-	-											
Tex.	480	282	-	4,852	1	-	-	2,736	-	3											
MOUNTAIN	45	87	1,826	2,392	5	1	449	744	9	30											
Mont.	-	5	60	61	-	-	1	-	-	3											
Idaho	4	3	-	111	-	-	-	12	2	11											
Wyo.	-	-	-	77	-	-	-	5	-	7											
Colo.	26	21	653	539	2	1	98	265	1	2											
N. Mex.	4	9	471	438	1	-	97	78	3	3											
Ariz.	4	33	522	813	1	-	243	314	2	-											
Utah	4	13	120	173	1	-	10	19	1	3											
Nev.	3	3	-	180	-	-	-	51	-	1											
PACIFIC	584	517	5,009	8,385	13	6	1,035	2,050	48	91											
Wash.	29	31	-	1,014	-	2	-	179	1	-											
Oreg.	15	13	245	586	6	4	42	94	-	1											
Calif.	525	468	4,552	6,397	7	-	959	1,704	47	80											
Alaska	5	-	156	177	-	-	27	32	-	-											
Hawaii	10	5	56	211	-	-	7	41	-	10											
Guam	1	-	-	10	N	-	-	3	-	-											
P.R.	92	87	U	U	-	U	29	59	-	-											
V.I.	-	1	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	6	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


