
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 8, 2003 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	81	139	6	7	5	2	1,557	1,512	29,722	38,570											
NEW ENGLAND	8	6	-	1	-	-	63	167	648	965											
Maine	-	-	-	-	-	-	10	18	5	11											
N.H.	2	1	-	-	-	-	5	9	15	10											
Vt.	-	-	-	-	-	-	8	17	14	14											
Mass.	3	1	-	1	-	-	36	90	213	437											
R.I.	-	1	-	-	-	-	4	10	105	103											
Conn.	3	3	-	-	-	-	-	23	296	390											
MID. ATLANTIC	5	9	-	-	1	-	516	297	2,108	4,142											
Upstate N.Y.	3	5	-	-	1	-	51	53	607	431											
N.Y. City	-	-	-	-	-	-	447	114	133	1,455											
N.J.	2	4	-	-	-	-	11	52	685	919											
Pa.	N	N	-	-	-	-	7	78	683	1,337											
E.N. CENTRAL	20	49	-	-	1	1	222	358	7,537	8,285											
Ohio	4	8	-	-	1	1	114	93	3,496	2,463											
Ind.	1	4	-	-	-	-	-	-	631	815											
Ill.	5	19	-	-	-	-	27	112	1,228	2,572											
Mich.	7	6	-	-	-	-	76	90	1,718	1,768											
Wis.	3	12	-	-	-	-	5	63	464	667											
W.N. CENTRAL	14	22	1	3	2	-	132	113	1,184	2,113											
Minn.	6	7	1	3	-	-	33	13	73	387											
Iowa	1	6	-	-	-	-	29	30	31	93											
Mo.	3	2	N	N	N	N	19	32	752	1,031											
N. Dak.	-	-	-	-	1	-	4	-	1	1											
S. Dak.	1	-	-	-	-	-	7	8	7	29											
Nebr.	3	4	-	-	-	-	20	13	5	165											
Kans.	-	3	-	-	1	-	20	17	315	407											
S. ATLANTIC	9	17	1	1	-	-	256	314	7,802	9,227											
Del.	-	1	-	-	-	-	6	7	169	210											
Md.	-	-	-	-	-	-	14	15	963	921											
D.C.	-	-	-	-	-	-	-	6	331	343											
Va.	1	2	-	-	-	-	13	9	768	1,111											
W. Va.	-	-	-	-	-	-	-	2	95	111											
N.C.	3	3	-	-	-	-	-	-	1,639	1,588											
S.C.	-	-	-	-	-	-	4	1	484	955											
Ga.	-	10	-	-	-	-	132	102	1,487	1,515											
Fla.	5	1	1	1	-	-	87	172	1,866	2,473											
E.S. CENTRAL	5	-	-	-	-	-	33	24	3,063	3,539											
Ky.	-	-	-	-	-	-	-	-	403	405											
Tenn.	3	-	-	-	-	-	12	5	823	1,231											
Ala.	2	-	-	-	-	-	21	19	1,121	1,220											
Miss.	-	-	-	-	-	-	-	-	716	683											
W.S. CENTRAL	1	3	-	-	-	1	22	9	4,639	5,886											
Ark.	1	-	-	-	-	-	15	9	441	604											
La.	-	-	-	-	-	-	-	-	1,078	1,388											
Okla.	-	-	-	-	-	-	7	-	352	438											
Tex.	-	3	-	-	-	1	-	-	2,768	3,456											
MOUNTAIN	7	10	3	1	1	-	129	117	860	1,302											
Mont.	-	1	-	-	-	-	2	3	18	21											
Idaho	2	1	2	-	-	-	20	3	8	10											
Wyo.	-	-	-	1	-	-	3	1	9	6											
Colo.	2	2	-	-	1	-	42	48	223	459											
N. Mex.	-	2	1	-	-	-	2	13	23	159											
Ariz.	1	1	-	-	-	-	32	10	453	439											
Utah	2	1	-	-	-	-	16	22	17	2											
Nev.	-	2	-	-	-	-	12	17	109	206											
PACIFIC	12	23	1	1	-	-	184	113	1,881	3,111											
Wash.	4	4	-	-	-	-	9	22	322	325											
Oreg.	1	6	1	1	-	-	35	71	86	105											
Calif.	5	13	-	-	-	-	119	-	1,307	2,557											
Alaska	-	-	-	-	-	-	9	8	58	67											
Hawaii	2	-	-	-	-	-	12	12	108	57											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	11	70											
V.I.	-	-	-	-	-	-	-	-	-	8											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


