
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 19, 2005 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	1,045	1,226	612	635	151	174	1,233	1,486	49	92											
NEW ENGLAND	37	64	2	4	15	21	40	23	-	-											
Maine	2	2	N	N	-	-	1	-	-	-											
N.H.	3	6	-	-	-	N	3	1	-	-											
Vt.	5	1	2	2	1	-	-	-	-	-											
Mass.	24	53	-	1	14	20	34	11	-	-											
R.I.	3	2	-	1	-	1	1	1	-	-											
Conn.	-	-	-	-	U	U	1	10	-	-											
MID. ATLANTIC	201	200	62	40	31	21	143	200	12	17											
Upstate N.Y.	76	62	24	15	21	12	13	8	9	1											
N.Y. City	16	41	U	U	U	U	97	126	2	6											
N.J.	41	43	N	N	2	1	20	34	1	9											
Pa.	68	54	38	25	8	8	13	32	-	1											
E.N. CENTRAL	139	264	121	154	34	47	107	161	2	18											
Ohio	45	71	89	121	22	24	49	47	-	1											
Ind.	26	20	32	33	6	8	10	9	-	1											
Ill.	2	76	-	-	2	-	33	68	1	3											
Mich.	61	77	-	N	-	N	11	31	-	13											
Wis.	5	20	N	N	4	15	4	6	1	-											
W.N. CENTRAL	64	90	13	5	17	14	31	36	-	-											
Minn.	22	39	-	-	9	7	1	5	-	-											
Iowa	N	N	N	N	-	N	-	1	-	-											
Mo.	21	18	12	4	-	3	27	22	-	-											
N. Dak.	1	3	-	-	1	-	-	-	-	-											
S. Dak.	5	6	1	1	-	-	-	-	-	-											
Nebr.	7	6	-	-	2	2	1	5	-	-											
Kans.	8	18	N	N	5	2	2	3	-	-											
S. ATLANTIC	232	240	290	302	19	12	348	370	9	13											
Del.	-	-	-	2	-	N	2	2	-	-											
Md.	77	57	-	-	17	9	68	58	4	3											
D.C.	2	2	3	3	1	3	27	16	-	1											
Va.	10	12	N	N	-	N	19	5	2	1											
W. Va.	6	8	14	28	1	-	2	2	-	-											
N.C.	25	32	N	N	U	U	51	32	1	-											
S.C.	4	18	-	17	-	N	14	27	-	2											
Ga.	45	55	113	89	-	N	16	66	-	1											
Fla.	63	56	160	163	-	N	149	162	2	5											
E.S. CENTRAL	40	63	43	50	-	-	82	80	10	3											
Ky.	11	22	7	10	N	N	6	14	-	-											
Tenn.	29	41	36	40	-	N	30	34	8	1											
Ala.	-	-	-	-	-	N	39	23	2	1											
Miss.	-	-	-	-	-	-	7	9	-	1											
W.S. CENTRAL	39	100	38	25	22	43	218	227	12	21											
Ark.	6	3	6	3	2	4	11	13	-	3											
La.	3	1	32	22	6	10	12	42	-	-											
Okla.	21	15	N	N	8	15	11	6	1	2											
Tex.	9	81	N	N	6	14	184	166	11	16											
MOUNTAIN	202	84	24	12	13	16	62	77	4	3											
Mont.	-	-	-	-	-	-	4	-	-	-											
Idaho	1	2	N	N	-	N	6	6	-	-											
Wyo.	1	3	6	4	-	-	-	1	-	-											
Colo.	88	23	N	N	12	15	1	14	-	-											
N. Mex.	14	30	-	5	-	-	6	21	-	1											
Ariz.	80	18	N	N	-	N	28	31	4	2											
Utah	18	8	17	1	1	1	1	2	-	-											
Nev.	-	-	1	2	-	-	16	2	-	-											
PACIFIC	91	121	19	43	-	-	202	312	-	17											
Wash.	N	N	N	N	N	N	30	14	-	-											
Oreg.	N	N	N	N	-	N	2	9	-	-											
Calif.	67	94	N	N	-	N	168	286	-	17											
Alaska	-	-	-	-	-	N	-	-	-	-											
Hawaii	24	27	19	43	-	-	2	3	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	26	22	3	2											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


