
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 22, 1999 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	468	473	6,119	8,769	2,304	3,329	-	21	-	11	32	24									
NEW ENGLAND	34	32	69	123	35	57	-	1	-	2	3	1									
Maine	4	2	2	12	-	-	-	-	-	-	-	-									
N.H.	6	1	7	6	4	7	U	-	U	1	1	-									
Vt.	4	2	3	8	1	2	-	-	-	-	-	-									
Mass.	14	25	19	39	18	28	U	-	U	-	-	1									
R.I.	-	2	9	8	12	9	-	-	-	-	-	-									
Conn.	6	-	29	50	-	11	-	1	-	1	2	-									
MID. ATLANTIC	57	68	378	625	290	494	-	-	-	2	2	9									
Upstate N.Y.	33	24	96	128	79	116	-	-	-	2	2	-									
N.Y. City	7	17	62	223	61	146	-	-	-	-	-	-									
N.J.	17	25	42	114	33	86	U	-	U	-	-	8									
Pa.	-	2	178	160	117	146	-	-	-	-	-	1									
E.N. CENTRAL	53	72	1,255	1,237	196	644	-	-	-	-	-	4									
Ohio	25	29	319	134	41	27	-	-	-	-	-	-									
Ind.	1	14	29	119	4	300	-	-	-	-	-	3									
Ill.	20	27	181	307	-	101	-	-	-	-	-	-									
Mich.	7	-	700	576	150	176	-	-	-	-	-	1									
Wis.	-	2	26	101	1	40	-	-	-	-	-	-									
W.N. CENTRAL	39	31	286	693	126	148	-	-	-	-	-	-									
Minn.	12	17	25	28	16	11	-	-	-	-	-	-									
Iowa	10	1	65	322	23	19	-	-	-	-	-	-									
Mo.	11	8	156	279	71	99	-	-	-	-	-	-									
N. Dak.	-	-	1	2	-	2	-	-	-	-	-	-									
S. Dak.	1	-	8	8	-	1	-	-	-	-	-	-									
Nebr.	3	-	16	9	7	6	-	-	-	-	-	-									
Kans.	2	5	15	45	9	10	-	-	-	-	-	-									
S. ATLANTIC	116	87	710	579	451	305	-	1	-	3	4	6									
Del.	-	-	1	3	-	-	-	-	-	-	-	1									
Md.	30	27	132	144	70	68	-	-	-	-	-	1									
D.C.	3	-	30	25	10	6	-	-	-	-	-	-									
Va.	10	11	54	110	39	40	-	1	-	2	3	2									
W. Va.	2	3	7	1	11	3	-	-	-	-	-	-									
N.C.	20	12	51	41	93	81	-	-	-	-	-	-									
S.C.	2	3	11	12	36	-	-	-	-	-	-	-									
Ga.	23	19	181	125	51	58	-	-	-	-	-	1									
Fla.	26	12	243	118	141	49	-	-	-	1	1	1									
E.S. CENTRAL	39	29	196	179	194	165	-	-	-	-	-	-									
Ky.	6	5	31	10	22	19	-	-	-	-	-	-									
Tenn.	20	17	98	107	86	117	-	-	-	-	-	-									
Ala.	11	6	32	36	42	29	-	-	-	-	-	-									
Miss.	2	1	35	26	44	-	-	-	-	-	-	-									
W.S. CENTRAL	30	26	1,123	1,605	187	482	-	1	-	2	3	-									
Ark.	1	-	18	23	20	31	-	-	-	-	-	-									
La.	7	12	46	13	57	11	-	-	-	-	-	-									
Okla.	20	12	194	230	40	25	-	-	-	-	-	-									
Tex.	2	2	865	1,339	70	415	-	1	-	2	3	-									
MOUNTAIN	52	71	641	1,354	245	326	-	-	-	-	-	-									
Mont.	1	-	12	30	15	3	-	-	-	-	-	-									
Idaho	1	-	24	90	12	15	-	-	-	-	-	-									
Wyo.	1	-	3	21	3	2	-	-	-	-	-	-									
Colo.	6	12	108	102	38	42	-	-	-	-	-	-									
N. Mex.	10	3	20	73	85	120	-	-	-	-	-	-									
Ariz.	28	36	400	848	53	82	-	-	-	-	-	-									
Utah	4	3	24	89	14	28	-	-	-	-	-	-									
Nev.	1	17	50	101	25	34	-	-	-	-	-	-									
PACIFIC	48	57	1,461	2,374	580	708	-	18	-	2	20	4									
Wash.	1	3	102	379	21	48	-	-	-	-	-	1									
Oreg.	18	27	112	176	40	73	-	8	-	-	8	-									
Calif.	24	24	1,239	1,781	507	574	-	10	-	2	12	3									
Alaska	4	1	3	12	7	7	-	-	-	-	-	-									
Hawaii	1	2	5	26	5	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	1	U	-	U	-	-	-									
P.R.	1	2	63	19	60	230	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	28	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


