
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 19, 2000 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	766	785	7,003	10,381	4,225	4,387	1	43	-	17	60	65									
NEW ENGLAND	53	58	196	177	42	98	-	2	-	4	6	10									
Maine	1	5	13	5	5	1	-	-	-	-	-	-									
N.H.	11	11	17	10	11	10	-	2	-	1	3	1									
Vt.	4	5	7	6	6	2	-	-	-	3	3	-									
Mass.	24	23	75	71	7	33	-	-	-	-	-	7									
R.I.	1	1	15	13	13	22	-	-	-	-	-	-									
Conn.	12	13	69	72	-	30	-	-	-	-	-	2									
MID. ATLANTIC	127	139	695	750	609	561	-	13	-	5	18	5									
Upstate N.Y.	66	58	137	164	89	127	-	8	-	-	8	2									
N.Y. City	27	42	220	218	275	171	-	5	-	4	9	3									
N.J.	26	36	104	92	83	80	-	-	-	-	-	-									
Pa.	8	3	234	276	162	183	-	-	-	1	1	-									
E.N. CENTRAL	109	135	865	1,968	459	459	-	7	-	-	7	2									
Ohio	40	44	177	441	74	62	-	2	-	-	2	-									
Ind.	22	20	51	71	30	31	-	-	-	-	-	1									
Ill.	40	59	323	452	81	40	-	4	-	-	4	-									
Mich.	7	10	301	952	273	301	-	1	-	-	1	1									
Wis.	-	2	13	52	1	25	U	-	U	-	-	-									
W.N. CENTRAL	41	42	624	479	554	177	1	2	-	1	3	-									
Minn.	22	24	153	45	23	30	-	-	-	1	1	-									
Iowa	-	1	58	90	28	27	1	2	-	-	2	-									
Mo.	11	5	317	287	460	101	-	-	-	-	-	-									
N. Dak.	1	-	2	1	2	-	-	-	-	-	-	-									
S. Dak.	-	2	-	8	-	1	-	-	-	-	-	-									
Nebr.	4	4	21	37	23	14	-	-	-	-	-	-									
Kans.	3	6	73	11	18	4	-	-	-	-	-	-									
S. ATLANTIC	207	175	873	1,164	777	689	-	3	-	-	3	4									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	54	47	124	213	79	100	-	-	-	-	-	-									
D.C.	-	4	15	37	19	14	-	-	-	-	-	-									
Va.	31	13	96	102	95	59	-	2	-	-	2	3									
W. Va.	5	6	47	27	7	17	-	-	-	-	-	-									
N.C.	19	28	103	99	157	147	-	-	-	-	-	-									
S.C.	11	3	35	27	7	52	-	-	-	-	-	-									
Ga.	53	49	145	316	122	96	-	-	-	-	-	-									
Fla.	34	25	308	341	291	203	-	1	-	-	1	1									
E.S. CENTRAL	35	47	271	281	300	313	-	-	-	-	-	2									
Ky.	12	6	31	53	53	30	-	-	-	-	-	2									
Tenn.	16	25	102	112	144	159	-	-	-	-	-	-									
Ala.	6	14	44	38	35	58	-	-	-	-	-	-									
Miss.	1	2	94	78	68	66	-	-	-	-	-	-									
W.S. CENTRAL	40	48	1,147	2,027	412	759	-	-	-	-	-	7									
Ark.	1	2	100	29	66	50	-	-	-	-	-	-									
La.	7	11	28	150	52	128	-	-	-	-	-	-									
Okla.	30	31	181	370	100	96	-	-	-	-	-	-									
Tex.	2	4	838	1,478	194	485	-	-	-	-	-	7									
MOUNTAIN	76	64	597	851	326	399	-	11	-	1	12	1									
Mont.	1	1	4	16	4	16	-	-	-	-	-	-									
Idaho	3	1	19	30	6	21	-	-	-	-	-	-									
Wyo.	1	1	10	4	3	9	-	-	-	-	-	-									
Colo.	11	11	135	156	58	64	-	1	-	1	2	-									
N. Mex.	16	17	51	33	81	130	-	-	-	-	-	-									
Ariz.	36	28	298	492	129	98	-	-	-	-	-	1									
Utah	7	3	39	33	16	24	-	3	-	-	3	-									
Nev.	1	2	41	87	29	37	-	7	-	-	7	-									
PACIFIC	78	77	1,735	2,684	746	932	-	5	-	6	11	34									
Wash.	3	3	179	209	52	42	-	2	-	1	3	5									
Oreg.	20	26	135	169	64	70	-	-	-	-	-	12									
Calif.	28	39	1,409	2,285	616	797	-	2	-	3	5	16									
Alaska	6	5	9	5	8	13	-	1	-	-	1	-									
Hawaii	21	4	3	16	6	10	-	-	-	2	2	1									
Guam	-	-	-	1	-	2	U	-	U	-	-	1									
P.R.	1	2	73	210	82	148	U	-	U	-	-	-									
V.I.	-	U	-	U	-	U	U	-	U	-	-	U									
Amer. Samoa	-	U	-	U	-	U	U	-	U	-	-	U									
C.N.M.I.	-	U	-	U	-	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


