
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 4, 2004 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	4,840	4,693	219	300	6,714	8,348	182	235	12,779	10,961											
NEW ENGLAND	132	143	1	-	231	274	15	20	590	2,210											
Maine	2	6	-	-	-	18	-	-	179	642											
N.H.	3	15	-	-	9	10	-	2	-	-											
Vt.	-	-	-	-	-	7	-	-	411	492											
Mass.	84	92	-	-	155	134	12	11	-	118											
R.I.	18	15	-	-	19	37	1	2	-	3											
Conn.	25	15	1	-	48	68	2	5	-	955											
MID. ATLANTIC	659	566	36	44	1,383	1,458	35	43	66	24											
Upstate N.Y.	69	27	3	7	180	183	5	7	-	-											
N.Y. City	399	316	11	24	705	767	11	23	-	-											
N.J.	104	114	21	13	275	281	10	12	-	-											
Pa.	87	109	1	-	223	227	9	1	66	24											
E.N. CENTRAL	540	632	36	48	773	761	14	27	3,960	3,818											
Ohio	151	139	1	2	129	136	4	1	1,029	940											
Ind.	44	34	9	9	86	89	-	4	-	-											
Ill.	197	257	4	18	341	349	-	15	-	-											
Mich.	127	188	22	19	155	143	8	7	2,539	2,278											
Wis.	21	14	-	-	62	44	2	-	392	600											
W.N. CENTRAL	110	106	3	4	293	309	8	5	123	41											
Minn.	15	33	1	-	113	126	4	2	-	-											
Iowa	5	8	-	-	23	20	-	1	N	N											
Mo.	67	36	1	4	72	77	2	1	5	-											
N. Dak.	-	2	-	-	3	-	-	-	75	41											
S. Dak.	-	1	-	-	8	16	-	-	43	-											
Nebr.	5	5	-	-	24	12	2	1	-	-											
Kans.	18	21	1	-	50	58	-	-	-	-											
S. ATLANTIC	1,247	1,245	32	59	1,298	1,597	36	36	1,630	1,580											
Del.	6	4	1	-	-	-	-	-	4	21											
Md.	247	204	3	10	179	156	9	8	-	-											
D.C.	53	35	1	-	56	-	1	-	19	22											
Va.	70	63	2	1	140	169	3	11	412	441											
W. Va.	2	2	-	-	14	12	-	-	955	921											
N.C.	122	110	8	14	188	194	3	6	N	N											
S.C.	84	78	6	4	127	105	-	-	240	175											
Ga.	184	335	1	13	11	350	13	5	-	-											
Fla.	479	414	10	17	583	611	7	6	-	-											
E.S. CENTRAL	270	213	16	11	391	452	5	5	-	-											
Ky.	30	29	1	1	72	81	2	-	-	-											
Tenn.	89	88	7	2	144	157	3	2	-	-											
Ala.	122	75	6	6	142	139	-	3	-	-											
Miss.	29	21	2	2	33	75	-	-	-	-											
W.S. CENTRAL	787	591	35	55	488	1,269	12	23	4,723	2,899											
Ark.	32	38	-	2	76	64	-	-	-	-											
La.	174	86	-	1	-	-	-	-	42	10											
Okla.	19	43	2	1	101	100	1	-	-	-											
Tex.	562	424	33	51	311	1,105	11	23	4,681	2,889											
MOUNTAIN	245	218	37	27	321	289	5	4	1,687	389											
Mont.	-	-	-	-	4	5	-	-	-	-											
Idaho	15	4	2	2	4	5	-	-	-	-											
Wyo.	1	-	-	-	2	3	-	-	26	39											
Colo.	25	24	-	3	64	66	1	3	1,282	-											
N. Mex.	43	40	1	4	16	31	-	-	68	-											
Ariz.	138	136	34	18	149	129	2	1	-	-											
Utah	4	5	-	-	29	28	1	-	311	350											
Nev.	19	9	-	-	53	22	1	-	-	-											
PACIFIC	850	979	23	52	1,536	1,939	52	72	-	-											
Wash.	78	50	-	-	146	169	4	2	-	-											
Oreg.	19	30	-	-	58	76	2	3	-	-											
Calif.	750	892	23	51	1,235	1,578	40	66	-	-											
Alaska	-	1	-	-	27	42	-	-	-	-											
Hawaii	3	6	-	1	70	74	6	1	-	-											
Guam	-	1	-	-	-	38	-	-	-	94											
P.R.	77	141	5	12	60	75	-	-	190	409											
V.I.	4	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	10	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


