
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 22, 2007 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	42	96	261	3,814	4,136	12	31	108	1,131	945											
NEW ENGLAND	5	6	27	305	272	-	2	11	76	80											
Conn.	5	0	23	96	73	-	0	6	-	23											
Maine	-	0	3	22	15	-	0	1	1	-											
Mass.	-	3	12	141	136	-	2	6	58	47											
N.H.	-	0	4	29	31	-	0	2	7	6											
R.I.	-	0	12	2	5	-	0	2	8	4											
Vt.	-	0	2	15	12	-	0	1	2	-											
MID. ATLANTIC	5	17	41	721	751	1	5	27	185	129											
N.J.	-	2	9	99	124	-	1	4	25	47											
N.Y. (Upstate)	3	5	27	240	241	1	2	15	78	66											
N.Y. City	-	4	13	171	137	-	1	25	82	16											
Pa.	2	5	11	211	249	N	0	0	N	N											
E.N. CENTRAL	7	17	32	660	800	1	5	14	174	251											
Ill.	-	4	13	173	242	-	1	6	46	63											
Ind.	1	2	17	106	97	-	0	10	15	45											
Mich.	1	4	10	161	166	-	1	4	56	55											
Ohio	5	4	14	192	202	1	1	7	48	50											
Wis.	-	0	6	28	93	-	0	2	9	38											
W.N. CENTRAL	8	5	32	266	274	4	2	8	84	74											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	45	-	0	1	1	11											
Minn.	7	0	29	131	127	3	1	6	56	44											
Mo.	-	2	6	67	58	-	0	2	16	11											
Nebr.	-	0	3	21	24	1	0	2	10	5											
N. Dak.	1	0	2	12	10	-	0	2	1	3											
S. Dak.	-	0	2	7	10	-	0	0	-	-											
S. ATLANTIC	9	21	52	961	928	3	4	14	213	60											
Del.	-	0	1	9	10	-	0	0	-	-											
D.C.	-	0	3	8	10	-	0	1	-	1											
Fla.	8	6	16	238	221	2	1	5	49	-											
Ga.	1	5	13	186	192	-	0	5	44	-											
Md.	-	4	10	166	173	-	1	6	48	49											
N.C.	-	1	22	135	138	-	0	0	-	-											
S.C.	-	1	7	80	54	1	0	3	34	-											
Va.	-	2	11	118	108	-	0	4	31	-											
W. Va.	-	0	3	21	22	-	0	4	7	10											
E.S. CENTRAL	2	4	13	168	167	1	1	6	71	16											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	32	38	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	16											
Tenn.	2	3	13	136	129	1	1	6	68	-											
W.S. CENTRAL	-	6	90	240	317	1	4	43	164	166											
Ark.	-	0	2	17	23	-	0	2	8	18											
La.	-	0	4	16	16	-	0	4	27	19											
Okla.	-	1	23	56	79	-	1	13	39	37											
Tex.	-	3	64	151	199	1	1	27	90	92											
MOUNTAIN	6	9	21	386	541	1	4	11	140	151											
Ariz.	3	3	11	126	283	1	2	7	81	85											
Colo.	2	3	9	126	95	-	1	4	34	37											
Idaho	1	0	2	13	8	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	42	101	-	0	4	18	26											
Utah	-	2	7	72	51	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	-	3	9	107	86	-	0	4	24	18											
Alaska	-	0	3	30	N	-	0	2	22	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	77	86	-	0	2	2	18											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


