
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 8, 2008 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2008
Chlamydia† cummulative for 2007
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2008
Coccidioidomycosis cummulative for 2007
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2008
Cryptosporidiosis cummulative for 2007

tab delimited data:
test
UNITED STATES	7,516	20,764	24,800	156,915	194,115	71	137	285	1,175	1,518	27	84	974	484	578						
NEW ENGLAND	389	686	1,516	6,126	6,155	-	0	1	1	-	-	4	16	14	69						
Conn.	-	223	1,091	1,176	1,311	N	0	0	N	N	-	0	2	2	42						
Maine	58	49	74	509	499	-	0	0	-	-	-	1	5	-	6						
Mass.	305	305	661	3,468	3,090	-	0	0	-	-	-	2	11	-	9						
N.H.	26	38	73	428	388	-	0	1	1	-	-	1	5	3	8						
R.I.	-	61	98	539	676	-	0	0	-	-	-	0	3	-	-						
Vt.	-	14	32	6	191	N	0	0	N	N	-	1	4	9	4						
MID. ATLANTIC	1,474	2,747	4,168	19,382	25,983	-	0	0	-	-	7	10	118	69	65						
N.J.	231	402	524	2,346	4,292	N	0	0	N	N	-	0	8	3	3						
N.Y. (Upstate)	705	557	2,037	4,190	3,803	N	0	0	N	N	4	3	20	15	10						
N.Y. City	89	903	2,194	5,385	9,697	N	0	0	N	N	-	1	10	10	20						
Pa.	449	789	1,754	7,461	8,191	N	0	0	N	N	3	6	103	41	32						
E.N. CENTRAL	543	3,369	6,195	24,442	32,632	1	1	3	6	9	8	20	134	122	115						
Ill.	3	1,014	2,193	6,155	9,497	-	0	0	-	-	-	2	13	4	19						
Ind.	-	394	629	2,975	4,216	-	0	0	-	-	-	2	32	14	7						
Mich.	285	704	992	6,892	7,803	-	0	2	3	7	1	4	11	31	19						
Ohio	117	816	3,618	4,667	7,294	1	0	1	3	2	7	5	61	39	38						
Wis.	138	377	604	3,753	3,822	N	0	0	N	N	-	7	59	34	32						
W.N. CENTRAL	595	1,196	1,462	9,689	12,016	-	0	30	-	2	3	15	125	81	75						
Iowa	-	158	251	1,466	1,620	N	0	0	N	N	1	3	61	21	12						
Kans.	136	150	394	999	1,540	N	0	0	N	N	-	2	16	9	10						
Minn.	-	256	318	1,567	2,589	-	0	30	-	-	1	4	34	24	20						
Mo.	372	459	551	4,371	4,465	-	0	1	-	2	1	2	13	10	12						
Nebr.	37	90	183	724	960	N	0	0	N	N	-	2	24	10	5						
N. Dak.	-	28	65	37	370	N	0	0	N	N	-	0	6	1	1						
S. Dak.	50	52	81	525	472	N	0	0	N	N	-	2	16	6	15						
