
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending October 5, 2002 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, Enterohemorrhagic, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	29	11	12,471	245,209	272,471	1,168	1,146	16	20												
NEW ENGLAND	-	1	1,282	5,696	5,211	81	86	-	1												
Maine	-	-	163	107	106	1	1	-	-												
N.H.	-	-	32	100	142	7	4	-	-												
Vt.	-	1	102	80	51	7	3	-	-												
Mass.	-	-	644	2,533	2,427	41	39	-	1												
R.I.	-	-	124	678	634	10	3	-	-												
Conn.	-	-	217	2,198	1,851	15	36	-	-												
MID. ATLANTIC	-	1	2,681	30,683	31,406	212	171	3	3												
Upstate N.Y.	-	-	919	6,623	6,221	95	56	2	-												
N.Y. City	-	-	1,019	9,128	9,645	51	43	-	-												
N.J.	-	-	244	5,465	5,484	45	39	-	-												
Pa.	-	1	499	9,467	10,056	21	33	1	3												
E.N. CENTRAL	11	5	2,276	47,628	57,242	175	214	3	2												
Ohio	10	5	707	12,572	15,736	65	56	-	1												
Ind.	-	-	-	5,284	5,191	35	43	1	-												
Ill.	-	-	528	14,171	18,264	57	74	-	-												
Mich.	1	-	654	11,188	13,429	11	12	2	-												
Wis.	-	-	387	4,413	4,622	7	29	-	1												
W.N. CENTRAL	-	2	1,545	12,783	12,825	51	55	1	1												
Minn.	-	-	620	2,218	2,000	37	30	1	-												
Iowa	-	-	243	944	998	1	-	-	-												
Mo.	N	N	364	6,631	6,631	10	16	-	-												
N. Dak.	-	2	11	42	37	-	6	-	-												
S. Dak.	-	-	58	197	221	-	-	-	-												
Nebr.	-	-	122	711	904	-	2	-	1												
Kans.	-	-	127	2,040	2,034	3	1	-	-												
S. ATLANTIC	-	-	2,213	62,811	71,035	304	281	2	1												
Del.	-	-	41	1,217	1,283	-	-	-	-												
Md.	-	-	97	6,618	6,926	71	71	2	-												
D.C.	-	-	31	2,126	2,230	-	-	-	-												
Va.	-	-	204	7,034	8,217	26	21	-	-												
W. Va.	-	-	44	737	512	14	14	-	1												
N.C.	-	-	-	12,407	13,385	30	42	-	-												
S.C.	-	-	111	5,418	8,621	11	4	-	-												
Ga.	-	-	705	12,070	13,547	78	71	-	-												
Fla.	-	-	980	15,184	16,314	74	58	-	-												
E.S. CENTRAL	7	1	292	21,004	24,608	50	63	1	-												
Ky.	7	1	-	2,792	2,698	4	2	-	-												
Tenn.	-	-	130	7,170	7,622	26	33	-	-												
Ala.	-	-	162	6,391	8,141	15	26	1	-												
Miss.	-	-	-	4,651	6,147	5	2	-	-												
W.S. CENTRAL	-	-	183	36,260	40,582	50	42	2	1												
Ark.	-	-	130	3,044	3,633	2	-	-	-												
La.	-	-	3	9,175	9,690	7	7	-	-												
Okla.	-	-	50	3,631	3,674	36	34	-	-												
Tex.	-	-	-	20,410	23,585	5	1	2	1												
MOUNTAIN	11	1	1,237	7,692	8,028	139	124	2	7												
Mont.	-	-	74	75	84	-	-	-	-												
Idaho	-	-	94	67	61	2	1	-	-												
Wyo.	-	-	25	49	63	1	1	-	-												
Colo.	11	1	404	2,646	2,431	26	34	-	-												
N. Mex.	-	-	129	958	774	21	19	-	1												
Ariz.	-	-	153	2,887	3,023	64	52	1	4												
Utah	-	-	246	198	143	16	6	-	-												
Nev.	-	-	112	812	1,449	9	11	1	2												
PACIFIC	-	-	762	20,652	21,534	106	110	2	4												
Wash.	-	-	289	2,217	2,307	2	2	1	-												
Oreg.	-	-	324	658	861	51	32	-	-												
Calif.	-	-	-	16,802	17,571	22	49	1	4												
Alaska	-	-	78	452	321	1	6	-	-												
Hawaii	-	-	71	523	474	30	21	-	-												
Guam	-	-	-	-	38	-	-	-	-												
P.R.	-	-	32	273	453	1	1	-	-												
V.I.	-	-	-	31	21	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	1	13	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


