
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 24, 2012 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	1	12	66	853	768	10	14	64	706	2,404	2	2	14	132	139						
NEW ENGLAND	-	0	2	21	3	1	5	19	257	432	-	0	1	1	1						
Conn.	-	0	0	-	-	-	1	10	90	146	-	0	0	-	-						
Maine	-	0	2	5	1	1	1	4	45	19	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	171	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	46	25	-	0	0	-	1						
R.I.	-	0	2	14	1	-	1	11	66	66	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	10	5	-	0	0	-	-						
MID. ATLANTIC	-	0	6	37	105	6	6	44	296	385	2	0	2	13	21						
N.J.	-	0	1	-	58	-	0	7	-	107	-	0	0	-	7						
N.Y. (Upstate)	-	0	3	19	41	6	5	41	263	238	2	0	2	13	8						
N.Y. City	-	0	3	18	4	-	0	4	33	34	-	0	0	-	-						
Pa.	-	0	1	-	2	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	39	42	-	1	11	34	693	-	1	9	82	57						
Ill.	-	0	4	36	25	-	0	1	9	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	68	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	7	-	0	1	1	1						
Wis.	-	0	0	-	7	-	0	10	24	675	-	0	2	7	33						
W.N. CENTRAL	-	2	33	269	177	-	0	7	38	800	-	0	4	15	24						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	32	18	-	0	2	8	5	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	7	1	766	-	0	1	1	10						
Mo.	-	2	32	237	150	-	0	4	27	25	-	0	4	13	13						
Nebr.	-	0	0	-	1	-	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	1	5	30	296	253	3	1	8	50	64	-	0	2	7	14						
Del.	-	0	2	15	15	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	20	15	2	0	1	5	9	-	0	0	-	-						
Ga.	-	0	4	14	23	-	0	1	2	11	-	0	0	-	3						
Md.	-	0	4	32	32	1	0	2	7	6	-	0	0	-	-						
N.C.	1	0	19	98	69	-	0	6	20	19	-	0	0	-	1						
S.C.	-	0	1	1	2	-	0	0	-	-	-	0	0	-	1						
Va.	-	1	16	116	96	-	0	2	14	18	-	0	2	6	8						
W. Va.	-	0	0	-	1	-	0	1	1	-	-	0	1	1	1						
