
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2008 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	63	167	264	172	496	23	107	191	93	175	4	33	146	8	21						
NEW ENGLAND	1	25	43	3	96	3	11	22	6	26	-	0	1	-	-						
Conn.	-	0	5	-	7	-	4	10	-	15	-	0	0	-	-						
Maine	-	1	6	2	3	-	1	5	-	2	-	0	1	-	-						
Mass.	-	19	33	-	79	-	0	0	-	N	-	0	1	-	-						
N.H.	-	1	5	-	7	3	1	4	3	3	-	0	1	-	-						
R.I.	-	0	7	-	-	-	1	4	1	1	-	0	0	-	-						
Vt.	1	0	9	1	-	-	2	13	2	5	-	0	0	-	-						
MID. ATLANTIC	23	23	50	38	93	3	26	56	17	62	1	1	7	1	3						
N.J.	-	2	10	-	18	N	0	0	N	N	-	0	3	-	-						
N.Y. (Upstate)	5	9	31	7	39	3	9	20	17	12	-	0	1	-	-						
N.Y. City	-	3	7	-	12	-	1	5	-	5	-	0	3	-	1						
Pa.	18	7	22	31	24	-	16	44	-	45	1	0	3	1	2						
E.N. CENTRAL	18	26	79	49	113	-	4	48	-	-	-	1	4	-	2						
Ill.	-	3	12	-	28	-	1	15	-	-	-	0	3	-	-						
Ind.	-	0	9	-	-	-	0	1	-	-	-	0	2	-	-						
Mich.	1	4	16	1	12	-	1	27	-	-	-	0	1	-	1						
Ohio	17	11	54	48	55	-	1	11	-	-	-	0	2	-	1						
Wis.	-	0	24	-	18	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	8	12	65	25	46	-	4	13	-	2	-	5	37	3	3						
Iowa	-	2	8	-	19	-	0	3	-	-	-	0	4	-	-						
Kans.	-	2	8	-	17	-	2	7	-	1	-	0	2	-	2						
Minn.	-	0	53	-	-	-	0	6	-	-	-	0	1	-	-						
Mo.	8	2	11	21	4	-	0	3	-	1	-	5	29	3	1						
Nebr.	-	1	12	3	2	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	-	-	0	5	-	-	-	0	0	-	-						
S. Dak.	-	0	7	1	4	-	0	2	-	-	-	0	1	-	-						
S. ATLANTIC	2	16	48	21	42	12	39	156	57	66	3	15	111	4	6						
Del.	-	0	2	-	-	-	0	0	-	-	-	0	2	-	1						
D.C.	-	0	1	-	1	-	0	0	-	-	-	0	1	-	-						
Fla.	2	4	17	5	9	3	0	124	7	-	-	0	3	-	-						
Ga.	-	0	3	-	5	-	5	12	11	10	2	0	6	2	2						
Md.	-	2	6	4	12	-	7	18	8	21	-	1	4	1	2						
N.C.	-	4	34	10	-	9	9	19	19	18	1	5	96	1	-						
S.C.	-	1	4	-	6	-	0	11	-	3	-	0	7	-	-						
Va.	-	2	11	2	9	-	13	31	12	10	-	2	11	-	1						
W. Va.	-	0	12	-	-	-	0	11	-	4	-	0	3	-	-						
E.S. CENTRAL	1	6	35	8	23	-	3	6	1	9	-	4	16	-	7						
Ala.	-	1	6	3	7	-	0	0	-	-	-	1	10	-	4						
Ky.	-	0	4	1	-	-	0	3	1	4	-	0	2	-	-						
Miss.	1	2	32	4	11	-	0	1	-	-	-	0	2	-	1						
Tenn.	-	1	5	-	5	-	2	6	-	5	-	2	10	-	2						
W.S. CENTRAL	1	20	48	8	6	3	1	23	3	1	-	1	30	-	-						
Ark.	-	1	17	-	-	3	1	2	3	-	-	0	15	-	-						
La.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	26	-	-	-	0	22	-	1	-	0	20	-	-						
Tex.	1	16	33	8	5	-	0	0	-	-	-	1	5	-	-						
MOUNTAIN	9	21	39	15	58	-	3	14	3	2	-	0	4	-	-						
Ariz.	1	3	13	1	17	-	2	12	3	2	-	0	1	-	-						
Colo.	-	6	14	5	26	-	0	0	-	-	-	0	2	-	-						
Idaho	-	0	5	-	5	-	0	0	-	-	-	0	1	-	-						
Mont.	2	0	7	3	1	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	3	-	-	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	-	4	-	0	2	-	-	-	0	1	-	-						
Utah	6	6	27	6	1	-	0	2	-	-	-	0	0	-	-						
Wyo.	-	0	4	-	4	-	0	4	-	-	-	0	2	-	-						
PACIFIC	-	12	73	5	19	2	4	10	6	7	-	0	2	-	-						
Alaska	-	0	6	3	8	2	0	6	4	6	N	0	0	N	N						
Calif.	-	5	15	-	3	-	3	8	2	1	-	0	2	-	-						
Hawaii	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	14	2	7	-	0	3	-	-	-	0	1	-	-						
Wash.	-	3	68	-	1	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	1	0	5	1	5	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


