
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 11, 1997 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	44,447	51,390	348,650	337,172	1,845	1,168	219,267	248,053	2,464	2,767											
NEW ENGLAND	1,903	2,055	13,731	13,530	157	90	4,517	5,055	51	84											
Maine	46	32	797	732	16	-	54	50	-	-											
N.H.	29	66	614	585	9	12	75	129	8	7											
Vt.	31	18	326	307	7	2	43	42	2	22											
Mass.	646	995	5,733	5,459	82	67	1,703	1,733	34	49											
R.I.	119	128	1,566	1,517	8	-	347	408	7	6											
Conn.	1,032	816	4,695	4,930	35	9	2,295	2,693	-	-											
MID. ATLANTIC	13,720	14,208	47,645	47,714	111	40	29,050	32,389	272	239											
Upstate N.Y.	2,137	1,853	N	N	73	-	4,727	5,924	201	192											
N.Y. City	7,308	7,847	24,825	23,652	10	6	11,151	11,333	-	3											
N.J.	2,667	2,881	7,043	9,803	28	22	5,525	6,869	-	-											
Pa.	1,608	1,627	15,777	14,259	N	12	7,647	8,263	71	44											
E.N. CENTRAL	3,255	4,026	52,312	67,486	346	214	32,430	46,369	426	387											
Ohio	683	870	15,105	16,389	92	48	9,373	11,935	16	30											
Ind.	447	463	7,106	7,509	58	33	4,712	5,002	10	8											
Ill.	1,356	1,800	8,299	19,428	60	-	4,057	13,826	69	75											
Mich.	564	682	14,800	15,780	136	95	11,198	11,716	331	274											
Wis.	205	211	7,002	8,380	N	38	3,090	3,890	-	-											
W.N. CENTRAL	859	1,203	18,928	24,604	428	344	8,800	11,972	133	79											
Minn.	157	225	U	4,017	195	185	U	1,881	3	2											
Iowa	86	71	3,407	3,435	99	63	895	906	27	37											
Mo.	392	619	9,249	9,665	41	54	5,781	6,582	89	21											
N. Dak.	13	11	546	652	11	9	37	25	2	-											
S. Dak.	8	10	1,080	1,155	26	23	118	147	-	-											
Nebr.	83	83	1,757	2,154	39	-	695	835	2	6											
Kans.	120	184	2,889	3,526	17	10	1,274	1,596	10	13											
S. ATLANTIC	10,879	13,028	71,287	39,300	167	118	69,916	73,125	229	155											
Del.	184	230	1,276	1,148	4	4	956	1,147	-	1											
Md.	1,695	1,950	5,583	U	19	9	10,340	8,791	14	2											
D.C.	767	1,007	N	N	2	-	3,436	3,497	-	-											
Va.	879	894	8,953	9,053	N	40	6,466	7,447	23	13											
W. Va.	92	88	2,316	1,707	N	1	718	622	16	9											
N.C.	680	678	14,482	U	60	30	14,293	14,440	41	41											
S.C.	631	663	9,936	U	8	7	9,221	8,594	35	25											
Ga.	1,267	1,870	9,803	9,315	35	-	11,389	14,685	U	-											
Fla.	4,684	5,648	18,938	18,077	38	27	13,097	13,902	100	64											
E.S. CENTRAL	1,561	1,741	26,047	24,263	84	34	26,180	25,806	278	455											
Ky.	290	307	5,048	5,308	27	-	3,268	3,310	12	27											
Tenn.	638	640	10,033	10,568	41	34	8,689	9,417	196	326											
Ala.	384	470	6,789	6,691	13	-	9,485	10,625	10	4											
Miss.	249	324	4,177	1,696	3	-	4,738	2,454	60	98											
W.S. CENTRAL	4,694	5,107	42,966	42,999	57	16	28,649	30,016	350	306											
Ark.	180	205	2,068	1,426	9	5	3,379	3,216	3	8											
La.	797	1,164	7,453	5,935	6	3	7,242	6,192	178	181											
Okla.	240	191	5,864	5,999	8	5	3,844	3,859	7	1											
Tex.	3,477	3,547	27,581	29,639	34	3	14,184	16,749	162	116											
MOUNTAIN	1,277	1,527	19,587	20,411	210	117	6,878	6,031	356	463											
Mont.	35	33	776	980	22	-	34	25	20	13											
Idaho	41	31	1,216	1,213	28	13	105	86	50	94											
Wyo.	13	5	455	490	16	12	43	37	167	143											
Colo.	299	404	1,896	2,551	72	53	1,782	1,182	33	48											
N. Mex.	141	139	2,437	3,082	7	5	961	677	44	69											
Ariz.	323	461	9,627	8,493	N	24	3,211	2,951	24	58											
Utah	104	142	1,325	1,234	54	-	214	242	4	19											
Nev.	321	312	1,855	2,368	11	10	528	831	14	19											
PACIFIC	6,299	8,494	56,147	56,865	285	195	12,847	17,290	369	599											
Wash.	532	539	7,132	7,520	84	54	1,526	1,644	21	46											
Oreg.	248	359	3,830	4,250	67	78	588	665	3	6											
Calif.	5,434	7,426	42,772	42,715	123	56	10,067	14,277	217	371											
Alaska	37	28	1,185	949	11	1	305	344	-	3											
Hawaii	48	142	1,228	1,431	N	6	361	360	128	173											
Guam	2	4	86	309	N	-	9	51	-	6											
P.R.	1,511	1,785	U	U	32	U	470	519	119	130											
V.I.	80	17	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	1	-	N	N	N	U	17	11	2	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


