
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 25, 2012 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	1	9	90	9	11	2	16	58	15	19	1	2	8	3	2						
NEW ENGLAND	1	0	1	1	-	-	3	28	2	12	-	0	1	-	-						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	-	-	-	0	3	1	1	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	-	1	-	0	0	-	-						
N.H.	-	0	1	-	-	-	0	4	-	-	-	0	1	-	-						
R.I.	1	0	1	1	-	-	0	15	1	10	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	-	1	5	-	1	2	6	43	11	3	1	0	2	1	-						
N.J.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	-	0	4	-	-	2	3	43	8	2	1	0	2	1	-						
N.Y. City	-	0	2	-	1	-	1	5	3	1	-	0	0	-	-						
Pa.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
E.N. CENTRAL	-	0	5	-	2	-	0	2	-	1	-	0	6	-	2						
Ill.	-	0	4	-	1	-	0	2	-	-	-	0	1	-	1						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	4	-	1						
Mich.	-	0	2	-	-	-	0	0	-	-	-	0	2	-	-						
Ohio	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	0	-	-	-	0	1	-	1	-	0	1	-	-						
W.N. CENTRAL	-	1	16	1	-	-	0	6	-	-	-	0	6	-	-						
