
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 8, 1999 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	945	1,166	5	127	324	29	1,755	1,483	4	23	210										
NEW ENGLAND	44	59	-	1	-	-	145	288	-	3	33										
Maine	3	4	-	-	-	-	-	5	-	-	-										
N.H.	-	1	-	1	-	-	30	21	-	-	-										
Vt.	3	1	-	-	-	-	10	26	-	-	-										
Mass.	30	27	-	-	-	-	97	230	-	3	6										
R.I.	2	3	-	-	-	-	3	-	-	-	-										
Conn.	6	23	U	-	-	U	5	6	U	-	27										
MID. ATLANTIC	81	121	1	16	161	5	423	184	1	3	96										
Upstate N.Y.	21	29	-	2	3	3	375	95	-	2	88										
N.Y. City	19	14	-	3	153	-	10	9	-	-	4										
N.J.	16	32	U	-	2	U	-	8	U	-	4										
Pa.	25	46	1	11	3	2	38	72	1	1	-										
E.N. CENTRAL	139	171	-	15	29	1	136	169	-	-	-										
Ohio	70	59	-	6	13	1	94	54	-	-	-										
Ind.	7	26	-	-	2	-	2	45	-	-	-										
Ill.	43	50	-	3	4	-	22	12	-	-	-										
Mich.	19	17	-	6	10	-	18	20	-	-	-										
Wis.	-	19	-	-	-	-	-	38	-	-	-										
W.N. CENTRAL	113	99	-	4	18	-	24	106	2	2	7										
Minn.	26	16	-	-	9	-	-	58	-	-	-										
Iowa	28	14	-	3	6	-	11	25	2	2	-										
Mo.	40	42	-	1	2	-	10	9	-	-	1										
N. Dak.	-	-	U	-	1	U	-	-	U	-	-										
S. Dak.	5	6	-	-	-	-	2	4	-	-	-										
Nebr.	4	4	-	-	-	-	1	4	-	-	-										
Kans.	10	17	-	-	-	-	-	6	-	-	6										
S. ATLANTIC	169	168	2	29	24	11	100	95	-	2	4										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	25	19	-	3	-	1	29	20	-	1	-										
D.C.	1	-	1	2	-	-	-	1	-	-	-										
Va.	22	19	-	8	4	1	13	6	-	-	-										
W. Va.	2	5	-	-	-	-	1	1	-	-	-										
N.C.	20	25	-	5	6	3	25	40	-	1	3										
S.C.	21	28	-	2	4	-	8	10	-	-	-										
Ga.	26	37	-	-	1	2	8	1	-	-	-										
Fla.	50	34	1	9	9	4	16	16	-	-	1										
E.S. CENTRAL	81	88	-	1	3	1	34	41	-	-	-										
Ky.	24	15	-	-	-	-	3	17	-	-	-										
Tenn.	27	32	-	-	-	-	21	11	-	-	-										
Ala.	18	27	-	1	1	1	7	12	-	-	-										
Miss.	12	14	-	-	2	-	3	1	-	-	-										
W.S. CENTRAL	63	141	1	15	23	5	52	81	-	5	54										
Ark.	17	16	-	-	-	-	4	11	-	-	-										
La.	27	24	-	1	1	-	3	-	-	-	-										
Okla.	13	21	-	1	-	5	7	6	-	-	-										
Tex.	6	80	1	13	22	-	38	64	-	5	54										
MOUNTAIN	71	67	-	8	13	2	185	258	1	6	5										
Mont.	-	2	U	-	-	U	1	1	U	-	-										
Idaho	7	3	-	-	1	-	85	90	-	-	-										
Wyo.	2	3	-	-	1	-	2	7	-	-	-										
Colo.	20	16	-	3	1	1	36	57	-	-	-										
N. Mex.	8	10	N	N	N	-	13	55	-	-	1										
Ariz.	24	22	-	-	4	-	21	23	-	5	1										
Utah	5	7	-	4	1	1	25	12	-	-	2										
Nev.	5	4	-	1	5	-	2	13	1	1	1										
PACIFIC	184	252	1	38	53	4	656	261	-	2	11										
Wash.	24	26	-	1	4	3	399	99	-	-	9										
Oreg.	32	43	N	N	N	-	8	20	-	-	-										
Calif.	120	178	1	31	34	1	241	138	-	2	1										
Alaska	4	1	-	1	2	-	3	-	-	-	-										
Hawaii	4	4	-	5	13	-	5	4	-	-	1										
Guam	-	1	U	-	2	U	-	-	U	-	-										
P.R.	2	3	-	-	1	-	4	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


