
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2005 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	-	17	7,551	14,267	47	22	18	50													
NEW ENGLAND	-	-	616	492	-	-	-	5													
Maine	-	-	53	27	N	N	-	2													
N.H.	-	-	32	35	-	-	-	-													
Vt.	-	-	6	24	-	-	-	1													
Mass.	-	-	244	218	-	-	-	2													
R.I.	-	-	82	123	-	-	-	-													
Conn.	-	-	199	65	N	N	-	-													
MID. ATLANTIC	-	14	1,015	1,597	-	-	3	5													
Upstate N.Y.	-	-	55	130	N	N	1	2													
N.Y. City	-	14	282	617	-	-	-	2													
N.J.	-	-	225	379	-	-	-	-													
Pa.	-	-	453	471	N	N	2	1													
E.N. CENTRAL	-	-	622	2,372	-	-	4	8													
Ohio	-	-	-	488	N	N	4	2													
Ind.	-	-	361	323	N	N	-	-													
Ill.	-	-	155	769	-	-	-	3													
Mich.	-	-	-	515	-	-	-	1													
Wis.	-	-	106	277	-	-	-	2													
W.N. CENTRAL	-	-	84	910	-	-	1	3													
Minn.	-	-	-	240	N	N	-	-													
Iowa	-	-	-	125	N	N	-	-													
Mo.	-	-	-	350	-	-	-	1													
N. Dak.	-	-	12	21	N	N	-	-													
S. Dak.	-	-	61	23	-	-	1	-													
Nebr.	-	-	-	87	-	-	-	-													
Kans.	-	-	11	64	N	N	-	2													
S. ATLANTIC	-	-	2,509	2,746	-	-	9	14													
Del.	-	-	63	47	N	N	-	-													
Md.	-	-	275	319	-	-	3	1													
D.C.	-	-	44	63	-	-	-	-													
Va.	-	-	571	535	-	-	-	-													
W. Va.	-	-	39	45	N	N	-	-													
N.C.	-	-	590	529	N	N	2	7													
S.C.	-	-	247	-	-	-	-	1													
Ga.	-	-	174	800	-	-	2	3													
Fla.	-	-	506	408	N	N	2	2													
E.S. CENTRAL	-	-	339	999	-	-	1	3													
Ky.	-	-	188	130	N	N	-	-													
Tenn.	-	-	-	416	N	N	-	1													
Ala.	-	-	2	217	-	-	1	1													
Miss.	-	-	149	236	-	-	-	1													
W.S. CENTRAL	-	-	1,026	2,296	-	-	-	1													
Ark.	-	-	118	93	-	-	-	-													
La.	-	-	-	931	-	-	-	-													
Okla.	-	-	-	230	N	N	-	-													
Tex.	-	-	908	1,042	N	N	-	1													
MOUNTAIN	-	-	609	690	45	-	-	2													
Mont.	-	-	6	-	N	N	-	-													
Idaho	-	-	-	26	N	N	-	-													
Wyo.	-	-	13	17	-	-	-	-													
Colo.	-	-	67	198	N	N	-	2													
N. Mex.	-	-	21	128	-	-	-	-													
Ariz.	-	-	484	188	45	-	-	-													
Utah	-	-	18	25	-	-	-	-													
Nev.	-	-	-	108	-	-	-	-													
PACIFIC	-	3	731	2,165	2	22	-	9													
Wash.	-	-	286	157	N	N	-	-													
Oreg.	-	-	100	67	-	-	-	-													
Calif.	-	3	337	1,798	2	22	-	9													
Alaska	-	-	8	18	-	-	-	-													
Hawaii	-	-	-	125	-	-	-	-													
Guam	-	-	-	22	-	-	-	-													
P.R.	-	-	20	26	N	N	N	N													
V.I.	-	-	-	6	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


