
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2000 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	6	23	38	250	26	83	-	-	-	-	-	-									
NEW ENGLAND	-	-	-	6	-	4	-	-	-	-	-	-									
Maine	-	-	-	1	-	-	-	-	-	-	-	-									
N.H.	-	-	-	-	-	-	-	-	-	-	-	-									
Vt.	-	-	-	-	-	-	-	-	-	-	-	-									
Mass.	-	-	-	4	-	-	-	-	-	-	-	-									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	-	1	-	4	-	-	-	-	-	-									
MID. ATLANTIC	1	2	1	13	-	11	-	-	-	-	-	-									
Upstate N.Y.	1	-	-	1	-	-	-	-	-	-	-	-									
N.Y. City	-	2	1	8	-	3	-	-	-	-	-	-									
N.J.	-	-	-	4	-	2	-	-	-	-	-	-									
Pa.	-	-	-	-	-	6	-	-	-	-	-	-									
E.N. CENTRAL	2	6	18	84	8	9	-	-	-	-	-	-									
Ohio	2	2	10	10	2	4	-	-	-	-	-	-									
Ind.	-	-	-	-	-	-	-	-	-	-	-	-									
Ill.	-	4	-	23	-	-	-	-	-	-	-	-									
Mich.	-	-	8	51	6	3	-	-	-	-	-	-									
Wis.	-	-	-	-	-	2	-	-	-	-	-	-									
W.N. CENTRAL	-	-	12	15	4	7	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	-	-	-	-	-	-	-	-	-	-	-	-									
Mo.	-	-	12	15	4	4	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	U	-	U	-	-	-									
S. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
Nebr.	-	-	-	-	-	3	-	-	-	-	-	-									
Kans.	-	-	-	-	-	-	-	-	-	-	-	-									
S. ATLANTIC	2	8	3	18	14	20	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	2	8	3	9	3	4	-	-	-	-	-	-									
D.C.	-	-	-	2	-	-	-	-	-	-	-	-									
Va.	-	-	-	-	-	-	-	-	-	-	-	-									
W. Va.	-	-	-	-	-	-	-	-	-	-	-	-									
N.C.	-	-	-	-	11	16	-	-	-	-	-	-									
S.C.	-	-	-	-	-	-	-	-	-	-	-	-									
Ga.	-	-	-	7	-	-	-	-	-	-	-	-									
Fla.	-	-	-	-	-	-	-	-	-	-	-	-									
E.S. CENTRAL	-	-	2	2	-	2	-	-	-	-	-	-									
Ky.	-	-	-	-	-	-	-	-	-	-	-	-									
Tenn.	-	-	-	-	-	1	-	-	-	-	-	-									
Ala.	-	-	1	1	-	1	-	-	-	-	-	-									
Miss.	-	-	1	1	-	-	-	-	-	-	-	-									
W.S. CENTRAL	-	2	-	10	-	1	-	-	-	-	-	-									
Ark.	-	-	-	-	-	1	-	-	-	-	-	-									
La.	-	-	-	-	-	-	-	-	-	-	-	-									
Okla.	-	1	-	2	-	-	-	-	-	-	-	-									
Tex.	-	1	-	8	-	-	-	-	-	-	-	-									
MOUNTAIN	1	1	2	21	-	7	-	-	-	-	-	-									
Mont.	-	-	-	-	-	-	-	-	-	-	-	-									
Idaho	-	-	-	-	-	3	-	-	-	-	-	-									
Wyo.	-	1	-	-	-	-	-	-	-	-	-	-									
Colo.	-	-	-	9	-	1	-	-	-	-	-	-									
N. Mex.	-	-	-	2	-	-	-	-	-	-	-	-									
Ariz.	-	-	-	7	-	-	U	-	U	-	-	-									
Utah	1	-	2	-	-	-	-	-	-	-	-	-									
Nev.	-	-	-	3	-	3	U	-	U	-	-	-									
PACIFIC	-	4	-	81	-	22	-	-	-	-	-	-									
Wash.	-	-	-	-	-	-	-	-	-	-	-	-									
Oreg.	-	1	-	-	-	1	U	-	U	-	-	-									
Calif.	-	2	-	81	-	20	-	-	-	-	-	-									
Alaska	-	1	-	-	-	1	-	-	-	-	-	-									
Hawaii	-	-	-	-	-	-	U	-	U	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	-	-	-	-	-	U	-	U	-	-	-									
V.I.	-	U	-	U	-	U	U	-	U	-	-	U									
Amer. Samoa	-	U	-	U	-	U	U	-	U	-	-	U									
C.N.M.I.	-	U	-	U	-	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


