
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 1, 2008 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	36	172	461	836	1,633	57	103	197	444	731	-	34	147	35	81						
NEW ENGLAND	-	22	45	17	294	4	10	22	36	78	-	0	1	-	1						
Conn.	-	0	5	-	16	3	4	10	21	33	-	0	0	-	-						
Maine	-	1	5	9	20	-	1	5	2	16	-	0	1	-	-						
Mass.	-	17	33	-	230	-	0	0	-	N	-	0	1	-	1						
N.H.	-	1	5	1	11	1	1	4	5	7	-	0	1	-	-						
R.I.	-	0	8	3	2	-	1	4	4	4	-	0	0	-	-						
Vt.	-	0	6	4	15	-	2	13	4	18	-	0	0	-	-						
MID. ATLANTIC	9	22	38	127	298	3	25	56	42	169	-	1	7	2	7						
N.J.	-	2	6	1	47	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	8	8	24	44	156	3	9	20	42	50	-	0	1	-	-						
N.Y. City	-	2	7	9	30	-	0	5	-	14	-	0	3	1	2						
Pa.	1	7	22	73	65	-	15	44	-	105	-	0	3	1	4						
E.N. CENTRAL	14	25	180	359	326	-	4	49	-	2	-	1	4	1	3						
Ill.	-	2	8	10	52	-	1	15	-	1	-	0	3	-	1						
Ind.	-	0	9	3	1	-	0	1	-	-	-	0	2	-	-						
Mich.	-	4	16	17	73	-	1	28	-	1	-	0	1	-	1						
Ohio	14	12	176	329	153	-	1	11	-	-	-	0	2	1	1						
Wis.	-	0	24	-	47	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	4	12	77	86	112	3	4	13	13	22	-	5	37	9	8						
Iowa	-	2	8	12	40	-	0	3	1	2	-	0	4	-	-						
Kans.	-	2	5	1	43	-	1	7	-	14	-	0	2	-	3						
Minn.	-	0	75	-	-	3	0	6	8	2	-	0	3	-	-						
Mo.	3	2	16	60	11	-	0	3	-	1	-	5	29	9	5						
