
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 22, 2000 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	770	884	6	117	127	70	1,228	1,894	3	19	27										
NEW ENGLAND	45	51	-	2	3	3	330	164	-	5	6										
Maine	3	3	-	-	-	-	9	-	-	-	-										
N.H.	3	9	-	-	1	-	49	21	-	1	-										
Vt.	2	3	-	-	-	2	67	9	-	-	-										
Mass.	28	29	-	-	2	1	186	126	-	3	6										
R.I.	2	2	-	1	-	-	7	3	-	-	-										
Conn.	7	5	U	1	-	U	12	5	U	1	-										
MID. ATLANTIC	70	86	-	7	15	3	111	405	-	2	2										
Upstate N.Y.	14	21	-	5	2	3	69	351	-	2	2										
N.Y. City	16	28	U	-	3	U	-	10	U	-	-										
N.J.	18	14	-	-	-	-	-	9	-	-	-										
Pa.	22	23	-	2	10	-	42	35	-	-	-										
E.N. CENTRAL	129	159	-	14	16	3	175	166	-	-	-										
Ohio	26	56	-	6	6	-	131	92	-	-	-										
Ind.	19	15	-	-	-	3	12	8	-	-	-										
Ill.	35	53	-	3	4	-	13	27	-	-	-										
Mich.	37	18	-	5	6	-	9	18	-	-	-										
Wis.	12	17	-	-	-	-	10	21	-	-	-										
W.N. CENTRAL	61	109	-	9	3	6	46	38	-	2	6										
Minn.	3	25	-	-	-	6	21	-	-	-	-										
Iowa	12	20	U	3	2	U	9	13	U	-	-										
Mo.	38	41	-	1	1	-	7	10	-	-	-										
N. Dak.	1	-	-	-	-	-	1	-	-	-	-										
S. Dak.	4	5	-	-	-	-	1	2	-	-	-										
Nebr.	1	7	U	2	-	U	2	1	U	-	6										
Kans.	2	11	-	3	-	-	5	12	-	2	-										
S. ATLANTIC	122	124	2	16	23	7	95	85	-	6	2										
Del.	-	2	-	-	-	-	1	-	-	-	-										
Md.	11	23	-	4	4	2	28	32	-	-	1										
D.C.	-	1	-	-	1	-	-	-	-	-	-										
Va.	19	19	1	4	7	-	10	12	-	-	-										
W. Va.	3	2	-	-	-	-	-	1	-	-	-										
N.C.	25	17	-	2	5	-	28	22	-	-	1										
S.C.	8	18	1	6	2	1	15	6	-	6	-										
Ga.	22	23	-	-	-	4	13	6	-	-	-										
Fla.	34	19	-	-	4	-	-	6	-	-	-										
E.S. CENTRAL	56	71	2	3	3	-	26	43	3	4	-										
Ky.	12	12	-	-	-	-	15	12	-	1	-										
Tenn.	25	26	2	2	-	-	2	21	-	-	-										
Ala.	16	21	-	1	1	-	8	8	3	3	-										
Miss.	3	12	U	-	2	U	1	2	U	-	-										
W.S. CENTRAL	51	66	-	1	15	1	6	48	-	-	5										
Ark.	5	15	-	1	-	1	6	4	-	-	-										
La.	13	33	-	-	2	-	-	2	-	-	-										
Okla.	17	15	-	-	1	-	-	3	-	-	-										
Tex.	16	3	-	-	12	-	-	39	-	-	5										
MOUNTAIN	49	67	1	8	8	26	261	230	-	-	4										
Mont.	1	-	-	1	-	-	1	1	-	-	-										
Idaho	6	8	U	-	-	U	35	87	U	-	-										
Wyo.	-	2	-	-	-	-	-	2	-	-	-										
Colo.	11	20	-	1	3	16	144	57	-	-	-										
N. Mex.	7	8	-	1	N	1	48	13	-	-	-										
Ariz.	16	20	-	-	-	9	26	42	-	-	3										
Utah	6	4	1	3	4	-	4	26	-	-	1										
Nev.	2	5	-	2	1	-	3	2	-	-	-										
PACIFIC	187	151	1	57	41	21	178	715	-	-	2										
Wash.	14	20	-	2	-	18	64	372	-	-	-										
Oreg.	24	30	N	N	N	-	24	8	-	-	-										
Calif.	144	93	-	51	35	3	81	317	-	-	2										
Alaska	2	4	1	3	1	-	5	2	-	-	-										
Hawaii	3	4	-	1	5	-	4	16	-	-	-										
Guam	-	-	U	-	1	U	-	1	U	-	-										
P.R.	1	7	-	-	-	-	-	-	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


